"","10L_D_CD45","10L_C_CD45","10R_BL_CD45","11L_B_CD45","11N_D_CD45","11R_D_CD45","11R_C_CD45","14N_B_CD45","14N_C_CD45","14N_D_CD45","15L_B_CD45","15N_C_CD45","15R_D_CD45","16L_D_CD45","17N_A_CD45","2N__CD45","2R_A_CD45","2R_C_CD45","2R_D_CD45","3L_D_CD45","3L_A_CD45","3N_B_CD45","3R_C_CD45","3R_B_CD45","5N_A_CD45","5R_B_CD45","6N_D_CD45","6R_D_CD45","7N_A_CD45","7N_B_CD45","8L_D_CD45","8R_CU_CD45","8R_CL_CD45","9L_B_CD45"
"10L_D_CD45",1,0.955437466292404,0.938888943400342,0.95810505898992,0.954337520716392,0.951474820540385,0.948197479340494,0.952183145414581,0.924366569882496,0.946089184862834,0.931782740838166,0.955766446034819,0.959286615863529,0.953402603104706,0.949824958747584,0.913528709318587,0.960397704342667,0.945649747568791,0.847137924874544,0.824356882754256,0.941858884335899,0.948972939422228,0.918510310176007,0.95830148710433,0.955089749675899,0.915690656177502,0.941498351528038,0.931632574461335,0.946077963094515,0.958159249582852,0.958207867226201,0.92101355734571,0.961993816019381,0.926920342953931
"10L_C_CD45",0.955437466292404,1,0.924704793279328,0.931432085675448,0.942703225029715,0.941926675520346,0.931003105423459,0.93090686346474,0.912345517872349,0.934529927798647,0.968773278034485,0.947023831903441,0.927349292235126,0.935864645850731,0.9344671622106,0.913357202171646,0.94866540214098,0.953990986003325,0.861058262091968,0.858925270378216,0.937267474818522,0.95484106739721,0.925493946441455,0.946567717897259,0.934230508042001,0.904041725088408,0.937219268588197,0.938151387382547,0.944442094965968,0.932925715608467,0.947859317141496,0.926532645282616,0.949675699478674,0.906769832925518
"10R_BL_CD45",0.938888943400342,0.924704793279328,1,0.967236288096499,0.942603185364519,0.951100975796306,0.937024402393431,0.965673884252351,0.926370885798076,0.956470500098842,0.914097122520255,0.958819843019895,0.95037801184797,0.965225640935053,0.968097037572311,0.939941198358521,0.957457754942369,0.944711677778524,0.867428533585773,0.847592927672714,0.950267617804733,0.920264403063514,0.934321591427838,0.960463043035349,0.967236181312571,0.949696049521033,0.944555143256544,0.924997789037093,0.958553434517437,0.964888986950611,0.919744248326303,0.932037873097417,0.94288462966295,0.948066886262383
"11L_B_CD45",0.95810505898992,0.931432085675448,0.967236288096499,1,0.958675680612398,0.961132191338598,0.952025172699358,0.97168742831471,0.93783677224656,0.964505768500814,0.916052103355553,0.965364679252621,0.96956046695831,0.971059234524957,0.973195974508905,0.93768230724862,0.965007325687042,0.945723051295237,0.86485472536331,0.841988646392042,0.949408818425224,0.943585387834376,0.932274454581837,0.963007079567756,0.973814665262919,0.942270076638748,0.948622008946594,0.928565577580699,0.963200389907274,0.970196666907781,0.945389916147544,0.942119062518432,0.961643365618378,0.942460607469612
"11N_D_CD45",0.954337520716392,0.942703225029715,0.942603185364519,0.958675680612398,1,0.952757983611981,0.949291627510253,0.96406254428176,0.930872669965948,0.955784880328285,0.924287310060705,0.944603613079473,0.964085964052405,0.956111620324252,0.953325080553403,0.902300508847815,0.959715163237197,0.935015730819159,0.825465246105228,0.804166821327374,0.926945466603366,0.949684539116429,0.900688553549006,0.941097923984986,0.949687842527932,0.902604496755023,0.941420900379742,0.962239815705159,0.935431416789392,0.954501024442712,0.958523773884387,0.911735796775851,0.967482149647829,0.93465200238651
"11R_D_CD45",0.951474820540385,0.941926675520346,0.951100975796306,0.961132191338598,0.952757983611981,1,0.984626510909632,0.956601935915857,0.967442629386655,0.974688347507953,0.915354724374495,0.976064864163202,0.948392600988129,0.977231227822038,0.972249336251916,0.905949393464386,0.957937652612032,0.947531958369654,0.879171698022577,0.850620461553614,0.95199181017941,0.929774542150204,0.937407453376683,0.962804855623777,0.973958652595482,0.933065938578465,0.962210798874379,0.925428792604034,0.955183172076738,0.973827259023932,0.947402491737695,0.941874071472754,0.971945945521908,0.958513207365975
"11R_C_CD45",0.948197479340494,0.931003105423459,0.937024402393431,0.952025172699358,0.949291627510253,0.984626510909632,1,0.947866163692612,0.966390989595327,0.9641888429571,0.898159596287445,0.95950638114744,0.947203957559579,0.971921919458094,0.9630488910603,0.891326412674992,0.952858540215312,0.932266785565104,0.853099011788935,0.836816318796535,0.939556529885701,0.937067839707632,0.923793654490604,0.953809241151591,0.959351350187975,0.917313974023421,0.95065201238161,0.924406494234367,0.93904369134855,0.964766055698865,0.948607680363612,0.936886948067459,0.967863910820319,0.95222723063863
"14N_B_CD45",0.952183145414581,0.93090686346474,0.965673884252351,0.97168742831471,0.96406254428176,0.956601935915857,0.947866163692612,1,0.937457194076281,0.971249280232939,0.911205267501717,0.961142449067033,0.968962503481911,0.965142882745746,0.96861696165067,0.91807587349058,0.959202009364113,0.931355772029772,0.833826703037404,0.808395273735169,0.933166463171679,0.936626196426107,0.913180367220499,0.952872954362712,0.967822738661,0.928672613803771,0.946269723578738,0.945815696422778,0.949224632554957,0.973535975031064,0.943930546523874,0.920370644883132,0.961048500527071,0.963645169985325
"14N_C_CD45",0.924366569882496,0.912345517872349,0.926370885798076,0.93783677224656,0.930872669965948,0.967442629386655,0.966390989595327,0.937457194076281,1,0.958727458853367,0.88017156798423,0.947688262666007,0.934305393125897,0.953271480975618,0.943213504812339,0.858782505888658,0.933936054002088,0.908294167406068,0.826384353685544,0.79963898702755,0.920288336811604,0.904641030444654,0.896532565600674,0.934793779477296,0.940295000835115,0.897387462100262,0.921972136690638,0.915265746762891,0.91478797786151,0.957507475233695,0.939870310044381,0.910884513102839,0.949197380680201,0.94608177042042
"14N_D_CD45",0.946089184862834,0.934529927798647,0.956470500098842,0.964505768500814,0.955784880328285,0.974688347507953,0.9641888429571,0.971249280232939,0.958727458853367,1,0.909529326393011,0.974094717792605,0.955310798425313,0.971026500636258,0.976213109264597,0.900353320671658,0.958592015873194,0.936481448922426,0.860777117407188,0.825917418829495,0.943390538916604,0.938149860018457,0.935168387267616,0.959616230242711,0.970678627654112,0.931643484449811,0.957209253547722,0.936249740057889,0.950235853082049,0.979476960612241,0.946034734015286,0.933472768471315,0.972067668464495,0.973962886623842
"15L_B_CD45",0.931782740838166,0.968773278034485,0.914097122520255,0.916052103355553,0.924287310060705,0.915354724374495,0.898159596287445,0.911205267501717,0.88017156798423,0.909529326393011,1,0.923261822053195,0.904517379658727,0.916070204703028,0.91697769896972,0.922009192799269,0.934364224247437,0.951766561687032,0.865254836961061,0.869805078944389,0.92169919803983,0.934607611553804,0.91456636659515,0.92658491951644,0.915648765835777,0.898702401590273,0.920176999489466,0.923632597443395,0.93369678445203,0.902142031870501,0.916969167508151,0.921683286424682,0.918750221124364,0.872072874188846
"15N_C_CD45",0.955766446034819,0.947023831903441,0.958819843019895,0.965364679252621,0.944603613079473,0.976064864163202,0.95950638114744,0.961142449067033,0.947688262666007,0.974094717792605,0.923261822053195,1,0.949304954510499,0.968408909380026,0.977379311869619,0.917247407371631,0.961266182722009,0.952200657881132,0.894019112460753,0.851677502712883,0.960165390337811,0.934736573023246,0.949818760458876,0.971875135553838,0.975251312231583,0.947053714548894,0.961988636034949,0.915194343724046,0.970150843648366,0.980621364091478,0.949509221563019,0.948229222655875,0.972009247162464,0.964918244735162
"15R_D_CD45",0.959286615863529,0.927349292235126,0.95037801184797,0.96956046695831,0.964085964052405,0.948392600988129,0.947203957559579,0.968962503481911,0.934305393125897,0.955310798425313,0.904517379658727,0.949304954510499,1,0.961005223817927,0.95578375816945,0.906602946681447,0.951762141643756,0.922931570846426,0.809884144297339,0.791981423132328,0.924117372173915,0.946773466394881,0.899312709463073,0.942745912296477,0.955223896579552,0.910802245677658,0.932684664354231,0.933443732535415,0.94062183989259,0.962604026816882,0.958216864577858,0.916846485972923,0.965009399892925,0.934493810786488
"16L_D_CD45",0.953402603104706,0.935864645850731,0.965225640935053,0.971059234524957,0.956111620324252,0.977231227822038,0.971921919458094,0.965142882745746,0.953271480975618,0.971026500636258,0.916070204703028,0.968408909380026,0.961005223817927,1,0.977063685078817,0.929569664985293,0.962437954692088,0.948820181589088,0.871009250676562,0.854473533826282,0.954152461305428,0.943727942667453,0.93857324483576,0.964762498562984,0.974714544953741,0.943659138734702,0.960217806448744,0.928876416235111,0.963407581488501,0.973679384009105,0.943542616479359,0.95215024976442,0.969551119494955,0.955597951795146
"17N_A_CD45",0.949824958747584,0.9344671622106,0.968097037572311,0.973195974508905,0.953325080553403,0.972249336251916,0.9630488910603,0.96861696165067,0.943213504812339,0.976213109264597,0.91697769896972,0.977379311869619,0.95578375816945,0.977063685078817,1,0.937814177729481,0.96549639807037,0.952836766124073,0.88579009588485,0.864505305079435,0.959001104031294,0.940326498805805,0.951613822169746,0.970200900814664,0.981336977637975,0.957042782961933,0.964425196657642,0.927117375726731,0.970973660202953,0.977260509421083,0.934864015564177,0.959413468190922,0.965385749277492,0.9606456215515
"2N__CD45",0.913528709318587,0.913357202171646,0.939941198358521,0.93768230724862,0.902300508847815,0.905949393464386,0.891326412674992,0.91807587349058,0.858782505888658,0.900353320671658,0.922009192799269,0.917247407371631,0.906602946681447,0.929569664985293,0.937814177729481,1,0.933215784728804,0.946253184873189,0.889863044338762,0.888812696988769,0.941191060966182,0.899350026816376,0.92644888139165,0.938882150747823,0.935422306895325,0.95249700500979,0.919396835229117,0.89297817264436,0.944743492302767,0.909398539091672,0.865702916897763,0.935957829534327,0.894134681653302,0.877716799539279
"2R_A_CD45",0.960397704342667,0.94866540214098,0.957457754942369,0.965007325687042,0.959715163237197,0.957937652612032,0.952858540215312,0.959202009364113,0.933936054002088,0.958592015873194,0.934364224247437,0.961266182722009,0.951762141643756,0.962437954692088,0.96549639807037,0.933215784728804,1,0.974061314052392,0.878585276700176,0.879526886340245,0.966157846463244,0.956446557087157,0.957227985408487,0.978480376390598,0.96043426352867,0.928785288131503,0.949564832346847,0.940710770440227,0.959439852791843,0.961611717785153,0.955605471979584,0.944960024070076,0.961326174187178,0.938609700084625
"2R_C_CD45",0.945649747568791,0.953990986003325,0.944711677778524,0.945723051295237,0.935015730819159,0.947531958369654,0.932266785565104,0.931355772029772,0.908294167406068,0.936481448922426,0.951766561687032,0.952200657881132,0.922931570846426,0.948820181589088,0.952836766124073,0.946253184873189,0.974061314052392,1,0.913682548791989,0.920745353643483,0.967357861843399,0.938927393783887,0.962442699860372,0.970221172122073,0.95230582823946,0.93567467835292,0.945236956846106,0.912845943606033,0.961504402021305,0.937424106766152,0.929187880953736,0.951930979777435,0.943735537121192,0.905852841214358
"2R_D_CD45",0.847137924874544,0.861058262091968,0.867428533585773,0.86485472536331,0.825465246105228,0.879171698022577,0.853099011788935,0.833826703037404,0.826384353685544,0.860777117407188,0.865254836961061,0.894019112460753,0.809884144297339,0.871009250676562,0.88579009588485,0.889863044338762,0.878585276700176,0.913682548791989,1,0.93245284820805,0.913493590458778,0.838548101373841,0.929736506950195,0.899117380764287,0.891158939827825,0.904056408375337,0.882880871267197,0.792580730576433,0.907359785638029,0.858511186394464,0.813909846082833,0.912958185191744,0.852595475349506,0.833275088856274
"3L_D_CD45",0.824356882754256,0.858925270378216,0.847592927672714,0.841988646392042,0.804166821327374,0.850620461553614,0.836816318796535,0.808395273735169,0.79963898702755,0.825917418829495,0.869805078944389,0.851677502712883,0.791981423132328,0.854473533826282,0.864505305079435,0.888812696988769,0.879526886340245,0.920745353643483,0.93245284820805,1,0.90863834382713,0.829025835692823,0.919675396224266,0.893082776485479,0.865503301709083,0.88037012575561,0.852519459131568,0.795860477086745,0.879106985839651,0.827724088643887,0.794440929891026,0.900998886738825,0.825624122360665,0.801969939934853
"3L_A_CD45",0.941858884335899,0.937267474818522,0.950267617804733,0.949408818425224,0.926945466603366,0.95199181017941,0.939556529885701,0.933166463171679,0.920288336811604,0.943390538916604,0.92169919803983,0.960165390337811,0.924117372173915,0.954152461305428,0.959001104031294,0.941191060966182,0.966157846463244,0.967357861843399,0.913493590458778,0.90863834382713,1,0.926956592014986,0.971909945131245,0.978298017827039,0.95493274976761,0.94266307256028,0.949230421372551,0.900854472137484,0.961217237051571,0.949185582974663,0.921813392779665,0.947577478366965,0.941485932828879,0.92228127695927
"3N_B_CD45",0.948972939422228,0.95484106739721,0.920264403063514,0.943585387834376,0.949684539116429,0.929774542150204,0.937067839707632,0.936626196426107,0.904641030444654,0.938149860018457,0.934607611553804,0.934736573023246,0.946773466394881,0.943727942667453,0.940326498805805,0.899350026816376,0.956446557087157,0.938927393783887,0.838548101373841,0.829025835692823,0.926956592014986,1,0.916600178175421,0.942537594968148,0.931748102603987,0.898737323439849,0.922569165595643,0.940914843914376,0.933543715557352,0.93671000110416,0.95419253509584,0.920606327541359,0.956476068182977,0.91281991154578
"3R_C_CD45",0.918510310176007,0.925493946441455,0.934321591427838,0.932274454581837,0.900688553549006,0.937407453376683,0.923793654490604,0.913180367220499,0.896532565600674,0.935168387267616,0.91456636659515,0.949818760458876,0.899312709463073,0.93857324483576,0.951613822169746,0.92644888139165,0.957227985408487,0.962442699860372,0.929736506950195,0.919675396224266,0.971909945131245,0.916600178175421,1,0.971496732580746,0.943614196576941,0.936552231348016,0.934720951361883,0.87931978475447,0.952899592615817,0.936322955092119,0.897909513912269,0.940770492337598,0.925970331677169,0.913453988128087
"3R_B_CD45",0.95830148710433,0.946567717897259,0.960463043035349,0.963007079567756,0.941097923984986,0.962804855623777,0.953809241151591,0.952872954362712,0.934793779477296,0.959616230242711,0.92658491951644,0.971875135553838,0.942745912296477,0.964762498562984,0.970200900814664,0.938882150747823,0.978480376390598,0.970221172122073,0.899117380764287,0.893082776485479,0.978298017827039,0.942537594968148,0.971496732580746,1,0.966391812740487,0.94508931131664,0.957685316930781,0.917104922506934,0.96808977550472,0.968572003914163,0.941326163134856,0.950964380459507,0.957395632939793,0.944096775670293
