"","knn","NearestCellType","CellType","MeanDistance","SpatialManual","Treatment","Growth","sample"
"5","knn3","EpCAM","CD8",39.9619294720996,"Infiltrating","PDL1","growing","P24T1"
"8","knn3","EpCAM: SMA","CD8",52.7225336699768,"Infiltrating","PDL1","growing","P24T1"
"11","knn3","SMA","CD8",16.9493539789847,"Infiltrating","PDL1","growing","P24T1"
"14","knn3","Unclass","CD8",28.0762263357204,"Infiltrating","PDL1","growing","P24T1"
"80","knn3","EpCAM","CD8",32.1225777378723,"Infiltrating","PDL1","growing","P24T2"
"83","knn3","EpCAM: SMA","CD8",34.5773378976414,"Infiltrating","PDL1","growing","P24T2"
"86","knn3","SMA","CD8",17.8734545331956,"Infiltrating","PDL1","growing","P24T2"
"89","knn3","Unclass","CD8",24.2862577170351,"Infiltrating","PDL1","growing","P24T2"
"155","knn3","EpCAM","CD8",34.3310980038422,"Infiltrating","PDL1","stable","P24T3"
"158","knn3","EpCAM: SMA","CD8",30.1813313277352,"Infiltrating","PDL1","stable","P24T3"
"161","knn3","SMA","CD8",15.9708642750149,"Infiltrating","PDL1","stable","P24T3"
"164","knn3","Unclass","CD8",35.9949538858457,"Infiltrating","PDL1","stable","P24T3"
"230","knn3","EpCAM","CD8",23.8097655692235,"restricted","PDL1",NA,"P25T1"
"233","knn3","SMA","CD8",27.4927614773069,"restricted","PDL1",NA,"P25T1"
"236","knn3","Unclass","CD8",48.1920548844928,"restricted","PDL1",NA,"P25T1"
"278","knn3","EpCAM","CD8",26.2080114341122,"restricted","PDL1","stable","P25T2"
"281","knn3","SMA","CD8",30.0620994045927,"restricted","PDL1","stable","P25T2"
"284","knn3","Unclass","CD8",40.017617335768,"restricted","PDL1","stable","P25T2"
"326","knn3","EpCAM","CD8",44.9270325366952,"restricted","PDL1","growing","P26T1"
"329","knn3","EpCAM: SMA","CD8",67.362948168925,"restricted","PDL1","growing","P26T1"
"332","knn3","SMA","CD8",18.227737713612,"restricted","PDL1","growing","P26T1"
"335","knn3","Unclass","CD8",26.0789306004034,"restricted","PDL1","growing","P26T1"
"401","knn3","EpCAM","CD8",87.1290119223447,"restricted","PDL1",NA,"P26T2"
"404","knn3","EpCAM: SMA","CD8",76.1212139820092,"restricted","PDL1",NA,"P26T2"
"407","knn3","SMA","CD8",20.7838391797493,"restricted","PDL1",NA,"P26T2"
"410","knn3","Unclass","CD8",35.2322583582712,"restricted","PDL1",NA,"P26T2"
"476","knn3","EpCAM","CD8",25.684014726961,"Infiltrating","PDL1",NA,"P26T3"
"479","knn3","EpCAM: SMA","CD8",94.6472227236652,"Infiltrating","PDL1",NA,"P26T3"
"482","knn3","SMA","CD8",31.71923347689,"Infiltrating","PDL1",NA,"P26T3"
"485","knn3","Unclass","CD8",16.9412440359339,"Infiltrating","PDL1",NA,"P26T3"
"551","knn3","EpCAM","CD8",69.1029642114784,NA,"PDL1","growing","P27T1"
"554","knn3","EpCAM: SMA","CD8",7919.73814699934,NA,"PDL1","growing","P27T1"
"557","knn3","SMA","CD8",6967.17454887033,NA,"PDL1","growing","P27T1"
"560","knn3","Unclass","CD8",17.4776096943474,NA,"PDL1","growing","P27T1"
"626","knn3","EpCAM","CD8",26.8977347268818,"Infiltrating","PDL1","stable","P28T1"
"629","knn3","EpCAM: SMA","CD8",115.537832166079,"Infiltrating","PDL1","stable","P28T1"
"632","knn3","SMA","CD8",92.9823657270467,"Infiltrating","PDL1","stable","P28T1"
"635","knn3","Unclass","CD8",27.030770888554,"Infiltrating","PDL1","stable","P28T1"
"701","knn3","EpCAM","CD8",153.335126312092,"restricted","PDL1","growing","P29T1"
"704","knn3","EpCAM: SMA","CD8",178.570277858514,"restricted","PDL1","growing","P29T1"
"707","knn3","SMA","CD8",70.2646798349859,"restricted","PDL1","growing","P29T1"
"710","knn3","Unclass","CD8",25.5393123173911,"restricted","PDL1","growing","P29T1"
"776","knn3","EpCAM","CD8",73.8246082169253,"restricted","PDL1","growing","P29T2"
"779","knn3","EpCAM: SMA","CD8",68.8985902373071,"restricted","PDL1","growing","P29T2"
"782","knn3","SMA","CD8",24.2694839967484,"restricted","PDL1","growing","P29T2"
"785","knn3","Unclass","CD8",26.2698530241219,"restricted","PDL1","growing","P29T2"
"851","knn3","EpCAM","CD8",23.9679514376733,"Infiltrating","PDL1",NA,"P30T1"
"854","knn3","EpCAM: SMA","CD8",185.039122479244,"Infiltrating","PDL1",NA,"P30T1"
"857","knn3","SMA","CD8",202.99399882031,"Infiltrating","PDL1",NA,"P30T1"
"860","knn3","Unclass","CD8",19.4196462214514,"Infiltrating","PDL1",NA,"P30T1"
"926","knn3","EpCAM","CD8",12.7475805953277,"Infiltrating","PDL1","stable","P30T2"
"929","knn3","EpCAM: SMA","CD8",285.853432885354,"Infiltrating","PDL1","stable","P30T2"
"932","knn3","SMA","CD8",355.949147074118,"Infiltrating","PDL1","stable","P30T2"
"935","knn3","Unclass","CD8",26.9763572577945,"Infiltrating","PDL1","stable","P30T2"
"1001","knn3","EpCAM","CD8",70.8010078561864,"restricted","Vehicle","growing","P30T1"
"1004","knn3","SMA","CD8",22.2120559237338,"restricted","Vehicle","growing","P30T1"
"1007","knn3","Unclass","CD8",41.3666397039867,"restricted","Vehicle","growing","P30T1"
"1049","knn3","EpCAM","CD8",49.2224298887209,"restricted","PDL1+LY","growing","P31T1"
"1052","knn3","EpCAM: SMA","CD8",100.58772933057,"restricted","PDL1+LY","growing","P31T1"
"1055","knn3","SMA","CD8",30.4816294488985,"restricted","PDL1+LY","growing","P31T1"
"1058","knn3","Unclass","CD8",18.5134968484564,"restricted","PDL1+LY","growing","P31T1"
"1124","knn3","EpCAM","CD8",45.494853238138,"restricted","PDL1+LY","stable","P31T2"
"1127","knn3","EpCAM: SMA","CD8",76.7638756921953,"restricted","PDL1+LY","stable","P31T2"
"1130","knn3","SMA","CD8",44.4668605181252,"restricted","PDL1+LY","stable","P31T2"
"1133","knn3","Unclass","CD8",19.2643222967983,"restricted","PDL1+LY","stable","P31T2"
"1199","knn3","EpCAM","CD8",22.1832643188894,"Infiltrating","PDL1+LY","stable","P32T1"
"1202","knn3","EpCAM: SMA","CD8",43.2761676430318,"Infiltrating","PDL1+LY","stable","P32T1"
"1205","knn3","SMA","CD8",31.5034609637733,"Infiltrating","PDL1+LY","stable","P32T1"
"1208","knn3","Unclass","CD8",22.4092032065563,"Infiltrating","PDL1+LY","stable","P32T1"
"1274","knn3","EpCAM","CD8",32.6957878212506,"restricted","PDL1+LY","growing","P33T1"
"1277","knn3","EpCAM: SMA","CD8",70.4688204470277,"restricted","PDL1+LY","growing","P33T1"
"1280","knn3","SMA","CD8",20.8917800036548,"restricted","PDL1+LY","growing","P33T1"
"1283","knn3","Unclass","CD8",15.8320599193818,"restricted","PDL1+LY","growing","P33T1"
"1349","knn3","EpCAM","CD8",39.2281808267701,"restricted","PDL1+LY","growing","P34T2"
"1352","knn3","SMA","CD8",23.0636859928962,"restricted","PDL1+LY","growing","P34T2"
"1355","knn3","Unclass","CD8",22.1894313245735,"restricted","PDL1+LY","growing","P34T2"
"1397","knn3","EpCAM","CD8",15.5442937646535,"Infiltrating","PDL1+LY","stable","P34T3"
"1400","knn3","EpCAM: SMA","CD8",53.4327554106199,"Infiltrating","PDL1+LY","stable","P34T3"
"1403","knn3","SMA","CD8",37.2896843417231,"Infiltrating","PDL1+LY","stable","P34T3"
"1406","knn3","Unclass","CD8",17.3359761878132,"Infiltrating","PDL1+LY","stable","P34T3"
"1472","knn3","EpCAM","CD8",91.0751669576987,"restricted","PDL1+LY","growing","P35T1"
"1475","knn3","Unclass","CD8",11.5258914612054,"restricted","PDL1+LY","growing","P35T1"
