"","Var1","Var2","MH.lower","MH.upper","gridsize","variable","value","L1","SpatialManual","Treatment","Growth","CD8frac"
"21","EpCAM","CD8",0.353884650341547,0.362284333278439,150,"MH.mean",0.358014288482878,"10LB","Infiltrating","PDL1","growing",0.0476926119861338
"22","EpCAM: SMA","CD8",0.34663738490322,0.357778443817487,150,"MH.mean",0.351080794577143,"10LB","Infiltrating","PDL1","growing",0.0476926119861338
"23","SMA","CD8",0.493034289231373,0.503120388518214,150,"MH.mean",0.499020043159828,"10LB","Infiltrating","PDL1","growing",0.0476926119861338
"24","Unclass","CD8",0.441684243290937,0.455855106363291,150,"MH.mean",0.451370275251266,"10LB","Infiltrating","PDL1","growing",0.0476926119861338
"121","EpCAM","CD8",0.307629231147099,0.35332853580495,150,"MH.mean",0.333823897052082,"10LC","Infiltrating","PDL1","growing",0.010787460286585
"122","EpCAM: SMA","CD8",0.34150638819711,0.396537548582381,150,"MH.mean",0.369071548469592,"10LC","Infiltrating","PDL1","growing",0.010787460286585
"123","SMA","CD8",0.36402520705218,0.418301020415312,150,"MH.mean",0.393756587710418,"10LC","Infiltrating","PDL1","growing",0.010787460286585
"124","Unclass","CD8",0.410996883820861,0.464866174033672,150,"MH.mean",0.437058310444382,"10LC","Infiltrating","PDL1","growing",0.010787460286585
"221","EpCAM","CD8",0.615792696990425,0.624680359361646,150,"MH.mean",0.619188600369958,"10LD","Infiltrating","PDL1","stable",0.0479456512895615
"222","EpCAM: SMA","CD8",0.554818709587738,0.564541035355473,150,"MH.mean",0.559622352044717,"10LD","Infiltrating","PDL1","stable",0.0479456512895615
"223","SMA","CD8",0.647760692410721,0.658241272306555,150,"MH.mean",0.654266516700005,"10LD","Infiltrating","PDL1","stable",0.0479456512895615
"224","Unclass","CD8",0.53357667524057,0.542670444366518,150,"MH.mean",0.538381373918263,"10LD","Infiltrating","PDL1","stable",0.0479456512895615
"313","EpCAM","CD8",0.378983000487372,0.391519307643465,150,"MH.mean",0.384919964275964,"10NA","restricted","PDL1",NA,0.0319309795486363
"314","SMA","CD8",0.420916996419042,0.429195798441409,150,"MH.mean",0.425420726212795,"10NA","restricted","PDL1",NA,0.0319309795486363
"315","Unclass","CD8",0.338575224381835,0.343156812460041,150,"MH.mean",0.338213406453039,"10NA","restricted","PDL1",NA,0.0319309795486363
"373","EpCAM","CD8",0.299622429677754,0.321806572477192,150,"MH.mean",0.310797422717848,"10ND","restricted","PDL1","stable",0.0257829624400936
"374","SMA","CD8",0.245378106554285,0.259294713997694,150,"MH.mean",0.252828317891371,"10ND","restricted","PDL1","stable",0.0257829624400936
"375","Unclass","CD8",0.228472079207891,0.243352429769532,150,"MH.mean",0.236752932077242,"10ND","restricted","PDL1","stable",0.0257829624400936
"441","EpCAM","CD8",0.409270651229662,0.45593903764939,150,"MH.mean",0.437652145932401,"10RBL","restricted","PDL1","growing",0.0104720537207619
"442","EpCAM: SMA","CD8",0.396758883828673,0.446270037979947,150,"MH.mean",0.427840273019011,"10RBL","restricted","PDL1","growing",0.0104720537207619
"443","SMA","CD8",0.539116648721967,0.587180105077212,150,"MH.mean",0.567694647606992,"10RBL","restricted","PDL1","growing",0.0104720537207619
"444","Unclass","CD8",0.503781841996888,0.529859008673864,150,"MH.mean",0.510137131654764,"10RBL","restricted","PDL1","growing",0.0104720537207619
"541","EpCAM","CD8",0.301719353193712,0.304297696990359,150,"MH.mean",0.303427530168004,"10RBU","restricted","PDL1",NA,0.155480427254777
"542","EpCAM: SMA","CD8",0.362162337620265,0.367927779805056,150,"MH.mean",0.366120820732285,"10RBU","restricted","PDL1",NA,0.155480427254777
