"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MLPH",0.613497321428572,0.505435123042506,26.934418661948,9.16000973006629e-98,2.23211117102255e-93,212.150357887572
"FOXA1",0.479093303571429,0.455619463087248,24.9574297080526,1.59431112359143e-88,1.9425086729838e-84,191.038999166635
"CENPN",-0.929772767857142,-0.682710067114094,-22.8841717483082,9.97990097347387e-79,8.10634089738704e-75,168.646943965151
"C16orf61",-0.988919196428571,-0.684003355704698,-22.234576393528,1.20576966046057e-75,7.34554877152578e-72,161.600284152264
"PRR11",-0.747906696428571,-0.636257718120805,-22.1196942733823,4.23282962441368e-75,2.02623021164846e-71,160.353345431133
"ESR1",0.663387053571429,0.563546308724832,22.1046568588967,4.98907635829397e-75,2.02623021164846e-71,160.190117579501
"CCNA2",-0.867304017857144,-0.679154586129754,-21.8460885282017,8.4267810157319e-74,2.93348285416221e-70,157.383129458906
"NME3",0.79945,0.531721252796421,21.8047738939098,1.32381885889704e-73,4.03235224420037e-70,156.934587188703
"GATA3",0.639067410714286,0.554944742729306,21.7238317031755,3.20741288458137e-73,8.68424857460875e-70,156.055804909636
"U79293",0.88593125,0.526193288590604,21.5313180580847,2.6316534508921e-72,6.41281312913386e-69,153.965691375287
"CENPW",-0.832941071428572,-0.602985682326622,-21.4033296570598,1.06633492020104e-71,2.18383348005212e-68,152.576183246088
"NDC80",-0.8096125,-0.58921610738255,-21.402553006225,1.07542686148332e-71,2.18383348005212e-68,152.567751791501
"FAM83D",-0.80525,-0.626346085011186,-21.2959448652174,3.44901695628969e-71,6.46504963006671e-68,151.410437086144
"CRIPAK",0.960970535714285,0.383562863534676,21.2512336696609,5.62269034899507e-71,9.78669417316514e-68,150.925090866133
"CCDC24",0.842426785714286,0.559574944071588,21.0333452409215,6.08310308291205e-70,9.88220372829339e-67,148.560212397752
"CENPA",-0.797045982142857,-0.670816554809843,-20.929182460712,1.89847966195737e-69,2.89138452516108e-66,147.429914574958
"BUB1",-0.842071875,-0.678751454138702,-20.5995981177562,6.94561182720377e-68,9.95592170619421e-65,143.854954907619
"CHEK1",-0.797239285714285,-0.583476510067114,-20.2991082079812,1.84446297201254e-66,2.49699298344454e-63,140.598112238263
"PSAT1",-0.618866964285714,-0.539588143176734,-20.2807860321015,2.25249839759953e-66,2.88888847119502e-63,140.39962376902
"PTTG3",-0.941960267857143,-0.663790827740492,-20.2468872683345,3.26011719366715e-66,3.97212678876405e-63,140.032422243889
"C14orf79",0.897099107142857,0.523959507829978,20.1993563604421,5.47446565502532e-66,6.35246567055509e-63,139.5176246296
"MAD2L1",-0.943102232142857,-0.563607829977629,-20.1218724705357,1.27416693726974e-65,1.41131363306313e-62,138.678598241089
"DTX3",0.902372321428572,0.372770469798658,20.0126067572201,4.19192402052128e-65,4.44125237095924e-62,137.495840044408
"EVL",0.876152232142857,0.556020581655481,19.8871553621745,1.64409855305495e-64,1.6693080642018e-61,136.138520658933
"CDKN3",-0.88024375,-0.638012975391499,-19.684801098948,1.4878897079772e-63,1.45027585615953e-60,133.950741427825
"LYAR",-0.856232589285714,-0.428453020134228,-19.4594799137486,1.72447824158954e-62,1.61623406888669e-59,131.517228628042
"ANLN",-0.761611160714285,-0.655878747203579,-19.4314225176188,2.33920894051883e-62,2.11117938750232e-59,131.21440986248
"DLGAP5",-0.798480357142857,-0.623787695749441,-19.3766866705489,4.23958181383772e-62,3.68964748712848e-59,130.623793984869
