"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fdxacb1",156.865217112672,-0.64005190914474,0.95009632237242,-0.673670546946766,0.500520791010331,0.959103634489587
"Mrpl52",912.054744290685,0.669305161398405,0.309029978479825,2.16582599749979,0.0303244859375252,0.51952469337484
"Rrlt",11.2807245383608,-2.54305451148339,1.80536867829607,-1.40860675276784,0.158951480999752,0.798979890200388
"Ensa",1349.39109636773,0.0716471544121091,0.441109457264197,0.162424888499266,0.870971272876945,0.997513127478614
"Tpm1",6312.94723206733,0.502782692394613,0.425079731989113,1.1827962016488,0.23688992630968,0.860425545367808
"Efhd2",2363.44209921057,0.990072183862097,0.649016521733964,1.52549611713573,0.127135401292187,0.743014610910217
"Aaas",309.752992470416,0.849083092349923,0.654484544748413,1.29733100523606,0.194517320643903,0.826905987774461
"Ubl4a",464.052582160624,0.569967447625672,0.696599017832259,0.8182145438553,0.413234691925897,0.944346590134154
"Otub1",1772.15577591739,0.720762566845209,0.284999817074921,2.52899308582971,0.0114390280631845,0.39344143863949
"Bach1",156.719986817845,0.192220157259573,0.597079987294579,0.321933679489977,0.747502937780469,0.986044038730899
"Xcr1",13.9262510435728,0.842046614746809,2.07986390165245,0.404856593778951,NA,NA
"Csf3",3059.41504100413,-0.0586284206588931,1.10932021529126,-0.0528507637837464,0.957850814336713,0.998730073717493
"Eloa",1340.83630747916,-0.830880767728128,0.873643206322638,-0.951052742944678,0.341577602355262,0.917575548537265
"Cox4i1",1427.7614766954,1.01233673925313,0.461775354908113,2.19227104368655,0.0283599412934822,0.507414170327067
"Arg1",395.110252778243,1.57322586150461,1.01443463678606,1.55084004868851,0.120940020430224,0.742701462647877
"Thbs4",126.307157283927,2.43052431798875,2.06152644287007,1.17899255010523,0.238401142362234,0.861661155258164
"Rcn2",2261.39974744691,0.188899827151072,0.507225236588519,0.372418037441452,0.709581626297483,0.986044038730899
"Neu2",75.5272890082359,-2.89160754358353,1.07601149991064,-2.68733888422538,0.00720238392854358,0.339746080066423
"Inhba",120.43858452024,0.131584238873704,2.04741666547097,0.0642684222966579,0.948756496812852,0.997756344533854
"Fdx1",540.577699178432,0.362937916212242,0.948629534374549,0.382591837024697,0.702022423703153,0.986044038730899
"Cd63",13911.0823659912,1.07528401296582,0.706559698520261,1.52185868401181,0.128044493467079,0.744126070527625
"Vdr",279.254501324529,-2.30944292090938,0.539171180501021,-4.28332040811853,1.84124724878586e-05,0.0196762376449798
"Tbxa2r",18.5526426556487,-0.0214041503771481,1.74592863510413,-0.0122594646463722,0.990218607450439,0.998730073717493
"Cd37",143.531237541148,1.36490975167983,1.71479726600692,0.795959836615646,0.426055380160243,0.944346590134154
"Areg",4754.42637229801,-0.953329027207316,0.856309929907442,-1.11329904502025,0.265580016461026,0.880188838053376
"Casp12",509.481937279679,0.371099705239262,0.933198604461438,0.397664230813364,0.690877707242314,0.986044038730899
"Anxa7",1277.13249138926,0.192439423388671,0.470837291947963,0.408717462868128,0.68274701689379,0.986044038730899
"Slco1a2",25.007689167833,0.528041331551468,2.20709262055762,0.239247472730917,NA,NA
"Lonp1",584.706401711474,-0.398091653751082,0.604393890225708,-0.658662604286779,0.51011245172731,0.960649202888649
"Naa35",374.063275215195,0.0620599613411369,0.436533860925282,0.142165286352802,0.886949450718437,0.997513127478614
"Asb1",35.3082136922509,0.14670937017113,1.72681462893233,0.0849595363121508,0.93229355969744,0.997513127478614
"Fgfr2",822.252397589276,0.786844487854399,1.33957503959542,0.587383658695255,0.556946066302844,0.969047362387419
"Brsk1",22.5484630230579,-0.185006623730327,1.44198364139413,-0.128300084979785,0.897911497857883,0.997513127478614
"Preb",490.302682026327,0.504198983846723,0.809491966259895,0.622858539506302,0.533377485502541,0.962359352628842
"Fgd3",64.0489526122333,1.25401022854571,1.83872827767804,0.681998663842428,0.495239795747035,0.957762809706792
"Pbx4",20.9452754649687,1.91596649531107,2.05334825293303,0.933093786002582,0.350771547234925,0.921501995292742
"B4galt5",355.696771609175,1.56397534704406,1.48582210929644,1.05259932347125,0.292524667378703,0.892223005977337
"Polr3f",111.785353807352,-1.1621360729875,1.13277484005876,-1.0259197431744,0.304929415623958,0.898840043527332
"Smc2",329.914295359947,-0.285224343963611,1.02144862591801,-0.279235134030622,0.780064382469534,0.988684375765927
"Ephx3",36.7691282939218,1.81389224063672,1.73363660249023,1.04629323009863,0.295425670088698,0.893191551412716
"Cbfa2t3",53.7762227542828,1.53053032239463,1.68306755312739,0.909369513749272,0.363155108535525,0.927507106089749
"Plec",1342.27276327652,-0.334507543358691,0.781514873094099,-0.428024539103575,0.668633254748822,0.986044038730899
"Strn4",992.322691180663,0.100922225339022,0.620240762015106,0.162714596523994,0.870743153793622,0.997513127478614
"Hmg20a",179.602820085193,-1.43418587212505,1.29093889447437,-1.11096340676063,0.266584100746831,0.880188838053376
"Smim22",681.77886616327,-0.26769527222543,0.4786362705393,-0.559287477156309,0.575965540461375,0.96913653221857
