"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fdxacb1",135.845894539049,-0.0378648706663086,0.21236392745251,-0.17830180068965,0.8584859647284,0.954858142118017
"Mrpl52",1093.26724762942,-0.0533737898575906,0.164238037256558,-0.324978249552598,0.745197533352914,0.91381729825258
"Rrlt",9.68464025271342,-0.366104506510488,0.534293224201769,-0.685212707043864,0.493209706491443,0.794781251462219
"Ensa",1229.27071634662,0.0255282680970858,0.0912211264533441,0.279850393101015,0.77959228758768,0.92498158971374
"Tpm1",10246.3538021337,0.066537957720147,0.249324255784867,0.266873182918713,0.789566804954298,0.929497350042436
"Efhd2",2657.2929929467,0.473841528872047,0.231141172910933,2.05000919093993,0.0403635339308348,0.266897300224873
"Aaas",305.194252802141,-0.0353549496215104,0.142596293050532,-0.247937368252494,0.804182866705312,0.934422234886679
"Ubl4a",680.94892734627,-0.216325431476565,0.182373796853405,-1.18616509174534,0.235557109001552,0.594003351885228
"Otub1",2043.06823825625,0.169329270837118,0.0994593548676969,1.70249717648343,0.088662207321294,0.384556648522437
"Bach1",225.882615108361,0.573776463551458,0.406778738228013,1.41053700606603,0.158381177385946,0.50171961720902
"Xcr1",7.11472871804008,-1.02482930353085,0.785704068726364,-1.30434516546683,0.192115922326356,0.544425685308356
"Csf3",2077.68241207393,2.17788061374005,0.841788329704866,2.58720694607826,0.00967574611281962,0.118912462105245
"Eloa",1615.23912669587,0.113394820418875,0.171672396937261,0.660530303309717,0.508913578631784,0.804604500937387
"Cox4i1",2085.75178372667,-0.22282199369472,0.132282730023481,-1.68443751996324,0.0920971448166013,0.392419145428597
"Arg1",375.422700351232,0.502863434062712,0.373795536754108,1.34529009744038,0.17853157019341,0.528155895155505
"Thbs4",116.487450563996,0.90763933402231,0.821166936371821,1.10530428567004,0.269027761532127,0.631354308895375
"Rcn2",2602.36083651804,-0.0687900097236969,0.139194865645131,-0.494199332747465,0.621165410952211,0.860834939761481
"Neu2",83.9348827042103,-0.545476998328809,0.467353069677588,-1.16716254523612,0.243144733456355,0.603692285802496
"Inhba",243.588482042787,1.61670595095936,0.65307846478996,2.47551563575032,0.013304393599744,0.148285081944222
"Fdx1",605.494227088259,-0.0303707969404821,0.186412054569559,-0.162922923684365,0.870579121486727,0.957995171318219
"Cd63",13662.6276811135,0.583087760563594,0.305370358383338,1.90944453040734,0.0562047709385355,0.314054374482903
"Vdr",724.821150890122,-0.372900883434297,0.394817383429791,-0.944489526258686,0.344919551570783,0.694318717644974
"Tbxa2r",31.9407511754877,0.634841431151128,0.50848318567498,1.24850034187151,0.211847883286625,0.566314865409549
"Cd37",90.4689472820965,0.634483641544659,0.600136139316652,1.05723285097797,0.290405330532661,0.647348434728002
"Areg",2964.01655905631,0.184029097542808,0.471368186427433,0.390414760354514,0.696229874969923,0.893277830540197
"Casp12",384.907520620909,0.0641720302157732,0.259542744260893,0.247250334038494,0.804714493305919,0.934527442316663
"Anxa7",1597.14824361077,0.125202994924324,0.104237819798136,1.20112829649343,0.229701438163601,0.58793487229022
"Slco1a2",9.8276058677703,0.536182536812792,0.885472112762274,0.60553294574139,0.544824940905516,0.821661817914295
"Acsl6",5.24032795954265,-3.11718039646299,1.03898214936374,-3.00022517073264,0.00269780089212641,0.0518295159628522
"Lonp1",1215.42791422576,0.10534701546968,0.105058577338323,1.00274549816554,0.31598367141735,0.669691986726851
"Naa35",524.123796451633,-0.260465176257602,0.11474650189631,-2.26991822803426,0.0232125449298874,0.201106835797617
"Atp2b3",11.5437145392452,-3.51349872849402,0.975904970669007,-3.60024678026328,0.000317915303794059,0.0105131722407694
"Asb1",51.2209659060595,-0.0578726903980878,0.276173585690591,-0.209551866639864,0.834017450289293,0.946992330006444
"Fgfr2",1144.51294902819,-0.0617131792195551,0.442485226868198,-0.139469468068676,0.889079181061988,0.966706925796635
"Brsk1",34.2785812270479,-0.704765938813512,0.274392719582913,-2.56845713648956,0.0102152344657847,0.123566502834269
"Preb",762.24178456481,-0.188766399377083,0.122340726428841,-1.54295633912945,0.12284136973148,0.447143954910018
"Cldn15",9.52707736767891,2.09138342582183,0.5785978816066,3.61457152247889,0.000300844757983349,0.0100517542667378
"Fgd3",24.53772585545,-0.0145745915396948,0.519399154652187,-0.0280604837515661,0.977613911051066,0.993740128693676
"Pbx4",7.97558528649516,-1.24211963131972,0.736509415570757,-1.68649525051509,0.0917004491178571,0.391649619618907
"B4galt5",467.666191952737,1.76903777214299,0.588150810964504,3.00779619642445,0.00263149547835297,0.0512337659153551
"Polr3f",177.711151739893,-0.416796376545894,0.161771476118533,-2.57645158804448,0.00998201826866581,0.121533165574884
"Smc2",398.216427514626,-0.332810664022874,0.188377497711481,-1.76672197086197,0.0772748019876121,0.361346146184515
"Ephx3",32.7186327753623,-0.522566413344156,0.490648067660579,-1.06505344214595,0.286851746331101,0.644885770791517
"Cbfa2t3",89.5496711971358,-0.0682737855218617,0.550381250057546,-0.124048167546993,0.90127713736875,0.970434725342896
