"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fdxacb1",110.291786957163,0.555425630241813,0.460318317691327,1.2066120527801,0.227581582863789,0.881624584506101
"Mrpl52",978.215766027549,0.147599273931591,0.25154495101604,0.586770966125172,0.557357538743453,0.963936866291941
"Rrlt",8.54983215765053,-1.15905886195137,1.21246859551161,-0.955949594275714,0.339097701131155,0.923929990736884
"Ensa",1029.5887452027,-0.134649951594104,0.175707935344369,-0.766328232872378,0.443481023390693,0.942942722246045
"Tpm1",4451.09232968657,-0.858499703867384,0.336075903343456,-2.55448157790126,0.0106346057040062,0.367725662285711
"Efhd2",1868.64349990801,-0.460610107037457,0.400514039683848,-1.15004734266256,0.250124372662546,0.895387089261597
"Aaas",233.451490353749,0.0203968461617793,0.381011569616425,0.0535334036767267,0.957306916512236,0.995958297595806
"Ubl4a",518.320347908911,-0.254770312199128,0.262134067257699,-0.971908439312729,0.33109610095149,0.921560421427705
"Otub1",1834.37886481255,-0.200054654321539,0.208765255495617,-0.958275618452899,0.3379237949479,0.923929990736884
"Bach1",94.904662139142,-1.00047561823251,0.46469320412946,-2.15298095462094,0.0313201753668735,0.520032309337794
"Xcr1",2.5408116182761,0.911935220847782,2.13898370852079,0.426340423826056,0.669859806137615,0.976747381629828
"Csf3",329.509478007793,-0.690316390303642,1.36009040946753,-0.507551840302953,NA,NA
"Eloa",1252.42285423568,0.319404231560304,0.269908087273345,1.18338147918048,0.236657994083892,0.886926725071138
"Cox4i1",1389.14649728323,0.0991325717801714,0.287771452350949,0.34448368999186,0.730482559812869,0.979110754527443
"Arg1",563.09567534364,1.60719269935332,0.731766917520943,2.19631779036707,0.0280692052452905,0.501646041292995
"Thbs4",4.63218523225596,-5.0691520053515,2.52779303840232,-2.00536670856386,0.0449238580419773,0.60049142098325
"Rcn2",1563.91699887125,-0.167837952452393,0.321177556345733,-0.522570612847316,0.601273095356,0.96986311021872
"Neu2",43.8943105639865,-1.35346129631625,1.09729536200974,-1.23345212526674,0.217407127813422,0.877018705318916
"Inhba",45.0423069825165,0.273189109820225,1.3169195059532,0.207445564125415,0.835661901405967,0.984864553699943
"Fdx1",519.550335132309,-0.207256960052114,0.264613363683714,-0.78324449365242,0.433483551372786,0.938930979673577
"Cd63",9162.47340436268,0.166050044355027,0.433309103470195,0.383213837478142,0.701561218917917,0.976747381629828
"Vdr",548.393162242096,-0.917080473153716,0.558705451877225,-1.6414382033903,0.100706485033764,0.760422797290932
"Tbxa2r",26.8534812438817,1.40055582673149,1.03734874677009,1.35013015737695,0.17697423639633,0.848065751571467
"Cd37",62.5620213924683,-2.19610724743757,1.20347697989382,-1.82480203952993,0.0680309079887873,0.690891493662171
"Areg",7352.12152568021,0.056701568523466,0.711267619546139,0.0797190353746841,0.936460719596249,0.995099085925491
"Casp12",250.240857633705,-0.687067639554545,0.65131810950648,-1.0548879718317,0.291476563982369,0.907296725406091
"Anxa7",1303.64535663566,-0.358956829565174,0.220515353834415,-1.6278087821255,0.103565437797783,0.765507821815198
"Slco1a2",4.44760265256406,1.26788762856195,1.93599595727918,0.654902002142515,0.512530851099065,0.9546839278584
"Lonp1",778.290780456465,0.390854542994235,0.196723361170175,1.98682322561644,0.0469419898784497,0.610996315524933
"Naa35",455.300787216588,-0.0527260388183316,0.256102518254841,-0.205878642574945,0.836885708826501,0.985160670757197
"Atp2b3",13.6678090872362,-0.803736494694354,1.85092839707872,-0.434234244805404,0.66411834784739,0.976449017654887
"Asb1",32.5639046188086,0.173921522026614,0.628930880045221,0.276535192570142,0.782137033287792,0.982494803487181
"Fgfr2",1787.16498014747,0.112236549245675,0.982676700099862,0.114215132234508,0.90906725661879,0.992846130839405
"Brsk1",16.9023915437022,0.225683653106776,1.14004044187417,0.197961094025545,0.843075503754509,0.985532190309942
