"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean.1","log2FoldChange.1","lfcSE.1","stat.1","pvalue.1","padj.1","baseMean.2","log2FoldChange.2","lfcSE.2","stat.2","pvalue.2","padj.2"
"Rab39a",10.6219112900346,-1.25735799068598,0.896905390337829,-1.40188475198302,0.160949664496528,0.413917309756714,10.6219112900346,-0.733872241856408,0.886832967732641,-0.827520253033323,0.407942247589533,0.628122997116334,10.6219112900346,-1.238284223421,0.854802883623565,-1.44861961411715,0.147443840561267,0.322382970000006
"Fdxacb1",118.903300694505,-0.0709715584490664,0.244853582260305,-0.289853053379535,0.771928658444079,0.896684805263324,118.903300694505,-0.315508629830522,0.24494135953848,-1.28809863072944,0.197711631932851,0.416225592397572,118.903300694505,-0.0210056474483383,0.233197303084393,-0.0900767168852566,0.928226251225982,0.964356120671164
"Mrpl52",1038.12268629565,-0.451912526748652,0.222763034999493,-2.02866928415516,0.0424919864503719,0.211716090038286,1038.12268629565,-0.364512232457929,0.222620552685049,-1.63737008134025,0.101553165694204,0.286195285138211,1038.12268629565,-0.522388548471074,0.212282267251764,-2.4608204690575,0.0138619711609333,0.074128013934817
"Rrlt",14.6404782398105,0.013694915726871,0.397676714292561,0.0344373085842687,0.972528433156705,0.987314587423637,14.6404782398105,0.194214480199214,0.390944229869511,0.496783084032315,0.619342025342757,0.788851872971354,14.6404782398105,0.151770721096412,0.375463585935559,0.404222211638016,0.686049321656283,0.815721517762251
"Ensa",1631.16576229091,-0.149553037874372,0.100721805379832,-1.4848129192124,0.137593388643562,0.379967519933921,1631.16576229091,0.106944587774412,0.100439222103129,1.06476917617505,0.286980397022986,0.515943221597719,1631.16576229091,0.0110523602630392,0.0958717197759789,0.115282799650043,0.908220971349729,0.952553925792824
"Tpm1",493.726118849342,-0.430885089949286,0.371142099323839,-1.16097066523655,0.245653829233302,0.512168027352267,493.726118849342,-0.876070690148442,0.371287075897173,-2.35955072777989,0.0182970790878783,0.11038066652651,493.726118849342,-0.810054182824965,0.35391946926917,-2.28880932856758,0.0220904332323671,0.0993036140496899
"Efhd2",5744.31391456313,-0.305245687136328,0.239626116319624,-1.27384148199096,0.202719600610471,0.46597267372304,5744.31391456313,-0.65608937888756,0.239635629012899,-2.7378624021399,0.00618399436332011,0.0622954371521631,5744.31391456313,-0.674745544869591,0.228370609322642,-2.95460763042547,0.00313066930860442,0.0290468656018248
"Aaas",411.134910174153,0.0261027741016451,0.172677620513009,0.151164777601731,0.879845734363554,0.945071256816893,411.134910174153,0.166214957777533,0.172218334547711,0.965140896374683,0.334474245471658,0.563245386918219,411.134910174153,-0.168906525794249,0.164782380833058,-1.02502782724913,0.305350057693495,0.508340365732077
"Nsun4",19.4912470537024,0.177064698733624,0.387285229836743,0.457194556085355,0.647531210921543,0.831342956136602,19.4912470537024,0.342475721375342,0.38400238158631,0.891858326400419,0.372468874072653,0.596740719555484,19.4912470537024,0.242399244734466,0.355375857309291,0.682092606317657,0.495180395513836,0.678823456101748
"Ubl4a",582.9958220952,-0.452879341880557,0.228118192790036,-1.98528375287189,0.0471129106235566,0.222656906371603,582.9958220952,-0.538242653459731,0.228002994368937,-2.36068238906015,0.0182413459002218,0.11021603227135,582.9958220952,-0.482059324876851,0.217355084722816,-2.21784240976741,0.0265655793414116,0.111355912352308
"Otub1",1791.00592642532,-0.198498651050347,0.172089921392465,-1.15345889779132,0.24872207873196,0.514761110046057,1791.00592642532,-0.220895429013338,0.17201927065828,-1.28413187759731,0.199095815885223,0.417853197267688,1791.00592642532,-0.201648375583505,0.163958766765592,-1.22987248295053,0.218744860012423,0.418287668014572
"Bach1",163.099846286477,0.243789759310261,0.311767366731323,0.781960478629427,0.434237800317869,0.68322240970411,163.099846286477,0.459866427246423,0.311009168537306,1.4786265929368,0.1392401412857,0.341779274165174,163.099846286477,0.136438619599694,0.297191825437938,0.459092774165775,0.646167545395979,0.79086228376615
"Ccr1l1",60.5849864802983,0.88869439902947,0.555196174753692,1.60068537832367,0.109446621276015,0.338057994521985,60.5849864802983,0.114468674778587,0.556782025839633,0.20558974511788,0.837111388624151,0.919446323956515,60.5849864802983,0.897369403573011,0.529354435084544,1.69521466922194,0.0900347051314764,0.23721171141913
"Xcr1",154.29304620868,0.349934839396645,0.831605881049704,0.420794089328632,0.673905448102896,0.846657859926228,154.29304620868,-0.174425996305368,0.831829108362685,-0.209689700146099,0.833909864917306,0.918705461853355,154.29304620868,-0.25639826522093,0.792973770882661,-0.323337636925283,0.746439553352652,0.854177737955568
