"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rab39a",10.6219112900346,-0.797654318988242,0.631681021896969,-1.26274858882549,0.206679546128351,0.474206332313149
"Fdxacb1",118.903300694505,-0.299289125203162,0.175890142974295,-1.70156849123092,0.0888362883217402,0.297034321179671
"Mrpl52",1038.12268629565,-0.0121624300326663,0.157876885884869,-0.0770374330890696,0.938593766138645,0.974455618081044
"Rrlt",14.6404782398105,0.277920831639781,0.277567234686154,1.00127391460316,0.316694400468028,0.592358014376251
"Ensa",1631.16576229091,-0.135129943615056,0.0771899419460453,-1.75061595083864,0.0800120858231358,0.28007564607931
"Tpm1",493.726118849342,-0.565709181030119,0.267414241659992,-2.1154788821958,0.0343891529333969,0.174631442037126
"Efhd2",5744.31391456313,0.241537528681257,0.175334727150493,1.37757951665753,0.168333148696164,0.425237336792148
"Aaas",411.134910174153,-0.0991981677981012,0.1278258999369,-0.776041223625801,0.437724645985468,0.695563993196402
"Nsun4",19.4912470537024,7.68755582905308,0.543335920110613,14.1488083973687,1.89948634229096e-45,2.34738522180316e-43
"Ubl4a",582.9958220952,-0.0173455178468573,0.160864592974849,-0.107826822087377,0.914133065980239,0.964189194777633
"Otub1",1791.00592642532,0.281043721810128,0.120904522884388,2.32450958082741,0.0200981986731442,0.126463105500364
"Bach1",163.099846286477,0.142018913883853,0.222864392639905,0.637243626949958,0.523966164374026,0.757284371433459
"Ccr1l1",60.5849864802983,-0.424694881595038,0.403371082954288,-1.0528639744936,0.292403339242253,0.567717276725179
"Xcr1",154.29304620868,-0.563998282477124,0.593459331890293,-0.950357087958616,0.341930840533408,0.614719424979903
"Csf3",36.45154795502,1.52177234652599,1.34432454885819,1.13199773657225,0.257635386005006,0.530885216573767
"Eloa",1772.64759051217,-0.0461858527205334,0.0954652393502348,-0.483797589938371,0.62852952565559,0.825936248277177
"Cox4i1",3553.98368212552,0.169449112035243,0.192064468864105,0.882251220318823,0.377640968839072,0.646293739497751
"Arg1",210.898187296765,0.246816303206193,0.602102701407982,0.409923925983104,0.681861753523662,0.854176132797304
"Rcn2",803.16615176827,-0.375719987543493,0.179855542870975,-2.08900977721341,0.0367068430595591,0.181885792514046
"Inhba",30.5550128310058,2.1370215852157,0.676436775555709,3.15923329783495,0.00158184807672792,0.022944223629347
"Fdx1",630.147394694334,0.19428863346392,0.257124065748842,0.755622126999579,0.449875785570646,0.704795453438769
"Cd63",5767.11221376046,0.669945824738934,0.355790699780425,1.88297733794725,0.0597034391885849,0.240061977720362
"Vdr",644.688126465627,0.205515392141906,0.250786147801788,0.819484624423268,0.412509970804093,0.675978672335783
"Tnp2",3.6204782237507,1.89269821131376,0.817258135402663,2.31591235293268,0.0205630547166097,0.12776180502155
"Tbxa2r",78.0162631637265,-0.00547876282682859,0.375240100633135,-0.0146006858477662,0.988350752084236,0.99461254614731
"Cd37",5530.50159625554,0.0331080828922553,0.0811223755768679,0.408125164688793,0.683181785886935,0.854789178103286
