"","Observed.score","Pvalue","Adjusted.Pvalue","Leading.Edge","Gene.Set.Term"
"NNeurophysiological process_Olfactory transduction",0.792539674985215,0,0,"109;815;1258;801;2774;5999","Olfactory transduction"
"NProtein folding_ER and cytoplasm",-0.398250020483091,0,0,"3312;3303;3320","ER and cytoplasm"
"NDevelopment_Regulation of telomere length",-0.367140800915666,0,0,"10728;5170;5933;4683;672;54984;7014;7011;10111;6741;3178;54433;5925;1021;3320","Regulation of telomere length"
"NProtein folding_Protein folding nucleus",-0.480761184404895,0,0,"3054;59343;4869;3309;7528;3308;3312;4691;22824;8148;3320","Protein folding nucleus"
"NDevelopment_Cartilage development",0.614095611095901,0,0,"1101;9241;1277;1281;4256;2335;5549;2200;90;112744;1298;4920;860;6615;1280;1301;5600;7067;649;4322;864","Cartilage development"
"NBlood coagulation",0.531314670674461,0,0,"4313;710;135;5270;2149;5327;958;5054;2677;5028;2153;1282;5627;5321;5340;308;2151;857;2147;2150;3998;5328","Blood coagulation"
"NProtein folding_Response to unfolded proteins",-0.434734309502436,0,0,"3306;3309;3308;3315;3312;3337;3326;22824;3336;3301;3303;10808;3320","Response to unfolded proteins"
"NImmune response_Innate immune response to RNA viral infection ",-0.35169960455708,0,0,"10010;23118;10379;57506;10454;5610;3551;29110;103;3659;1387;23586;3627;4938;4599;6401;3725;8737;64135;6885","Innate immune response to RNA viral infection "
"NProteolysis_ECM remodeling",0.704572935227308,0,0,"6695;2006;1277;5046;4327;4313;9509;6590;4317;4325;1281;7077;2335;80781;4060;3371;6696;4314;5327;140766;6678;4323;4035;7448;1471;5054;1282;7373;1280;4326;5340;7078;2331;7076;4322;10893;284217;2147;9507","ECM remodeling"
"NSignal transduction_Neuropeptide signaling pathways",0.531510035383629,0,0,"3061;1238;5368;10316;117;2922;51083;576;1363;7434;5066;1395;5179;1742;5126;6866;22859;2002;2770;283869;6714;801;2767","Neuropeptide signaling pathways"
"NProteolysis_Connective tissue degradation",0.670108886663544,0,0,"6695;2006;1277;5046;4327;4313;9509;6590;4317;4325;1281;7077;5270;2335;4060;1990;3371;3693;4314;1803;5327;1307;140766;4323;4035;7448;1471;5054;1285;8745;1282;1280;4326;8728;5340;7078;2331;5547;7076;4322;10893;284217;9507;9510","Connective tissue degradation"
"NInflammation_Inflammasome",-0.335651962234837,0,0,"440068;23118;10379;57506;10392;10454;9451;5610;3551;29110;1386;22861;23586;5603;8737;5295;64135;58484;335;695;6885","Inflammasome"
"NDNA damage_DBS repair",-0.42968461103284,0,0,"5893;55120;3065;2237;4204;4683;5928;5429;7314;23411;5520;672;84126;27434;79677;3978;7158;59343;7316;11200;4750;23137;3148;23409;3981;10111;2176;5888;2175;7150;8438;2177;64421","DBS repair"
"NChemotaxis",0.497494885226044,0,0,"1238;6356;9547;2247;6354;6347;10563;5168;6387;6696;1236;9353;3932;4843;6364;3603;6092;5600;2770;960;10663;3554;51192;4684;5328;6352;1233;3683;6850;920;6366;2534;3553;7422;6372","Chemotaxis"
"NTransport_Potassium transport",0.485892610765425,0,0,"6532;3782;6512;3742;57657;3757;5348;56479;482;9992;6560;3779;7881;10052;2697;3751;8514;53822;10060;610;84679;57192;1258;170850;79054;10723;57419;3780;81033;57582;3767;358","Potassium transport"
"NDNA damage_BER-NER repair",-0.343551264956329,0,0,"7374;2237;2071;4683;7507;142;5983;672;2966;84126;5427;3978;7158;11200;5981;54840;4595;10111;2965;5426;2074;3364;11232;10721;55247","BER-NER repair"
"NCell cycle_Core",-0.403987357213412,0,0,"4085;4172;4175;4174;84515;23595;1164;3978;9183;990;1027;81620;10270;10403;55388;10592;332;999;8556;4176;8318;4173;699;9134;5426;4751;7150;5925;4998;1021;26271","Core"
"NProtein folding_Folding in normal condition",-0.321395281605079,0,0,"5533;5903;6950;5481;9829;7184;59343;10294;1410;3306;3308;3315;3312;3337;3326;3336;3301;8148;3303;10808;3320","Folding in normal condition"
"NCytoskeleton_Spindle microtubules",-0.269517543842705,0,0,"4085;6950;27436;10426;1164;9183;9126;10403;51512;8243;84790;51434;8556;9972;11004;699;55835;4926;1063;3833;4751;51361;1060;3832;4133","Spindle microtubules"
"NDevelopment_Skeletal muscle development",0.470876175753216,0,0,"2247;2006;22801;84676;2318;59;6329;50509;4635;72;10398;1742;7291;7169;3479;9215;8910;1674;1289;4634;1282;825;5600;4000;775;6334;2627;6443;801;58;4629;2115;3679;1605;22933;6929;7040;23164;7422;2771;2275;3688;6300;10014","Skeletal muscle development"
"NCell adhesion_Platelet aggregation",0.514479046113047,0,0,"1277;5740;1281;89;150;115;5739;113;2149;9846;953;7535;2316;108;27040;7941;5028;5742;109;1282;1280;5321;2770;10235;6714;5743;801;2767;2147;88;489;2781;7409;954;5747;6464;3937;2778;7408;6850;4638;207;5573;3611;111;2771;22953;5566;112","Platelet aggregation"
"NMuscle contraction",0.53590143071724,0,0,"1238;84676;1134;3757;59;3678;89;51083;5348;6329;9992;5733;4635;7881;10398;773;10052;1742;2697;1180;43;8910;1674;4634;624;610;2281;1264;825;2770;782;6546;5502;6443;801;2767;58;284217;88;4629;5592;4881;6717;1605","Muscle contraction"
"NDNA damage_Checkpoint",-0.297073908899154,0,0,"4683;996;7314;5983;672;84126;63967;7158;7398;9126;7316;11200;5981;8243;890;51434;1386;10111;7832;467;904;11011;3725;3364;3162;9874;8148;1021;2177","Checkpoint"
"NDevelopment_Neurogenesis_Synaptogenesis",0.494097774059214,0,0,"2247;57596;7473;7058;4915;4916;4340;348;773;8497;1742;8927;4035;8321;9215;43;4900;22999;2260;6861;1627;1947;5121;9542;2891;320;815;2902;2048;6334;54510;801;58;284217;8674;627;1605;774;11346;4909;6464","Neurogenesis"
"NTranscription_Transcription by RNA polymerase II",-0.373061734035586,0,0,"6618;10001;9519;9070;400569;219541;2648;8295;9611;9440;5469;9439;9968;9111;9969;9443;9862;29079;6882;2071;23054;142;54797;6884;27336;2966;123169;8805;6924;9646;9441;10915;23097;11198;29777;79577;5431;2957;7110;2965;9044;1387;1024;904;905;6879;9282;6621;2074;7150;8148","Transcription by RNA polymerase II"
"NDevelopment_Ossification and bone remodeling",0.469238588250257,0,0,"1277;1435;165;1758;6424;2303;3487;8646;56172;90;4982;6696;2690;60529;7291;6678;2316;8321;3479;655;51176;10468;3224;2260;1009;91851;860;5764;1280;5600;4487;5744;308;649;6714;5167","Ossification and bone remodeling"
"NCell adhesion_Glycoconjugates",0.496285310839472,0,0,"113457;2006;6900;1277;22801;3036;2192;347733;3678;6347;4915;4916;2335;1634;3984;6387;7130;3371;3956;7535;51807;6364;63827;7846;3959;960;6404;6714;8515;10381;58;284217;3679;5595;627;396;6352;3037;8692;4909;5747;6850;1462;3958;5578;6366;8660;842","Glycoconjugates"
"NTranslation_Elongation-Termination",-0.369976368507786,0,0,"6222;6161;6152;6231;6159;3929;6128;3190;85476;6029;6230;1938;6206;6124;5290;6202;9086;55802;6170;5170;2107;6729;29904;79048;6130;6895;6165;6199;6731;27161;9669;6132;57176;6223;5295;6194","Elongation-Termination"
"NCell cycle_S phase",-0.488969109888525,0,0,"7314;5983;672;4172;51053;4175;5427;4174;84515;23595;3978;990;9126;7316;11200;81620;196;5981;8243;890;7011;115426;3981;55388;5557;114799;999;8556;4176;8318;4173;699;23649;5426;11011;4751;5888;7150;9874;26354;4998;26271;3320","S phase"
"NTransport_Calcium transport",0.433234663437133,0,0,"10316;7352;4313;1134;64094;28954;7223;8996;773;10052;1742;2669;785;80228;22999;6279;51393;2902;57192;24145;93129;308;782;124583;84876;775;1258;6546;79054;801;5311;57419;489;51150;4308;8913;491;6717;2054;1138;774;5579;291;80024;5578;777;80331;22953;8911;5310","Calcium transport"
"NInflammation_Jak-STAT Pathway",0.471382177437634,0,0,"6356;1435;6347;1363;1437;5159;53833;6387;5156;3570;80310;3595;3592;10401;2690;3635;3560;3479;958;3590;6772;3569;3559;5155;1441;6778;3589;3976;23765;9655;3588;5595;5328;50615;6352;7132;3561;3480;6464;6850;207;2534;9021;9180","Jak-STAT Pathway"
"NCell adhesion_Platelet-endothelium-leucocyte interactions",0.533058780398542,0,0,"2247;8174;1277;4313;7058;1281;6347;710;5270;2335;5159;1290;7059;5156;80310;947;5327;7048;971;4035;7448;958;5054;1289;83700;6772;2153;1947;1282;3569;1280;5627;1301;5155;3082;4921;5340;960;6404;4322;1441;6714;3676;284217;2147;5328;3490;6352;975;1490;4794;5747;3683;2022;7412;7056;7040;3611;3553;7422;4973","Platelet-endothelium-leucocyte interactions"
"NInflammation_Histamine signaling",0.435784830670857,0,0,"6356;3067;816;5740;6347;2977;1437;115;3984;113;3592;2983;108;240;4843;6364;5742;109;4772;3569;815;5600;5321;2770;5602;1535;7454;5743;801;2767;58;5595;4881;8874;6352;4794;2778;4773;5573;5578;7412;8398;3553;111;5566;6300;112;1072","Histamine signaling"
"NCell adhesion_Cell-matrix interactions",0.706317257398698,0,0,"1101;10319;6695;2006;1277;4327;4313;4237;22801;9509;1464;4317;4325;2192;1281;3678;7077;952;10516;2335;80781;50509;2202;1634;4060;633;1290;2200;7130;1305;10417;3371;3693;7045;4314;3956;1893;1307;2697;1298;140766;4323;7448;11117;22927;8910;1289;1285;8745;63827;8082;1282;7373;3695;1280;4059;4326;3699;3959;22795;960;7078;7076;4322;3676;8515;6443;10893;284217;2201","Cell-matrix interactions"
"NTranscription_Nuclear receptors transcriptional regulation",-0.276664971898995,0,0,"9969;9443;9862;29079;6882;23054;9612;7337;8805;9975;9063;6130;8202;6654;8648;4929;3148;5431;9321;8204;4214;1387;1024;9994;6655;3656;2099;6879;9282;64324;7068;7421;5241;8148;154;10499;2104;6885","Nuclear receptors transcriptional regulation"
"NCell adhesion_Leucocyte chemotaxis",0.48229078842607,0,0,"1238;113457;6356;8174;816;6354;347733;6347;10563;6387;1236;7535;2768;27040;3702;3932;51807;914;6364;7846;815;2770;919;7454;10663;5880;10235;6714;3676;801;10381;940;5595;7409;6352;1233;5747;3937;7408;23396;920;7412;6366;2534;5216;941;2771;8631;3384;6372;3688","Leucocyte chemotaxis"
"NCell cycle_G1-S",-0.259050618407641,0,0,"5933;4683;996;3839;8452;7314;672;84126;63967;9318;8454;1164;9039;7398;1027;7316;11200;2444;8851;3840;890;51434;29950;999;8556;9134;7298;4751;51654;5888;3364;5925;1021;2177;26271","G1-S"
"NTranscription_mRNA processing",-0.425390849067542,0,0,"6426;10492;10657;10594;11157;1477;10189;6433;23283;4670;8731;10285;5356;10772;10946;6434;53981;988;8570;10915;10236;728642;6635;11097;9295;55660;50628;3192;6432;10978;6294;10482;3181;6428;8487;11189;10212;1655;23451;9984;57187;1665;8732;3178;8899;1479;65109;11193;9129;3187","mRNA processing"
"NTranslation_Translation initiation",-0.379503267728391,0,0,"6228;65110;1975;440275;5611;6173;6204;6222;1973;6161;8666;6152;6231;9698;6159;10528;3929;8672;6128;8761;8891;6230;8667;1965;1452;6206;6124;8894;10988;6202;9086;6170;26019;23369;6130;6165;8602;1859;9451;5610;1983;8669;10605;9669;65109;8661;6132;51602;6223;6194","Translation initiation"
"NCell adhesion_Cadherins",0.425831065429484,0,0,"113457;7473;347733;6424;89;11197;11075;1501;5098;27123;1308;5649;2768;8321;51176;1000;1012;51807;5099;1009;5818;7846;7474;1004;6714;54510;10381;5784;58;7475;88;25945;2274;5979;1825;5579;23139;5747;6464;8313;7408;1001;56998;207;3958;5578;2534;3611;5499;3688;1454","Cadherins"
"NCell adhesion_Amyloid proteins",0.468956620222272,0,0,"113457;1277;2775;7473;2535;347733;6424;2335;1501;3984;7483;2697;2316;8321;7448;43;23621;51176;322;51807;4854;7481;1282;1280;7846;320;3714;7474;6714;857;10381;58;284217;7475;2147;1509;53358;682;5595;396;5300;23385;25825;4909;5747;6464","Amyloid proteins"
"NImmune response_Phagocytosis",-0.242201670123747,0,0,"4067;5603;3708;3725;3684;6093;5291;5295;4360;4481;5582;2209;134;335;5217;2208;695","Phagocytosis"
"NReproduction_Spermatogenesis, motility and copulation",-0.26928368131678,0,0,"10454;6654;6776;658;9252;5610;57489;1839;1386;7182;3306;2706;10420;7043;6662;55342;1387;3315;9043;2176;2175;4678;1385;3301;6462;3303;3305;2130;6046;6885","Spermatogenesis, motility and copulation"
"NProteolysis_Ubiquitin-proteasomal proteolysis",-0.229223176450365,0,0,"10210;7323;9810;55743;8452;64750;8777;7314;7337;4799;83737;672;57448;9101;8650;26054;23198;79589;59343;7316;7874;4194;9098;25820;151636;7347;3320","Ubiquitin-proteasomal proteolysis"
"NApoptosis_Anti-Apoptosis mediated by external signals via PI3K/AKT",0.454977129642576,0,0,"2247;1277;2775;5176;22801;3678;558;4915;147;1437;4916;2335;54210;5159;5156;113;2246;9846;2768;3479;7448;2260;4843;10870;2277;1282;3569;1280;3559;5155;3082;2770;9564;2322;6714;8515;23533;2767;940;284217;627;975;3561;3480;4909;5747;6464;2778;2323;6850;207;5573;572;2534;8660;842;3611;3553;941;7422","Anti-Apoptosis mediated by external signals via PI3K/AKT"
"NCell cycle_Mitosis",-0.235827351956256,0,0,"7277;7272;55743;996;3839;51143;1739;7314;4085;79003;27436;25936;23499;51164;9183;9126;7316;10270;10403;84612;3840;9360;8243;5610;84790;10592;332;51434;55872;11004;10600;699;3609;4926;2099;1063;54737;4751;1060;7150;3832;4233;57082","Mitosis"
"NDevelopment_Blood vessel morphogenesis",0.44162077480043,0,0,"1238;2247;10846;4327;5176;136;51378;2303;7070;147;135;2335;80781;1395;150;90;6387;4057;2246;2149;151;5327;9353;283;1902;5209;2260;4843;8828;7015;2277;624;6772;9068;1910;2770;8829;5340;9046;6714;2767;285;5592;5595;4881;23385;5230;4609;226;1490;6464;2004;2778;207;5578;7412;3553;7422;2771","Blood vessel morphogenesis"
"NDevelopment_Neurogenesis_Axonal guidance",0.39810502746312,0,0,"113457;117;6900;347733;4915;4916;3984;9638;5125;2042;10417;6586;348;8522;5649;9037;9353;219699;1000;322;51807;8828;9806;1627;8745;2041;1947;91584;7846;815;8507;2002;6092;8829;2048;775;3983;6714;801;10381;2767;58;4684;627;396;64780;23129;9201;4909;1946;6237;5747;2778;7408;10371;5573;5578;2534","Neurogenesis"
"NNeurophysiological process_GABAergic neurotransmission",0.436065895490182,0.02,0.104502572898799,"113457;2775;347733;1759;773;2869;22999;51807;109;22809;7846;815;2902;231;2770;6714;801;10381;53358;774;2805;4191;4190;160;111;5499;1173;112","GABAergic neurotransmission"
"NCell adhesion_Integrin priming",0.47871698522978,0.02,0.104502572898799,"1277;22801;816;1281;59;3678;2335;6387;2149;2768;7448;9265;1282;1280;815;2770;6714;3676;8515;801;23533;2767;58;284217;2147;3679;5595;5747;6464;3683;23396","Integrin priming"
"NTranscription_Chromatin modification",-0.302225734812464,0.02,0.104502572898799,"6839;2648;8295;9611;10919;9031;6597;3065;10661;1786;9810;5928;648;7994;23411;11176;9869;473;6304;23028;80314;9252;23409;8467;8520;8289;54556;64324;11011;57332;2146;9874;11177;56254","Chromatin modification"
"NNeurophysiological process_Transmission of nerve impulse",0.46887914501189,0.02,0.104502572898799,"1238;2895;2775;3782;56479;23413;150;6330;5575;151;773;1742;3751;6326;2906;2891;815;2902;2002;2770;2892;27115;2564;775;801;2767;3780;5595;8536;6717;2917;5579;2778;6850;5573;2918;5578;153;2771;80331;3356;5566","Transmission of nerve impulse"
"NTransport_Sodium transport",0.436244425965599,0.02,0.104502572898799,"6532;6512;57657;55089;3757;7223;482;55800;6559;6329;26266;6330;6507;6326;6328;610;51393;84679;57192;6510;6509;6546;6334;6714;79054;6575;9498;57419","Sodium transport"
"NApoptosis_Apoptotic nucleus",-0.232131803544101,0.02,0.104502572898799,"239;22985;3009;3065;23368;2071;4683;142;23411;28996;672;10277;8454;9475;9039;9126;3054;4170;59343;11200;8870;196;3148;8243;5610;3981;5625;2620;1793;4926;4194;10735;317;3725;5888;51426;64135;2177","Apoptotic nucleus"
"NCell adhesion_Integrin-mediated cell-matrix adhesion",0.433307737934804,0.02,0.104502572898799,"113457;1277;22801;1281;2318;347733;3678;89;2335;1634;3984;2200;10395;3371;3693;6696;3956;6678;2316;7448;51176;51807;7052;1282;7373;3695;1280;7791;147179;7846;9564;7454;6714;3676;7041;8515;857;10381;58;284217;88;10160;2319;3679;5595;396;8874;55742;7409;975;10631;4609;5747;7248;7408;4638;23396;207;5578;2534;5216;3611","Integrin-mediated cell-matrix adhesion"
"NDNA damage_MMR repair",-0.350720374798654,0.04,0.174009282399143,"4683;5429;4436;11201;5983;672;84126;5980;27030;7158;11200;4292;5981;4595;10111;5395;51426","MMR repair"
"NDevelopment_Keratinocyte differentiation",-0.338923572325847,0.04,0.174009282399143,"5580;2353;7051;23236;4214;5603;4217;3708;3725;7421;3848","Keratinocyte differentiation"
"NSignal transduction_Androgen receptor nuclear signaling",-0.214415532597741,0.04,0.174009282399143,"27347;55827;28992;23054;9612;23411;7050;672;5036;2353;8202;8648;8754;23028;7430;57786;7110;8204;1387;23462;6715;64324;5925;9001;10499;3320","Androgen receptor nuclear signaling"
