"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Fdxacb1",135.845894539049,0.145477090008142,0.236927688775198,0.614014726434838,0.539205595877881,0.821286243977509
"2","Mrpl52",1093.26724762942,0.0142845121062118,0.189301191560658,0.0754591769256484,0.939849376986649,0.982022961126602
"3","Rrlt",9.68464025271342,0.232343781802028,0.597869046884901,0.388619854151368,0.697557377570613,0.89205498687096
"4","Ensa",1229.27071634662,-0.159183637685252,0.0982508610748065,-1.62017549712926,0.105194583351497,0.484929687172145
"5","Tpm1",10246.3538021337,0.0529657210897594,0.278840608173083,0.189949811961687,0.84934845866409,0.953119925389201
"6","Efhd2",2657.2929929467,0.19508833475736,0.255874680500102,0.762437042915161,0.445799204767515,0.778286175511686
"7","Aaas",305.194252802141,-0.201096596698898,0.154752640704042,-1.29947118048529,0.193782277588626,0.588034254594776
"8","Ubl4a",680.94892734627,-0.1485969103388,0.202895226896208,-0.732382484358862,0.463935146608537,0.785271205462458
"9","Otub1",2043.06823825625,-0.0423350502429464,0.111539792660581,-0.37955109322978,0.704278670542264,0.893967812576205
"10","Bach1",225.882615108361,-0.395139696987765,0.464750500868208,-0.850218980398296,0.395203351094024,0.748289217984511
"11","Xcr1",7.11472871804008,0.136994632311806,0.873908115110537,0.156760911064979,0.875433280347193,0.963961072965375
"12","Csf3",1081.81097461683,1.373919856334,0.765171746060447,1.79557055446408,NA,NA
"13","Eloa",1615.23912669587,0.158687505761534,0.192310996342964,0.825160852885054,0.409280275245769,0.757002843988873
"14","Cox4i1",2085.75178372667,0.148941480085337,0.146325177788025,1.01788005548233,0.308734960962656,0.68401759044176
"15","Arg1",375.422700351232,0.623498027830075,0.406057756621166,1.53549099275493,0.124663267904239,0.509410021310607
"16","Thbs4",116.487450563996,-1.18136494409905,0.927761241517605,-1.27335018023237,0.202893807567692,0.596857026418354
"17","Rcn2",2602.36083651804,0.0171578013170651,0.160258166005735,0.107063507244,0.914738597717504,0.976305081520557
"18","Neu2",83.9348827042103,1.19179146104329,0.478813034294687,2.48905392226604,0.0128083537861488,0.268604172877642
