"","Observed.score","Pvalue","Adjusted.Pvalue","Leading.Edge"
"NInflammation_Complement system",-0.721401943921037,0,0,"2219;728;719;717;710;729;629;716;715;1675;720;712;714;722"
"NNeurophysiological process_Visual perception",-0.600357928677221,0,0,"5158;6295;1429;1413;4094;145226;4284;5566;6094;801;6017;1410;9478;1382;2986;24;778;407;1381"
"NNeurophysiological process_Circadian rhythm",0.374048389297696,0,0,"815;23411;406;9572;3725;8553;1958;2353;3708;1385;1408"
"NInflammation_IL-12,15,18 signaling",0.395116563536392,0,0,"8061;3458;3567;4790;6776;3725;8809;3595;10148;2353;7189;1385;1386;57162;3551;3716;57161;1147;3565;466;3654;7297;3600"
"NProteolysis_ECM remodeling",-0.721438646667618,0,0,"7077;7076;4324;4323;2335;1282;1471;5269;4035;6678;7078;5046;4316;3371;4060;9509;80781;7373;4314;1281;4327;2147;1277;4313;2006;1280"
"NProtein folding_Protein folding nucleus",0.307043015886641,0,0,"4691;3309;1499;7528;59343;4800;3065;3308;8148;3312;3066;22824;5903;10525;135295;3054;5530"
"NBlood coagulation",-0.552353192428623,0,0,"307;135;2815;5627;7450;948;2152;710;1282;857;2159;5321;2162;722;2147;4313"
"NProtein folding_Response to unfolded proteins",0.328854807193796,0,0,"10808;2081;3306;9709;3309;3326;22926;3315;7184;3308;468;3312;3301;7415;3303;3298;22824;10525"
"NSignal transduction_ERBB-family signaling",0.273906874508741,0,0,"7410;5295;9712;1956;4790;2069;374;3725;2353;1843;5921;2065;6416;5170;5582;9020;5728;1147;5604;5894;8660;5058;5588;5594;10006"
"NTransport_Iron transport",-0.511244639909526,0,0,"51022;162466;1806;79689;6556;2395;4609;239;5352;1036;4241;4843;9843;84890;240;3240;3934;5053"
"NProteolysis_Connective tissue degradation",-0.627414712610258,0,0,"2515;7077;11096;7076;4324;4323;2335;1285;1282;1471;5269;4035;3816;7078;5046;4316;56999;1307;3371;4060;9509;4314;1281;5651;4327;1277;4313;2006;1280"
"NApoptosis_Endoplasmic reticulum stress pathway",0.38866404628656,0,0,"356;2081;4790;9709;3309;1649;1983;22926;5366;317;10018;3725;23645;7184;8661;2353;4800;468;836;3708;51347"
"NTransport_Potassium transport",-0.571849423909615,0,0,"26251;6506;53822;6833;3747;56659;10008;3762;486;7881;6532;57468;3778;358;477;57582;5313;2697;5349;53828;495;123041;3751"
"NInflammation_IL-2 signaling",0.287910861110806,0,0,"5295;356;5336;4790;6776;6198;5293;3725;1235;5781;2353;5291;3708;1386;4775;3551;3716;5582;3558;5530;5728;1147;5604;4772;5894;596;5788"
"NMuscle contraction",-0.581887826377115,0,0,"1241;800;58;1140;6262;487;719;4604;1146;8910;8736;7168;773;1760;6546;1080;10008;801;1674;1410;4881;2281;7881;4633;10398;3778;59;1264;2697;4629;4638;1909"
"NChemotaxis",-0.494915683005214,0,0,"3553;1232;728;719;6347;3552;3554;10563;6373;5337;3579;6361;10850;4843;51192;6387;6369;6366;6354;9547"
"NDevelopment_Skeletal muscle development",-0.586037424389632,0,0,"800;58;5154;4131;7040;4604;8910;8736;7168;183;801;3679;1282;1674;1410;3479;72;6334;7169;4633;10398;6300;339855;59;1289;50509;2115;775;4629;2006"
"NTranscription_Chromatin modification",0.304364006044768,0,0,"79723;6839;6304;80314;23411;23028;9810;54556;2146;9734;11177;3065;8467;648;3066;56254;9031;9869;9874;3014"
"NResponse to hypoxia and oxidative stress",-0.502811632745519,0,0,"373156;27306;1026;7498;207;2948;10549;2950;4258;6403;9446;2879;25824;4257;2876;4353;4259;6414;8626;6300;4056;2882;221357;2949;2878;2877"
"NInflammation_IFN-gamma signaling",0.286367474003906,0,0,"815;5295;672;3458;5336;4790;3659;3574;3459;5293;4216;5781;5291;3708;1386;3676;5580;3383;841;1399;1387;3551;1048;3716;898;3627;1147;83593;5604"
"NImmune response_BCR pathway",0.324636109773906,0,0,"930;974;7410;5295;5450;5336;4790;29760;695;933;6198;2534;5293;3725;1958;5291;27071;3708;3635;1386;8826;5170;4775;5452;3551;5530;5728;1147;5604;4776;4067;4772;5894;596;5788;5058;8976;604;118788;5594;5451;10725"
"NCell cycle_G1-S Interleukin regulation",0.209308206849702,0,0,"8503;5295;4790;6776;4193;6198;5293;3725;10140;6655;5781;2353;5291;7189;1874;1386;6416;5170;993;3551;6654;3716;3558;3587;9020;898;1147;3565;5604;3654;331;5894;7027"
