"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",199.965147851183,0.759926967476517,0.104727882665643,7.25620482467577,3.98102108711202e-13,5.30840244817448e-12
"A1CF",0.0541679530622181,0.186817470581015,1.3250520213482,0.140988782003391,0.88787880448282,NA
"A2BP1",1.48129732736549,0.105616810124496,0.397648935023746,0.265603150975844,0.790544858613846,0.850892137910321
"A2LD1",92.2984941782774,0.18232869519298,0.0811702067531274,2.24625145710813,0.02468790595113,0.0447940625394843
"A2ML1",7.32869658537095,-1.37584488283765,0.28643670225557,-4.8033121174886,1.56062326284354e-06,6.81641595145428e-06
"A2M",14164.0301352142,-0.270330048488716,0.0878479215425139,-3.07725036337814,0.00208919747618901,0.00490288517807892
"A4GALT",344.486628968261,0.457516538465721,0.112060706245308,4.08275615775781,4.45047134031764e-05,0.000148228839356572
"A4GNT",0.711964652121897,0.647741335597475,0.241860485152712,2.67816106954589,0.00740276102646449,0.0152873968423319
"AAA1",0.0798828670117244,0.249541687131571,1.60653650169147,0.155328986841467,0.876561964741411,0.914984742703467
"AAAS",728.760319690809,0.339542669166591,0.040938430502655,8.29398355036035,1.09517605610287e-16,2.38292161896353e-15
"AACSL",0.788628063159688,0.298378916488835,0.460945022769416,0.647319966047442,0.517424882045956,0.613037763627103
"AACS",1121.48825295357,0.104160624766561,0.0776482183575904,1.34144255940135,0.179776807439495,0.254604140144256
"AADACL2",0.271758124973379,-1.18845032794038,1.13583079283332,-1.0463269136909,0.295410123564234,0.386735070023716
"AADACL3",0.269458075647975,-0.273170123285456,0.76925274420315,-0.355111015649904,0.722506424483203,0.796986842898804
"AADACL4",0.0232780174688376,0.0404498383516586,2.78242434303552,0.0145376238002322,0.988401062978543,NA
"AADAC",3.66106690474093,-0.528314271815012,0.400394812769056,-1.31948330739174,0.187007587092621,0.263325845751212
"AADAT",39.6158834967448,-0.158433939707085,0.121725702509987,-1.30156521129205,0.193065058692839,0.270726351955221
"AAGAB",1827.67577361933,-0.110301297294616,0.0539495978249389,-2.04452492217889,0.0409017179226924,0.0700135508312753
"AAK1",960.820318037844,-0.227318768266069,0.0539954416541252,-4.20996219870168,2.55413419163123e-05,8.93663384444176e-05
"AAMP",2400.03895860993,0.216257068225475,0.0463840893831528,4.66231138956071,3.12677605868707e-06,1.30079387717613e-05
"AANAT",0.279804991741844,0.542266440189928,0.307705193070461,1.76229213026559,0.0780199528437367,0.123416821581977
"AARS2",418.921053271988,0.344083449467028,0.0478480707204207,7.19116662984239,6.42400229873423e-13,8.3024631212896e-12
"AARSD1",529.457864640549,0.349609606639159,0.0637957504924482,5.4801394127426,4.2499082567414e-08,2.46192602078635e-07
"AARS",2563.46046553588,-0.206101406696801,0.0704995579784828,-2.92344253789088,0.00346184115271322,0.00772895176709193
"AASDHPPT",892.689511134333,-0.277915190162913,0.060402456688242,-4.60105772845182,4.20350897814175e-06,1.70704355151856e-05
"AASDH",331.272229635697,-0.151360594886168,0.0555306559065639,-2.72571235500707,0.00641628877560282,0.0134232339200153
"AASS",253.791920167775,0.174808822424492,0.0984457550919635,1.77568674506274,0.0757845633225204,0.120394431465486
"AATF",1227.12726916138,0.128128300287607,0.0616844621270237,2.07715680528686,0.0377870890963857,0.0652789657957479
"AATK",105.194872862226,0.831040455613095,0.170301297738899,4.87982456180235,1.06180250787421e-06,4.76651515168222e-06
"ABAT",2121.76463740782,0.454319627733304,0.129318562070445,3.51318187010013,0.000442774288936132,0.00119942353226424
"ABCA10",33.6453312628938,0.417948460673627,0.188570804007757,2.21640069295369,0.0266640722856877,0.0480430987971967
"ABCA11P",117.070979383946,0.100310738649758,0.0631694082989574,1.58796387920913,0.112294507203765,0.169874753356971
"ABCA12",431.37185684114,-0.736303262465275,0.247489413184436,-2.97508993613622,0.00292902660854747,0.00665258580386583
"ABCA13",4.91409689239325,-1.27088103119247,0.285845371905535,-4.44604375687588,8.74661399002406e-06,3.34576122442596e-05
"ABCA17P",13.265582153005,0.802587550752995,0.135914873899013,5.90507519691575,3.5248593369125e-09,2.45571261394037e-08
"ABCA1",886.715994169643,-0.408433711582891,0.0923159258282352,-4.42430390984574,9.67537386029578e-06,3.66837715962448e-05
"ABCA2",1582.25409524418,0.565252193008017,0.0770362753530598,7.33748082208606,2.17651573357661e-13,3.04658920772199e-12
"ABCA3",2843.30341992387,0.433378149743978,0.109695692986962,3.95073077112962,7.79129311189456e-05,0.000245939516126381
"ABCA4",81.8779975137702,0.16968317532442,0.218631079378051,0.776116441482725,0.437680236719886,0.536092370013578
"ABCA5",334.352463052969,-0.17970073866112,0.102921140574346,-1.74600415092865,0.0808102305545395,0.127319376662381
"ABCA6",141.621892810352,-0.431451132031686,0.150428181012448,-2.86815362073668,0.00412875009495912,0.0090574784540535
"ABCA7",350.839803735717,0.844569453601748,0.0839879578318826,10.0558398537599,8.65800080467322e-24,4.12356370818038e-22
"ABCA8",211.000144268608,-0.389794164191854,0.210426566570399,-1.85239996329763,0.0639684105798722,0.103820805268346
"ABCA9",124.724305002323,-0.248059014997375,0.176537762129421,-1.40513288491513,0.159981766990197,0.230418590055655
"ABCB10",539.282351802381,-0.1141033555245,0.0598211618798726,-1.90740787939947,0.0564677898376205,0.0929398476888691
"ABCB11",1.77918525875994,0.363751653750207,0.286793113799861,1.26834165901226,0.20467596615731,0.284547758461072
"ABCB1",118.034448760791,-0.682913799452708,0.146819248470603,-4.65139146649047,3.29702782111894e-06,1.3671096938973e-05
"ABCB4",34.5372569267499,-0.433246452437775,0.110321084782757,-3.92714097482743,8.59616006755515e-05,0.00026931886493351
"ABCB5",10.7960314781383,-0.226571345140196,0.239974101042849,-0.944149156744796,0.345093432538318,0.440136703030996
"ABCB6",454.048043465247,0.00603579086522655,0.0848919214457247,0.0710997084579539,0.943318400202093,0.962457603659679
"ABCB7",460.596716875784,-0.219400804262952,0.0435659142014433,-5.03606565555976,4.75197626112009e-07,2.26723106599189e-06
"ABCB8",752.316123168656,0.490787445127341,0.0575958544185129,8.52122865581778,1.57869508108229e-17,3.8073936981e-16
"ABCB9",197.768340360899,0.116551284851615,0.11033999446405,1.05629228474893,0.290834699732488,0.381961693584905
"ABCC10",381.985287116075,0.357921800236617,0.044530605185712,8.03765856637088,9.15713606369387e-16,1.75423635959801e-14
"ABCC11",1205.96748644393,-0.262998846715418,0.230413845762494,-1.14141945699961,0.253695411634797,0.340783805284935
"ABCC12",20.5557917325149,0.611474146312783,0.327301680554068,1.86822794578279,0.0617303050870183,0.100551051738916
"ABCC13",79.6248420939625,1.0003328414598,0.375316074311175,2.66530774972996,0.00769178970885868,0.0157962810703921
"ABCC1",1278.83868994754,0.100942058036546,0.0689719239298903,1.4635238845759,0.143324082967571,0.209863839599692
"ABCC2",13.1244722673382,0.433563326014276,0.193913430951356,2.23586021807349,0.0253609289077596,0.045887506582576
"ABCC3",534.534626189556,0.53435030705288,0.135686589454533,3.9381217348081,8.21219301478499e-05,0.000258191129902818
"ABCC4",167.273526162262,-0.673055419299287,0.126880904409243,-5.30462343749068,1.12905821795066e-07,6.04252272431677e-07
"ABCC5",1651.55371224772,0.0105724243389999,0.113558588000336,0.0931010549283033,0.925823279366222,0.950557480791514
"ABCC6P1",4.46102527469374,0.57403981349338,0.239833658022407,2.39349146498757,0.0166888696098293,0.0315963899652201
"ABCC6P2",25.1330384471958,0.253138253777914,0.171355903247273,1.47726602340992,0.139604341863804,0.205291561359528
