"","starSampleName","FqFile","Rat_ID","Fraction","Batch","Location","Cohort","TRUSTName","Treatment","SampleID","TumorID","Growth","SpatialManual","CD8Frac","TumSize","Time.NMU2Sac","Age.Injection","IFEpAntstrRatio","MHEpAntstrRatio","GrowthRate","MHEpCAM","IFEpCAM","MHSMA","IFSMA","TumorIDnew","knnEpCAM","treatA","MHcut","CD8FracCut","SizeCat"
"C2N__CD45","C2N_Tumor_CD45plus","20180119_C2N_Tumor_CD45plus_LD5110-5of6_S16_R1_001.fastq.gz","C2N","CD45","1","","Prevention","20180119_C2N_Tumor_CD45plus_LD5110-5of6_S16_R1_001_report.tsv","Vehicle","C2N__CD45","C2N_",NA,NA,NA,19,NA,"32-36",NA,NA,NA,NA,NA,NA,NA,"C2T1",NA,"control",NA,NA,"big"
"C2N__Ep","C2N_Tumor_Epcamplus","20180119_C2N_Tumor_Epcamplus_LD5110-5of6_S4_R1_001.fastq.gz","C2N","Ep","1","","Prevention","20180119_C2N_Tumor_Epcamplus_LD5110-5of6_S4_R1_001_report.tsv","Vehicle","C2N__Ep","C2N_",NA,NA,NA,19,NA,"32-36",NA,NA,NA,NA,NA,NA,NA,"C2T1",NA,"control",NA,NA,"big"
"C2R__CD45","C2R_Tumor_CD45plus","20180119_C2R_Tumor_CD45plus_LD5110-5of6_S17_R1_001.fastq.gz","C2R","CD45","1","","Prevention","20180119_C2R_Tumor_CD45plus_LD5110-5of6_S17_R1_001_report.tsv","Vehicle","C2R__CD45","C2R_",NA,NA,NA,21,NA,"32-36",NA,NA,NA,NA,NA,NA,NA,"C3T1",NA,"control",NA,NA,"big"
"C2R__Ep","C2R_Tumor_Epcamplus","20180119_C2R_Tumor_Epcamplus_LD5110-5of6_S5_R1_001.fastq.gz","C2R","Ep","1","","Prevention","20180119_C2R_Tumor_Epcamplus_LD5110-5of6_S5_R1_001_report.tsv","Vehicle","C2R__Ep","C2R_",NA,NA,NA,21,NA,"32-36",NA,NA,NA,NA,NA,NA,NA,"C3T1",NA,"control",NA,NA,"big"
"C5R__CD45","C5R_Tumor_CD45plus","20180119_C5R_Tumor_CD45plus_LD5110-5of6_S18_R1_001.fastq.gz","C5R","CD45","1","","Prevention","20180119_C5R_Tumor_CD45plus_LD5110-5of6_S18_R1_001_report.tsv","Vehicle","C5R__CD45","C5R_",NA,NA,NA,9,NA,"32-36",NA,NA,NA,NA,NA,NA,NA,"C5T1",NA,"control",NA,NA,"big"
"C5R__Ep","C5R_Tumor_Epcamplus","20180119_C5R_Tumor_Epcamplus_LD5110-5of6_S6_R1_001.fastq.gz","C5R","Ep","1","","Prevention","20180119_C5R_Tumor_Epcamplus_LD5110-5of6_S6_R1_001_report.tsv","Vehicle","C5R__Ep","C5R_",NA,NA,NA,9,NA,"32-36",NA,NA,NA,NA,NA,NA,NA,"C5T1",NA,"control",NA,NA,"big"
"10L_D_CD45","CD45_10L_D","20190213_25_CGDA6432-2of3_S1_R1_001.fastq.gz","10L","CD45","2","D","Progression","20190213_25_CGDA6432-2of3_S1_R1_001_report.tsv","PDL1","10L_D_CD45","10L_D","stable","Infiltrating",0.0681087685159526,10,79,"32-36",0.416700736,0.94993288,1.972972973,0.619188600369958,0.294437349648065,0.744285326,0.14528823,"P24T3",34.3310980038422,"imm","inf","high","small"
"10L_C_CD45","CD45_10LC","20191030_CD45_10LC_CGDA7427_S25_R1_001.fastq.gz","10L","CD45","3","C","Progression","20191030_CD4510LC_report.tsv","PDL1","10L_C_CD45","10L_C","growing","Infiltrating",0.0100340714520434,25,79,"32-36",1.513618677,1.133386483,5.357142857,0.333823897052082,0.316862970410801,0.527303415,0.073829359,"P24T2",32.1225777378723,"imm","res","low","big"
"10R_BL_CD45","CD45_10R_BL","20190213_26_CGDA6432-2of3_S2_R1_001.fastq.gz","10R","CD45","2","BL","Progression","20190213_26_CGDA6432-2of3_S2_R1_001_report.tsv","PDL1","10R_BL_CD45","10R_BL","growing","restricted",0.0202714813177359,40,98,"32-36",0.319648094,0.875498666,4.976190476,0.437652145932401,0.221338048924256,0.744856161,0.201002063,"P26T1",44.9270325366952,"imm","inf","low","big"
"10R_BU_CD45","CD45_10RBU","20191030_CD45_10RBU_CGDA7427_S26_R1_001.fastq.gz","10R","CD45","3","BU","Progression","20191030_CD4510RBU_report.tsv","PDL1","10R_BU_CD45","10R_BU",NA,"restricted",0.0670640985529038,12,98,"32-36",0.122224415,0.662756279,NA,0.303427530168004,0.0816202095465047,0.626822733,0.113365442,"P26T2",87.1290119223447,"imm","res","high","small"
