TumorIDnew,Fraction,Batch,Cohort,Treatment,Growth,CD8Frac,TumSize,Time.NMU2Sac,Age.Injection,GrowthRate,Size,RatNo,TumorNumber,Tissue,fastq,fastq2
C10T2,Ep,1,Characterisation,Vehicle,,,14,160,35,,big,C10,2,Tumor,C10T2_CD45_001.fastq.gz,
C10T2,CD45,1,Characterisation,Vehicle,,,14,160,35,,big,C10,2,Tumor,C10T2_Ep_001.fastq.gz,
C10T4,Ep,1,Characterisation,Vehicle,,,4,160,35,,small,C10,4,Tumor,C10T4_CD45_001.fastq.gz,
C10T4,CD45,1,Characterisation,Vehicle,,,4,160,35,,small,C10,4,Tumor,C10T4_Ep_001.fastq.gz,
C10T6,CD45,1,Characterisation,Vehicle,,,8,160,35,,big,C10,6,Tumor,C10T6_CD45_001.fastq.gz,
C11T1,Ep,1,Characterisation,Vehicle,,,6,160,35,,small,C11,1,Tumor,C11T1_CD45_001.fastq.gz,
C11T1,CD45,1,Characterisation,Vehicle,,,6,160,35,,small,C11,1,Tumor,C11T1_Ep_001.fastq.gz,
C17T4,Ep,1,Characterisation,Vehicle,,,4,55,35,,small,C17,4,Tumor,C17T4_CD45_001.fastq.gz,
C17T4,CD45,1,Characterisation,Vehicle,,,4,55,35,,small,C17,4,Tumor,C17T4_Ep_001.fastq.gz,
C2T1,CD45,1,Characterisation,Vehicle,,,19,NA,32-36,,big,C2,1,Tumor,C2T1_CD45_001.fastq.gz,
C2T1,Ep,1,Characterisation,Vehicle,,,19,NA,32-36,,big,C2,1,Tumor,C2T1_Ep_001.fastq.gz,
C3T1,CD45,1,Characterisation,Vehicle,,,21,NA,32-36,,big,C3,1,Tumor,C3T1_CD45_001.fastq.gz,
C3T1,Ep,1,Characterisation,Vehicle,,,21,NA,32-36,,big,C3,1,Tumor,C3T1_Ep_001.fastq.gz,
C5T1,CD45,1,Characterisation,Vehicle,,,9,NA,32-36,,big,C5,1,Tumor,C5T1_CD45_001.fastq.gz,
C5T1,Ep,1,Characterisation,Vehicle,,,9,NA,32-36,,big,C5,1,Tumor,C5T1_Ep_001.fastq.gz,
C7T1,Ep,1,Characterisation,Vehicle,,,4,61,35,,small,C7,1,Tumor,C7T1_CD45_001.fastq.gz,
C7T1,CD45,1,Characterisation,Vehicle,,,4,61,35,,small,C7,1,Tumor,C7T1_Ep_001.fastq.gz,
C9T1,Ep,1,Characterisation,Vehicle,,,12,110,35,,big,C9,1,Tumor,C9T1_CD45_001.fastq.gz,
C9T1,CD45,1,Characterisation,Vehicle,,,12,110,35,,big,C9,1,Tumor,C9T1_Ep_001.fastq.gz,
C9T2,Ep,3,Characterisation,Vehicle,,,6,61,35,,small,C9,2,Tumor,C9T2_Ep_001.fastq.gz,C9T2_Ep_002.fastq.gz
MG1,CD45,1,Control,,,,,,,,,MG1,,Mammary Gland,MG_CD45_001.fastq.gz,
P10T1,DN,3,Immunotherapy,Vehicle,growing,0.008138783,15,96,32-36,3,,P10,1,Tumor,P10T1_DN_001.fastq.gz,P10T1_DN_002.fastq.gz
P13T1,CD45,3,Immunotherapy,Vehicle,growing,NA,26,135,32-36,5.428571429,,P13,1,Tumor,P13T1_CD45_001.fastq.gz,P13T1_CD45_002.fastq.gz
P14T1,CD45,3,Immunotherapy,Vehicle,growing,0.059667229,35,135,32-36,10.35714286,,P14,1,Tumor,P14T1_CD45_001.fastq.gz,P14T1_CD45_002.fastq.gz
P16T1,CD45,2,Immunotherapy,LY,growing,0.081590113,40,55,32-36,30,,P16,1,Tumor,P16T1_CD45_001.fastq.gz,
P17T1,DN,2,Immunotherapy,LY,growing,0.155480427,18,79,32-36,2.8,,P17,1,Tumor,P17T1_DN_001.fastq.gz,
P17T1,Ep,2,Immunotherapy,LY,growing,0.155480427,18,79,32-36,2.8,,P17,1,Tumor,P17T1_Ep_001.fastq.gz,
P17T3,CD45,3,Immunotherapy,LY,stable,NA,6,79,32-36,1.285714286,,P17,3,Tumor,P17T3_CD45_001.fastq.gz,P17T3_CD45_002.fastq.gz
P17T3,DN,3,Immunotherapy,LY,stable,NA,6,79,32-36,1.285714286,,P17,3,Tumor,P17T3_DN_001.fastq.gz,P17T3_DN_002.fastq.gz
P19T1,CD45,2,Immunotherapy,LY,growing,NA,30,163,32-36,2.355555556,,P19,1,Tumor,P19T1_CD45_001.fastq.gz,
P19T1,Ep,2,Immunotherapy,LY,growing,NA,30,163,32-36,2.355555556,,P19,1,Tumor,P19T1_Ep_001.fastq.gz,
P19T2,CD45,3,Immunotherapy,LY,growing,0.020673411,31,163,32-36,2.887850467,,P19,2,Tumor,P19T2_CD45_001.fastq.gz,P19T2_CD45_002.fastq.gz
P21T1,CD45,2,Immunotherapy,LY,stable,0.056233634,6,127,32-36,0.241803279,,P21,1,Tumor,P21T1_CD45_001.fastq.gz,
P21T1,Ep,2,Immunotherapy,LY,stable,0.056233634,6,127,32-36,0.241803279,,P21,1,Tumor,P21T1_Ep_001.fastq.gz,
P22T1,CD45,3,Immunotherapy,LY,growing,0.017669074,12,127,32-36,12,,P22,1,Tumor,P22T1_CD45_001.fastq.gz,P22T1_CD45_002.fastq.gz
P22T1,DN,3,Immunotherapy,LY,growing,0.017669074,12,127,32-36,12,,P22,1,Tumor,P22T1_DN_001.fastq.gz,P22T1_DN_002.fastq.gz
P22T2,CD45,2,Immunotherapy,LY,growing,0.028766801,27,127,32-36,5.514285714,,P22,2,Tumor,P22T2_Ep_001.fastq.gz,
P22T2,DN,2,Immunotherapy,LY,growing,0.028766801,27,127,32-36,5.514285714,,P22,2,Tumor,P22T2_CD45_001.fastq.gz,
P22T2,Ep,2,Immunotherapy,LY,growing,0.028766801,27,127,32-36,5.514285714,,P22,2,Tumor,P22T2_DN_001.fastq.gz,
P23T1,DN,3,Immunotherapy,PDL1+LY,growing,NA,45,238,32-36,5.85046729,,P23,1,Tumor,P23T1_DN_001.fastq.gz,P23T1_DN_002.fastq.gz
P23T2,CD45,3,Immunotherapy,PDL1+LY,growing,NA,35,238,32-36,3.25974026,,P23,2,Tumor,P23T2_CD45_001.fastq.gz,P23T2_CD45_002.fastq.gz
P24T2,CD45,3,Immunotherapy,PDL1,growing,0.010034071,25,79,32-36,5.357142857,,P24,2,Tumor,P24T2_CD45_001.fastq.gz,P24T2_CD45_002.fastq.gz
P24T2,DN,3,Immunotherapy,PDL1,growing,0.010034071,25,79,32-36,5.357142857,,P24,2,Tumor,P24T2_DN_001.fastq.gz,P24T2_DN_002.fastq.gz
P24T3,CD45,2,Immunotherapy,PDL1,stable,0.068108769,10,79,32-36,1.972972973,,P24,3,Tumor,P24T3_CD45_001.fastq.gz,
P24T3,Ep,2,Immunotherapy,PDL1,stable,0.068108769,10,79,32-36,1.972972973,,P24,3,Tumor,P24T3_Ep_001.fastq.gz,
P26T1,CD45,2,Immunotherapy,PDL1,growing,0.020271481,40,98,32-36,4.976190476,,P26,1,Tumor,P26T1_CD45_001.fastq.gz,
P26T1,DN,2,Immunotherapy,PDL1,growing,0.020271481,40,98,32-36,4.976190476,,P26,1,Tumor,P26T1_DN_001.fastq.gz,
P26T1,Ep,2,Immunotherapy,PDL1,growing,0.020271481,40,98,32-36,4.976190476,,P26,1,Tumor,P26T1_Ep_001.fastq.gz,
P26T2,CD45,3,Immunotherapy,PDL1,NA,0.067064099,12,98,32-36,NA,,P26,2,Tumor,P26T2_CD45_001.fastq.gz,P26T2_CD45_002.fastq.gz
P26T2,DN,3,Immunotherapy,PDL1,NA,0.067064099,12,98,32-36,NA,,P26,2,Tumor,P26T2_DN_001.fastq.gz,P26T2_DN_002.fastq.gz
