"","Treatment","Growth","variable","value"
"1","PDL1","stable","TrustNclonotypes",36
"2","PDL1","growing","TrustNclonotypes",5
"3","PDL1","stable","TrustNclonotypes",102
"4","PDL1","growing","TrustNclonotypes",79
"5","PDL1+LY","growing","TrustNclonotypes",2
"6","PDL1+LY","stable","TrustNclonotypes",11
"7","PDL1+LY","stable","TrustNclonotypes",61
"8","PDL1+LY","growing","TrustNclonotypes",9
"9","Vehicle","growing","TrustNclonotypes",2
"10","Vehicle","growing","TrustNclonotypes",3
"11","Vehicle","stable","TrustNclonotypes",55
"12","Vehicle","growing","TrustNclonotypes",43
"13","LY","growing","TrustNclonotypes",12
"14","LY","growing","TrustNclonotypes",7
"15","LY","stable","TrustNclonotypes",76
"16","LY","growing","TrustNclonotypes",50
"17","PDL1+LY","stable","TrustNclonotypes",174
"18","PDL1+LY","growing","TrustNclonotypes",170
"19","PDL1","growing","TrustNclonotypes",67
"20","PDL1",NA,"TrustNclonotypes",36
"21","PDL1","growing","TrustNclonotypes",37
"22","PDL1","growing","TrustNclonotypes",834
"23","PDL1+LY","growing","TrustNclonotypes",14
"24","PDL1+LY","growing","TrustNclonotypes",43
"25","Vehicle","growing","TrustNclonotypes",39
"26","Vehicle","growing","TrustNclonotypes",64
"27","Vehicle","growing","TrustNclonotypes",26
"28","Vehicle","growing","TrustNclonotypes",29
"29","Vehicle","growing","TrustNclonotypes",26
"30","Vehicle","growing","TrustNclonotypes",58
"31","Vehicle","growing","TrustNclonotypes",8
"32","Vehicle","growing","TrustNclonotypes",5
"33","LY","stable","TrustNclonotypes",80
"34","LY","growing","TrustNclonotypes",97
"35","LY","growing","TrustNclonotypes",141
"36","PDL1","stable","TrustShannon",0.772227856377754
"37","PDL1","growing","TrustShannon",0.965633607142825
"38","PDL1","stable","TrustShannon",0.811129068466648
"39","PDL1","growing","TrustShannon",0.87483096132453
"40","PDL1+LY","growing","TrustShannon",0
"41","PDL1+LY","stable","TrustShannon",0.268424846784418
"42","PDL1+LY","stable","TrustShannon",0.853688255517408
"43","PDL1+LY","growing","TrustShannon",0.940285958670631
"44","Vehicle","growing","TrustShannon",0
"45","Vehicle","growing","TrustShannon",NA
"46","Vehicle","stable","TrustShannon",0.736911094062108
"47","Vehicle","growing","TrustShannon",0.910912752106078
"48","LY","growing","TrustShannon",0.756698902201981
"49","LY","growing","TrustShannon",0.958318351144895
"50","LY","stable","TrustShannon",0.725687310352303
"51","LY","growing","TrustShannon",0.909989859693119
"52","PDL1+LY","stable","TrustShannon",0.899923791542524
"53","PDL1+LY","growing","TrustShannon",0.865840158373582
"54","PDL1","growing","TrustShannon",0.874632511982967
"55","PDL1",NA,"TrustShannon",0.792855765629849
"56","PDL1","growing","TrustShannon",0.806038336445222
"57","PDL1","growing","TrustShannon",0.853325257296397
"58","PDL1+LY","growing","TrustShannon",0.701406973586573
"59","PDL1+LY","growing","TrustShannon",0.792812845751546
"60","Vehicle","growing","TrustShannon",0.94695162671541
"61","Vehicle","growing","TrustShannon",0.842647951672267
"62","Vehicle","growing","TrustShannon",0.869468623712918
"63","Vehicle","growing","TrustShannon",0.626861569965207
"64","Vehicle","growing","TrustShannon",0.946640067371459
"65","Vehicle","growing","TrustShannon",0.936109895376947
"66","Vehicle","growing","TrustShannon",0.890491640219491
"67","Vehicle","growing","TrustShannon",NA
"68","LY","stable","TrustShannon",0.868104036424525
"69","LY","growing","TrustShannon",0.769965988928646
"70","LY","growing","TrustShannon",0.80950020369123
"71","PDL1","stable","TrustTop10",0.713298791018998
"72","PDL1","growing","TrustTop10",1
"73","PDL1","stable","TrustTop10",0.411966987620358
"74","PDL1","growing","TrustTop10",0.483695652173913
"75","PDL1+LY","growing","TrustTop10",0
"76","PDL1+LY","stable","TrustTop10",1
"77","PDL1+LY","stable","TrustTop10",0.56969696969697
"78","PDL1+LY","growing","TrustTop10",1
"79","Vehicle","growing","TrustTop10",0
"80","Vehicle","growing","TrustTop10",1
"81","Vehicle","stable","TrustTop10",0.614035087719298
"82","Vehicle","growing","TrustTop10",0.420289855072464
"83","LY","growing","TrustTop10",1
"84","LY","growing","TrustTop10",0.875
"85","LY","stable","TrustTop10",0.604606525911708
"86","LY","growing","TrustTop10",0.46242774566474
"87","PDL1+LY","stable","TrustTop10",0.268533772652389
"88","PDL1+LY","growing","TrustTop10",0.334538878842676
"89","PDL1","growing","TrustTop10",0.413888888888889
"90","PDL1",NA,"TrustTop10",0.697674418604651
"91","PDL1","growing","TrustTop10",0.660944206008584
"92","PDL1","growing","TrustTop10",0.171970209884902
"93","PDL1+LY","growing","TrustTop10",0.928571428571429
"94","PDL1+LY","growing","TrustTop10",0.595794392523364
"95","Vehicle","growing","TrustTop10",0.459459459459459
"96","Vehicle","growing","TrustTop10",0.494949494949495
"97","Vehicle","growing","TrustTop10",0.580357142857143
"98","Vehicle","growing","TrustTop10",0.885793871866295
"99","Vehicle","growing","TrustTop10",0.5
"100","Vehicle","growing","TrustTop10",0.331838565022422
"101","Vehicle","growing","TrustTop10",1
"102","Vehicle","growing","TrustTop10",1
"103","LY","stable","TrustTop10",0.372750642673522
"104","LY","growing","TrustTop10",0.462514417531719
"105","LY","growing","TrustTop10",0.362376237623762
"106","PDL1","stable","TrustGini",0.631823984380867
"107","PDL1","growing","TrustGini",0.148148148148148
"108","PDL1","stable","TrustGini",0.648485169117906
"109","PDL1","growing","TrustGini",0.45710928319624
"110","PDL1+LY","growing","TrustGini",NA
"111","PDL1+LY","stable","TrustGini",0.598870056497175
"112","PDL1+LY","stable","TrustGini",0.505844155844156
"113","PDL1+LY","growing","TrustGini",0.142857142857143
"114","Vehicle","growing","TrustGini",NA
"115","Vehicle","growing","TrustGini",0
"116","Vehicle","stable","TrustGini",0.656770130454341
"117","Vehicle","growing","TrustGini",0.430112721417069
"118","LY","growing","TrustGini",0.409090909090909
"119","LY","growing","TrustGini",0.1875
"120","LY","stable","TrustGini",0.700161133622426
"121","LY","growing","TrustGini",0.422179404838364
"122","PDL1+LY","stable","TrustGini",0.459727656507414
"123","PDL1+LY","growing","TrustGini",0.5038213518032
