"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Thbs4",51.6755616643891,3.45014196661548,0.831688553703351,4.14835812186262,3.34868275512621e-05,0.000649408198492246
"Areg",3374.77541245197,-1.66910730643238,0.335630105245871,-4.97305599332233,6.59056149631702e-07,2.69350883943957e-05
"Cbfa2t3",169.073779381384,1.50335409353322,0.422558080229002,3.55774546476188,0.000374051505552154,0.0044942121037566
"Cox4i2",68.8310352087485,2.50255853152703,0.65604643307464,3.81460580434603,0.000136400488348534,0.00204877613855987
"Mlxipl",26.4205379162611,-1.59508008560113,0.42212386161563,-3.77870153915522,0.000157648235182761,0.00228486103484136
"Clec14a",213.109481447022,3.76207728567368,0.757729769506751,4.96493266738435,6.87249092221656e-07,2.77931861986156e-05
"Armh4",39.0961503097604,2.06783126182711,0.56012388639825,3.69173911707968,0.000222725861966972,0.00299933227336557
"Hmcn1",173.398646758591,2.62998242822005,0.650411499886135,4.04356692444778,5.26441202389847e-05,0.000958709438393634
"Slc1a3",54.7492355063914,2.41343706517804,0.68792820926735,3.50826878832076,0.000451033099245021,0.00523190952333808
"C1qtnf3",60.6208997822141,3.19290205196028,0.887078949705523,3.59934372585462,0.000319021280594234,0.00400099927196641
"Fbln5",329.166987246673,3.47335762751207,0.630525406298313,5.50867196280551,3.61550939740431e-08,2.79288168231359e-06
"Igfbp7",1613.46327600977,3.1965995151364,0.502693012026561,6.35894957490974,2.03138072646498e-10,6.20851774638502e-08
"Plxdc1",129.479139947265,3.20348383917532,0.644158258322948,4.97313167654719,6.58798797682283e-07,2.69350883943957e-05
"Macroh2a2",93.8850076909648,1.92792777450922,0.32702613279503,5.89533245564075,3.73927749900831e-09,5.36433697536304e-07
"Adcyap1r1",133.337414863187,3.92570244449733,0.836851423492613,4.69103873673698,2.71821496537378e-06,8.51122142498664e-05
"Pla1a",293.298087698888,3.29202260212349,0.547756459224667,6.01001146893504,1.85510202856187e-09,3.21986165673473e-07
"Gfral",2.77878028978074,-3.89265731273887,1.43255692065616,-2.7172793322278,0.00658210305748116,0.0407898475911921
"Ptn",1471.74079209227,2.88636931089127,0.366762913766452,7.86985052891487,3.55065212613048e-15,1.24796545603171e-11
"Lox",310.856773041087,3.33398458022176,0.705437140156999,4.72612567503855,2.28844048599702e-06,7.40860709386007e-05
"Capn6",74.7231159528554,1.96226515433069,0.634779652802924,3.09125402124365,0.0019931304382765,0.0165026035522552
"Ddit4l2",13.4882175663043,3.2224542552711,0.74233413753932,4.34097543452987,1.41851583445684e-05,0.000332381901943812
"Ptprz1",125.476323837823,1.58074652587497,0.451652118631964,3.49992053765403,0.000465396868187383,0.00533456205192796
"Rgl1",143.642455057191,1.93995377966404,0.485832259282406,3.99305262793672,6.5228083934701e-05,0.0011307541702071
"Vpreb2",4.85058836091311,2.20843035760523,0.659647015853352,3.34789713972751,0.000814272273434402,0.00813993309481038
"Gldc",40.8389159259004,-1.8858306791058,0.533552651125604,-3.53447907179802,0.000408579790012761,0.00483113815625686
"Trh",74.9845966020201,3.6759093697838,0.924580798992181,3.97575785025024,7.01554833236381e-05,0.00120135924488067
"Btc",88.3955636354014,-1.51634558258765,0.446343319519708,-3.39726286083845,0.000680635518932408,0.00708423193176714
"Fzd1",315.201497022713,2.76874318323607,0.496965851998386,5.57129463141677,2.52853300557657e-08,2.18089849849086e-06
"Fgf7",26.9480987778397,4.54669569966954,0.777476112232446,5.8480198016813,4.97459346449641e-09,6.18918668295178e-07
"Itga1",134.769555976578,2.48826490346989,0.442535648115844,5.62274454965157,1.87947225075418e-08,1.73115636017195e-06
"Twist1",208.835348157188,2.63475855388722,0.473071758360127,5.56946912878597,2.55516655770352e-08,2.19043211187523e-06
"P3h3",527.163123818194,1.64119634095439,0.298175838980549,5.5041224888159,3.7101154157212e-08,2.83481046900132e-06
"Vtn",99.7061552177592,3.83045365106863,0.80316003975917,4.7692283747299,1.84932914474341e-06,6.26499239661389e-05
"Ackr2",18.9669996279211,3.02614076700993,0.803812371430906,3.76473524738484,0.000166725639569408,0.00239427555332615
"Ccl22",1262.40105328092,-4.04805551811022,0.594475844665142,-6.80945332672081,9.79703102668288e-12,7.65202551134081e-09
"Angptl2",604.397071499222,2.2953600450572,0.595352808555493,3.85546185735891,0.000115511340707192,0.00181045032218774
"Mt3",13.7158508240411,2.10431496382112,0.60765211473281,3.46302582152028,0.000534137133719344,0.0059269407758171
"Axl",1540.39092464623,1.77859771131482,0.481841431720297,3.69125109263595,0.000223153707185515,0.00300221815246044
"Zbtb46",105.550404374754,1.55964616055027,0.391413436682137,3.98465155864551,6.7579214392506e-05,0.00116862998172724
"Igfbp2",1851.87289174618,2.33668610869812,0.468651013954065,4.98598325646033,6.16474834511819e-07,2.57947014833383e-05
"Slc7a5",1803.66075683482,2.07515113344652,0.375737647026062,5.52287254117654,3.3350167446058e-08,2.6792571664236e-06
"Fap",147.50578123431,3.79194291509261,0.656470551561275,5.77625745141848,7.63804749491280e-09,8.6736245752896e-07
"Abcc8",176.738880106575,-1.76014812161247,0.542770798858269,-3.24289391639156,0.00118322258040107,0.0108796116794366
"Ddc",48.627527664299,-1.52404329013852,0.495044945796013,-3.07859579838335,0.00207978649984466,0.0170593456250385
"Tram1l1",18.3011505616413,3.36354117759591,0.923319374955474,3.64287945084886,0.000269605120068147,0.0034955800196882
"LOC310926",3065.70804081659,1.94352393625667,0.452512928047915,4.29495781400279,1.74726558702114e-05,0.000390537470396347
"Ntrk2",162.623330993771,3.21894387849115,0.804397425126062,4.0016834688235,6.28933995883515e-05,0.00110114359254375
"Bmp4",87.8484875435878,1.568849065885,0.55334676590437,2.83520056961195,0.00457969235809305,0.0310592835805259
"Gpihbp1",108.564003922903,2.79003282238317,0.911318311293821,3.06153490806312,0.00220205313539026,0.0178025675850786
"Clmp",340.476735326777,2.9990227227176,0.520977059687675,5.75653508527902,8.58579439970909e-09,9.16882035451829e-07
"Plod2",105.13790318794,2.06624406096215,0.498088925631322,4.14834370859221,3.34889354795418e-05,0.000649408198492246
"F5",332.561526284521,3.04947597984243,0.446478605188301,6.83006071154591,8.48787039968793e-12,7.45818562182579e-09
"Hbb-b1",6.82250019140748,5.42126102911745,1.39673138756859,3.88139128064895,0.000103860581012933,0.00164991628074669
"Col23a1",14.5687844911717,3.13723825732511,0.669246115963052,4.68771978274478,2.76265939290429e-06,8.62663185767118e-05
"Sparc",16599.5598839619,3.69845815297384,0.555112385455729,6.66253942422403,2.69136088975817e-11,1.35135152675393e-08
"Olr1214",2.22505606088679,-4.86941849555993,1.52573690872636,-3.19151910641317,0.00141526750155712,0.0125534673844741
"Olr701",2.68820821671478,-4.59893384594495,1.36466802361583,-3.37000190988545,0.000751676626934994,0.0076633949949812
"Itgb7",2471.23000024698,-1.59202762438371,0.493565597095731,-3.22556441079285,0.00125724542311547,0.011403621550697
"Phyhipl",24.9590996577648,2.46116711234804,0.838752385211708,2.93431906214708,0.00334280388256079,0.024464591246706
