"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CellMarker"
"Col1a1",23618.9407079246,5.7263185135982,0.566015821683352,10.1168877162619,4.64965902661047e-24,4.09252047148073e-21,1
"Fap",241.16868758456,5.42689196825171,0.660314461087082,8.21864776263929,2.05810550375882e-16,2.35079638570558e-14,1
"Cdh5",133.995202489503,3.20158769442168,0.753877844614643,4.24682555309505,2.16820644947309e-05,0.000201383445707423,1
"Vim",6100.99274800636,2.60457904074298,0.387395844804446,6.72330143875897,1.77652522818244e-11,7.88787744489432e-10,1
"Cdh3",122.527985990576,2.51444926629845,0.410861422350109,6.1199448999517,9.36077202506047e-10,2.73031640957076e-08,1
"Mme",389.130051338391,2.41054001379026,0.453810223102023,5.31177988303789,1.08559681374968e-07,1.915540698601e-06,1
"Acta2",810.52715483242,2.19163832724643,0.351985803082626,6.22649637585514,4.76981252073684e-10,1.51209120228359e-08,1
"Acta1",220.469747588261,2.0029377522324,0.582394408557123,3.4391431696514,0.000583558528581766,0.0034350063977848,1
"Krt5",2428.71670576557,1.74258731820117,0.295500909726584,5.89706244834752,3.70029847360738e-09,9.51332750181912e-08,1
"Tp63",276.436510404691,1.70786331168718,0.381601854168545,4.47551104123529,7.62287591690673e-06,8.12400942625893e-05,1
"Krt14",1688.90520839914,1.70338913698551,0.415539469681371,4.09922344631098,4.14538676785075e-05,0.000355661824583433,1
"Cnn1",1094.05488529256,1.59133600022723,0.37508162496526,4.24263918653606,2.20906447566496e-05,0.000204290678302688,1
"Rn5-8s",646.370819833766,6.96702243965416,1.25146759437044,5.56708177742225,2.59040844275797e-08,5.36103478962482e-07,0
"Tfpi2",1013.83999948478,6.78226106036561,0.929039299457101,7.30029511596435,2.87137222592498e-13,1.82052299222523e-11,0
"Tnfaip6",2147.37642957297,6.32899112382049,0.729115148385507,8.68037255546657,3.94474524143122e-18,5.90252230475354e-16,0
"Col3a1",75069.4773147831,6.24268928516489,0.637511653054227,9.792274784715,1.21530402907784e-22,6.06153139569722e-20,0
"Has1",1423.66261505618,5.84907845019343,1.00612783095244,5.81345458325754,6.11965806354366e-09,1.48089907984111e-07,0
"Eln",6658.70612452383,5.82289716297843,0.623097938325726,9.3450753161287,9.18240968132945e-21,2.74792792123465e-18,0
"Thbs2",2143.50657400249,5.7709381709025,0.6290292764949,9.17435544981235,4.54283974983325e-20,1.13290851961258e-17,0
"Tnxa-ps1",126.103378265244,5.74632121369746,0.682311490711388,8.42184440966436,3.7060303163639e-17,4.78045962273733e-15,0
"Rn45s",364.781841518255,5.72448519534328,0.762219049293688,7.51028880824729,5.89970606383069e-14,4.2441010496682e-12,0
"Gfpt2",2059.55312894918,5.56141867389368,0.576821913534304,9.64148300091054,5.34107017153669e-22,1.99796082441759e-19,0
"Col15a1",1337.44012262393,5.56030673646289,0.624584385473861,8.90241073228941,5.4646621873844e-19,1.07589131986622e-16,0
"Mmp2",11105.2944137087,5.5583617366483,0.577782613104329,9.6201609577418,6.57282305418491e-22,2.34164646094688e-19,0
"Kcnj8",245.093426686195,5.52645863574141,0.751491564547056,7.35398625408703,1.92381526548753e-13,1.2505821856681e-11,0
