"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tpm1",254.042799027353,-1.78933626103456,0.52253256252778,-3.42435359890022,0.000616263788173796,0.0359752269461886
"Herpud1",6745.43600292502,1.62996536546011,0.386198569037567,4.2205370401089,2.43721005810283e-05,0.00403944144516303
"Bnip3",360.40644468598,-3.46369250846679,0.762932514578591,-4.53997233343761,5.62616101737182e-06,0.00138838309833235
"Bet1l",463.517361007096,1.56223265388125,0.419128837143438,3.72733278036561,0.000193516871745723,0.0156600486883482
"Depdc7",281.05738613085,3.70671476653509,0.962423127353929,3.85143983055173,0.000117425383238737,0.0119772630799074
"Acsl3",530.040618906146,1.68874264904277,0.455480549059661,3.70760651037497,0.00020922742600083,0.0163438229605541
"Rab30",309.31292208798,2.75582266240912,0.613743848808085,4.49018375949679,7.11617548936128e-06,0.00167972681442358
"Trh",155.34519570123,8.79811103911534,1.55328295061213,5.664203702003,1.47708853602861e-08,1.37434206463735e-05
"Pygl",2318.08058047378,-1.8790054597399,0.489655580962231,-3.83740231459719,0.000124342671511479,0.0120545779220682
"Fcer2",221.336328126172,8.4610255047499,2.1069236619534,4.01581967943984,5.92395384908788e-05,0.00765911940883841
"Slc7a5",3847.80129399902,2.69047334138004,0.554217343229088,4.85454555735171,1.20663129008097e-06,0.000436720084923307
"Sdc4",3349.69604704995,2.61273783044452,0.642197892058101,4.06843102843468,4.73307666312083e-05,0.00676207189581131
"Zfp472",389.265963795428,2.04307583719412,0.54749802310034,3.73165883892093,0.000190223007696463,0.0155296347185579
"Tp53inp2",403.354120209016,2.23877858368196,0.484627545246941,4.61958591838025,3.84506635343434e-06,0.0010705059093741
"Gclc",1284.09950703112,1.88981195939744,0.459983505034953,4.10843419103439,3.98350676619747e-05,0.00626853861845974
"Terf2ip",537.440545053839,1.57662499751957,0.449282403580922,3.5092070932522,0.000449444801127343,0.0290480455395279
"Apoe",2552.26777882436,-2.21176922814392,0.600737128914532,-3.68175882875819,0.000231630472421576,0.0175877179689054
"Fahd1",555.770228148118,1.71294145646356,0.458031051123627,3.73979330061013,0.000184171638392901,0.0152651576310696
"RT1-Db2",1651.23940822292,1.63027120734888,0.480815537091206,3.39063753474263,0.000697302570073373,0.0384330523139933
"Pltp",1928.4512051507,1.80355044372147,0.532842064569618,3.38477489606271,0.000712366483100393,0.0390650266338589
"Zbtb2",219.520230338769,1.80306759183238,0.516969597263225,3.4877633063484,0.000487079063126581,0.030928096300751
"Plvap",585.063314303723,2.59276556609562,0.644460036095256,4.02315957682191,5.74225610482272e-05,0.00765911940883841
"Col7a1",150.756493465653,3.92298679671103,1.02954168472382,3.81042055403848,0.000138730590123836,0.0126582919963413
"Dnaaf2",2877.1338475694,2.2608920909118,0.423911660180022,5.33340387464612,9.63885985462517e-08,6.29462431555114e-05
"Mcoln2",651.05607989501,3.27911354062034,0.644868147174308,5.08493644009058,3.67749200424301e-07,0.000173609600791611
"Luzp1",482.075129772113,1.63958800815502,0.420430293769713,3.89978560644132,9.62779045627696e-05,0.0106447428180907
"Cdc42ep4",678.588205316905,2.09815485659938,0.552017089818664,3.80088750021963,0.000144178754840031,0.0129379580169674
"Mgst1",921.230497070051,-2.11850298194561,0.519006960960519,-4.08183924551787,4.46806984406239e-05,0.00664579484477115
"Cdkn1c",397.237919406904,2.77122589654609,0.506886416259875,5.46715360216974,4.57319739618189e-08,3.81967517905715e-05
"H1f4",1812.8529555317,-1.83442227491329,0.429339280675833,-4.27266350291936,1.93151826645384e-05,0.00355464836222979
"Hip1r",1862.50044435378,2.26567081469533,0.494514385729772,4.58160749227103,4.61415326131856e-06,0.00122196283198529
"Pim2",806.207610931474,1.66721711415002,0.482835166195309,3.45297366653618,0.000554443125080615,0.0340121098990131
"Fgf18",452.771218011058,2.11611787886201,0.632400362539992,3.3461680356456,0.000819367249802725,0.042222607439127
"Mmel1",134.834000846564,-6.59409818544573,0.985664219346958,-6.69000462430764,2.2316354494896e-11,6.05777442763953e-08
"Nip7",801.949056544904,1.62465558305669,0.418623661488693,3.88094542310187,0.000104051191050888,0.0111860181428767
"Plk2",5942.4665701746,1.59556455125215,0.399841417159377,3.99049343759242,6.59359736023806e-05,0.00832480001598429
"Srxn1",1457.10704910545,2.31731843037021,0.685854314546514,3.37873274428902,0.000728207626271254,0.0391429624062043
"Havcr2",1207.34188927706,1.97430554441121,0.573951107021259,3.43984970193302,0.000582037312756601,0.0349158074138739
"Errfi1",3889.04638468851,1.64757496717146,0.346975112049526,4.7483952305383,2.0503705581714e-06,0.000670999639790238
"Bin1",2052.73808623113,1.50162016095754,0.2914677852005,5.15192497148383,2.57826190621852e-07,0.000133308417989146
"Dtx2",814.687699978781,1.69670822100134,0.392351891634092,4.32445530958136,1.52909196890582e-05,0.0031928616535345
"Prxl2b",1624.71336347275,-2.12422658096295,0.572571606473012,-3.7099754108451,0.000207279378430839,0.0163089818188555
"Slbp",6066.33439960813,1.81506460638919,0.356527458129065,5.09095320712193,3.56267947120625e-07,0.000173609600791611
"Slc38a2",11426.031614944,1.61269240080569,0.425900282363745,3.7865492641969,0.000152753822439724,0.0135425924252447
"Chka",1281.74676356656,2.55698314288907,0.398141550216162,6.42229664675996,1.34233507060392e-10,2.91501483932348e-07
"Azin1",3444.71902159842,1.76753548726162,0.368959231881584,4.79059834943744,1.66284692624006e-06,0.000564378806967331
"Gla",3467.20335551378,2.01450509903569,0.431243244295057,4.67138935087263,2.9916924367629e-06,0.000916180143981662
"Tmem50b",370.656326186619,1.79997221757108,0.53608812386276,3.35760509783626,0.000786208484902456,0.0410415948513023
"Cd86",997.29859806783,1.84615020420438,0.482464477189906,3.82649975591406,0.000129978278349296,0.0123798609326023
"Epha2",149.423720992504,3.37534151106074,0.958827277422996,3.52028106681792,0.000431089717093255,0.0283683160496883
"Cadm1",269.861950668384,1.71511599980695,0.430725427544639,3.98192419143679,6.83595853684332e-05,0.00853159055092468
"Slc16a10",291.262102876226,2.17053888655006,0.474829530081345,4.57119607994518,4.84948241041956e-06,0.00124678442924785
"Gramd2b",774.080487730824,1.86520565945111,0.439706211453278,4.24193611749627,2.21599774880704e-05,0.00394447599287653
"Kdr",598.426489245522,4.4122034155084,0.871367199358223,5.06354085712437,4.11540131887511e-07,0.000178740110081384
"Cass4",591.818268297874,2.3189392924344,0.57745859458018,4.01576721551838,5.92527196852483e-05,0.00765911940883841
"Ammecr1l",396.745300151019,1.52852689620982,0.452919226499146,3.37483331856901,0.000738604113549753,0.0392878171986268
"Ptprv",135.340755964662,-2.40601724651098,0.557480927248207,-4.31587365398736,1.58972892800465e-05,0.00319653272227305
"Bcar3",1081.30651712977,3.38931155153779,0.647504793997603,5.23441923975984,1.65504414821246e-07,9.45814176910048e-05
"Rab7b",1248.46069053836,2.86264354209581,0.620485179150632,4.61355667836325,3.95836255754996e-06,0.00107449751624694
"Ctsd",6163.84340669173,-1.54149502821374,0.449761938735437,-3.42735766514135,0.000609485725347116,0.0359662826403206
"Med26",280.575789389002,1.85497846140506,0.439136673260047,4.22414836737306,2.39846010014453e-05,0.00403944144516303
"Arid5a",3504.7736106555,1.66579025361392,0.357249108787584,4.6628254980599,3.11897213815887e-06,0.000916180143981662
