"","Unclass.CD8","Unclass.EpCAM","Unclass.EpCAM..SMA","Unclass.SMA","Unclass.Treatment","Unclass.Growth","Unclass.Infil"
"10LB",0.554407461965743,0.541966914529955,0.483527675094136,0.639857590196137,"PDL1","growing","Infiltrating"
"10LC",0.572758237889965,0.617902256348278,0.506844135276482,0.565289475876924,"PDL1","growing","Infiltrating"
"10LD",0.616443478568439,0.661450233449333,0.551870293915699,0.729667069548325,"PDL1","stable","Infiltrating"
"10NA",0.403389337252738,0.637210181005627,NA,0.62843107767795,"PDL1",NA,"restricted"
"10ND",0.320639407141568,0.699999405245068,NA,0.781130338052862,"PDL1","stable","restricted"
"10RBL",0.591797817005499,0.327136466673407,0.179567624606396,0.465167275526612,"PDL1","growing","restricted"
"10RBU",0.569209083514097,0.430828054853804,0.317564607436408,0.604724541469034,"PDL1",NA,"restricted"
"11LB",0.615306256385877,0.638024076279043,0.00203769611110544,0.00347550611429827,"PDL1","growing",NA
"11ND",0.760477621098301,0.705406878313636,0.297497017621733,0.591122127787514,"PDL1","stable","Infiltrating"
"11RC",0.234990097863977,0.472881081540703,0.380808758190991,0.527779023568653,"PDL1","growing","restricted"
"11RD",0.548163685066951,0.670982685496341,0.483623074984279,0.572631472729276,"PDL1","growing","restricted"
"12LD",0.756413958100051,0.199649627662726,0.0350932576058006,0.75281110802053,"PDL1","stable","Infiltrating"
"13NA",0.298523931706878,0.466342540935303,NA,0.527436190051516,"Vehicle","growing","restricted"
"14NB",0.665964863983904,0.69736164026783,0.340098064563138,0.602069930105403,"PDL1+LY","growing","restricted"
"14NC",0.634202882542105,0.585939349034655,0.46098129762915,0.667967671778984,"PDL1+LY","stable","restricted"
"14RD",0.61543193694334,0.625988256432001,0.356981163290994,0.66263162056981,"PDL1+LY","stable","Infiltrating"
"15LB",0.54889862347386,0.685765345100487,0.382316866428604,0.794766305745752,"PDL1+LY","growing","restricted"
"15NC-D",0.469112503545889,0.78386589859735,NA,0.69930381296093,"PDL1+LY","growing","restricted"
"15ND",0.559479135873044,0.816477224563357,0.402537065077304,0.451016489713622,"PDL1+LY","stable","Infiltrating"
"15RD",0.500466103481249,0.443212636273637,NA,NA,"PDL1+LY","growing","restricted"
"16LA",0.501202617288951,0.663456625689404,NA,0.565205618074221,"PDL1+LY",NA,"Infiltrating"
"16LC",0.175556268202293,0.598602234540211,NA,0.541785408641017,"PDL1+LY","stable","Infiltrating"
"16LD",0.722455134666891,0.544824181685303,NA,0.524757160954419,"PDL1+LY","stable","Infiltrating"
"16ND",0.461123659635355,0.691521602031211,0.721961417047497,0.734396472048844,"PDL1","stable","Infiltrating"
"16RD",0.500136097272639,0.350980995891652,NA,0.526761137343141,"PDL1","stable","Infiltrating"
"17NA",0.645045518454209,0.467054042525129,NA,0.493009737644387,"Vehicle","growing","restricted"
"17ND",0.829567428433512,0.692312361978303,0.315567592274243,0.763064544725498,"Vehicle","stable","Infiltrating"
"17RB",0.525095910363072,0.578585202573978,0.370293960497868,0.371074516297324,"Vehicle","growing","Infiltrating"
"2N",0.52957954318639,0.626288823856,0.330341900198831,0.507236721756482,"Vehicle","growing","restricted"
"2RA",0.795807513117902,0.396579054609704,0.0462920805678048,0.604091160012455,"Vehicle","growing","restricted"
"2RD",0.647009188811405,0.52008073010337,0.160775728886664,0.636357745702916,"Vehicle","growing","restricted"
"3LA",0.382801887858857,0.498213972716051,0.276335732020638,0.415227060455917,"Vehicle","growing","restricted"
"3NB",0.695614729284186,0.603406998776568,NA,0.693144578673802,"Vehicle","stable","Infiltrating"
"3RB",0.505801351525514,0.526373718418174,NA,0.607867720746984,"Vehicle","growing","restricted"
"3RC",0.489237750106348,0.731267443375609,0.424650181586161,0.644667284786248,"Vehicle","growing","Infiltrating"
"4LB",0.645739428397967,0.730905076355118,0.392606546224574,0.658950332548708,"Vehicle","growing","Infiltrating"
"4NC",0.0617269574485295,0.698629383860997,NA,0.746814062665711,"Vehicle","growing","restricted"
"4ND",0.474780912295535,0.452158056000263,NA,0.465685188419852,"Vehicle","growing","Infiltrating"
"4RB",0.461234665470411,0.712976832898206,0.366336728949172,0.63687412754186,"Vehicle","growing","restricted"
"5LA",0.534745022844513,0.574051811712815,NA,0.544975973088918,"Vehicle","stable","Infiltrating"
"5LB",0.576877740668441,0.572213720269094,NA,NA,"Vehicle","growing","restricted"
"5LC",0.238726512729895,0.605626301365651,NA,0.447594195459972,"Vehicle","growing","restricted"
"5LD",0.262171110724757,0.541341116884509,0.311981336544148,0.622888163487371,"Vehicle","stable","restricted"
"5RB",0.676888613955451,0.458969679001159,NA,0.555789652377546,"Vehicle","growing","restricted"
"6LDU",0.147798498629994,0.116066965514807,NA,0.203060470066058,"LY","growing","restricted"
"6ND",0.352226667884465,0.413354340817665,0.343034501480875,0.450966336566723,"LY","growing",NA
"6RB",0.599240641694505,0.446156875683663,NA,0.419737263093096,"LY","growing","Infiltrating"
"6RC",0.599989558742801,0.477445940645722,0.359354878268505,0.532038623505348,"LY","growing","restricted"
"7NB",0.30859617855788,0.59559796470764,NA,0.602465699258607,"LY","growing","restricted"
"7NC",0.309327302706513,0.582883484015059,NA,0.552100473754475,"LY","growing","restricted"
"7RA",0.460543284820433,0.741664495828784,0.74801379374255,0.811192104740618,"LY","stable","restricted"
"7RB",0.698388125565078,0.880282478651327,0.865545399681869,0.822157564703389,"LY","growing",NA
"7RD",0.471617885817702,0.648760027897502,NA,0.631730993469433,"LY","stable","Infiltrating"
"8LD",0.670401108787399,0.764774493503624,0.160494578726192,0.200176588497078,"LY","stable","Infiltrating"
"8RCL",0.53479902598915,0.659700000393215,NA,0.273309430246077,"LY","growing","restricted"
"8RCU",0.54197766559555,0.439227085019723,NA,0.357489665240284,"LY","growing","restricted"
