"","Immune response_IL-3 signaling via ERK and PI3K","NF-AT signaling in cardiac hypertrophy","Development_Prolactin receptor signaling","Immune response_M-CSF-receptor signaling pathway","Development_Negative regulation of WNT/Beta-catenin signaling in the cytoplasm","CHDI_DEGs from Replication data_Causal network","IGF family, invasion and metastasis in colorectal cancer","Development_Positive regulation of WNT/Beta-catenin signaling in the cytoplasm","PI3K signaling in gastric cancer","Immune response_IL-4 signaling pathway","Development_Role of HDAC and calcium/calmodulin-dependent kinase (CaMK) in control of skeletal myogenesis","CHDI_Correlations from Discovery data_Causal network","Immune response_Function of MEF2 in T lymphocytes","Signal transduction_Angiotensin II/ AGTR1 signaling via p38, ERK and PI3K","CHDI_Correlations from Replication data_Causal network (positive correlations)","Signal transduction_Angiotensin II/ AGTR1 signaling via JAK/STAT","Development_Fetal brown fat cell differentiation","Signal transduction_Angiotensin II/AGTR1 signaling via Notch, Beta-catenin and NF-kB pathways","Cytoskeleton remodeling_FAK signaling","WNT signaling in proliferative-type melanoma cells","Cytoskeleton remodeling_Hyaluronic acid/ CD44 signaling pathways","EGF- and HGF-dependent stimulation of metastasis in gastric cancer","CHDI_Correlations from Replication data_Cytoskeleton and adhesion module","Role of adhesion of SCLC cells in tumor progression","Mechanisms of CAM-DR in multiple myeloma","CHDI_Correlations from Replication data_Causal network (negative correlations)","Aberrant B-Raf signaling in melanoma progression","Development_Thromboxane A2 signaling pathway","IGF-1 signaling in multiple myeloma","Chemotaxis_Lysophosphatidic acid signaling via GPCRs","Cell cycle_Role of Nek in cell cycle regulation","High shear stress-induced platelet activation","Development_Negative regulation of WNT/Beta-catenin signaling in the nucleus","wtCFTR and deltaF508-CFTR traffic / Clathrin coated vesicles formation (normal and CF)","Development_The role of GDNF ligand family/ RET receptor in cell survival, growth and proliferation","Chemotaxis_SDF-1/ CXCR4-induced chemotaxis of immune cells","Proliferative action of Gastrin in gastric cancer","Development_Positive regulation of WNT/Beta-catenin signaling at the receptor level","Development_Regulation of cytoskeleton proteins in oligodendrocyte differentiation and myelination","Neurogenesis_NGF/ TrkA MAPK-mediated signaling","Muscle contraction_S1P2 receptor-mediated smooth muscle contraction","EGFR signaling pathway in colorectal cancer","Langerhans cell migration to lymph nodes in allergic contact dermatitis","Stem cells_Pancreatic cancer stem cells in tumor metastasis","Role of cell adhesion molecules in progression of pancreatic cancer"
"C1R-tumor",2,4,0,1,0,3,0,1,0,3,2,1,2,3,3,3,1,4,1,1,1,0,2,1,2,1,1,0,0,3,1,2,3,0,1,2,1,2,2,3,0,1,2,1,0
"C2N-tumor",3,1,0,0,3,2,0,2,0,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
"C2R1-tumor",4,0,0,0,3,0,0,2,1,1,0,0,0,1,0,0,2,1,2,2,0,1,1,0,0,0,2,1,1,2,0,1,0,0,2,1,0,1,1,1,0,1,0,0,0
"C2R2-tumor",2,0,1,1,2,3,0,3,1,1,1,0,1,0,1,1,2,1,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0
"C2R3-tumor",3,0,0,0,4,0,1,5,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,1,2,1,0,3,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0
"C4P-tumor",2,4,1,1,2,0,1,3,1,1,2,0,1,2,1,3,2,3,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,2,1,0,0,1,0,0
"NMU1-tumor",9,1,2,3,5,4,1,6,3,4,2,3,1,2,3,2,5,1,3,1,2,3,2,2,0,1,3,0,1,3,1,2,6,1,1,2,1,6,3,4,3,3,0,1,2
"NMU12-tumor-LA",6,1,1,1,3,1,0,3,2,2,0,2,0,1,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,1,1,0,1,3,2,0,1,0,1,0
"NMU12-tumor-RL",5,5,4,4,7,4,2,3,0,5,2,3,2,8,4,2,2,4,2,4,2,2,1,1,0,2,4,0,1,1,3,3,2,1,4,3,2,3,2,7,2,1,2,1,3
"NMU13-tumor-LAL",3,0,1,1,3,3,1,3,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,1,1,0,2,1,1,1,0,0,0,2,2,1,0,1,1,1,0,0,0,0,2
"NMU13-tumor-RAU",5,4,1,3,4,3,1,4,0,2,1,1,1,4,2,2,0,5,1,0,1,2,3,2,1,1,4,0,2,2,0,2,3,0,1,4,0,2,1,1,0,1,2,1,0
"NMU13-tumor-RLL",3,2,2,2,3,2,2,4,0,0,1,0,2,1,1,3,1,1,1,1,0,0,2,1,1,1,1,0,1,1,0,1,1,2,0,1,0,2,1,1,0,0,1,1,3
"NMU14-tumor",3,0,1,1,2,4,1,2,0,1,0,1,1,0,4,0,0,3,2,0,2,1,3,2,3,2,1,1,1,3,0,1,0,0,2,3,1,1,2,2,1,0,1,1,0
"NMU2-tumor",2,0,0,0,2,1,0,0,0,0,0,1,0,2,1,1,0,2,0,0,0,0,0,0,0,1,4,0,0,2,2,0,0,1,0,1,0,2,0,1,1,0,0,0,0
"NMU5-tumor-LA",5,0,1,1,5,3,3,3,0,1,0,0,0,0,2,0,0,1,0,1,0,1,2,1,2,0,2,0,0,1,0,1,4,1,0,1,1,1,0,2,0,1,2,0,0
"NMU9-tumor-LL",3,3,0,1,3,2,0,2,0,0,1,0,1,2,1,3,0,2,0,0,0,0,0,0,1,1,2,0,0,4,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
