"","LYvs.Vehicle","PDL1vs.Vehicle","PDL1+LYvs.Vehicle","Grow.Stable","Inf.res"
"CIBERSORT",0.412698412698413,0.547619047619048,1,0.588028895768834,0.189277389277389
"CIBERSORT-ABS",0.412698412698413,1,0.662337662337662,0.642647058823529,0.535819735819736
"EPIC",0.503170895628426,0.67643499972425,0.305255320855873,0.238841377996258,0.884126408020611
"facs",0.0265187219594307,0.197959327152793,0.0265187219594307,0.102807661826291,0.503170895628426
"MMCPCOUNTER",0.000421759089623542,0.0110240309717385,0.0372030168079888,0.00274994895171478,0.884126408020611
"QUANTISEQ",0.873590855769427,0.15662985948811,0.33017979076143,0.428216988147425,0.0562203202685361
"TIMER",0.750652814471347,0.908268169971223,0.193021829596831,0.392275603714659,0.451690521310949
"XCELL",0.091206767720848,0.0288055597653121,0.0802331458052876,0.233449773446722,0.632568707316999
"facs",0.904761904761905,0.69047619047619,0.536796536796537,1,0.866511266511267
"CIBERSORT",0.371093369522698,0.423710797166793,NA,0.0572673920451156,0.422678074170635
"CIBERSORT-ABS",0.371093369522698,0.423710797166793,NA,0.0572673920451156,0.422678074170635
"QUANTISEQ",0.285714285714286,0.30952380952381,0.161055709745634,0.0707781217076769,0.684374754806399
"XCELL",0.111111111111111,0.0952380952380952,0.051948051948052,0.00335606997071643,0.728221023330223
"facs",0.285714285714286,0.222222222222222,0.536796536796537,0.274922600619195,0.120590520590521
"CIBERSORT",0.285714285714286,0.0317460317460317,0.246753246753247,0.157430340557276,0.463403263403263
"CIBERSORT-ABS",0.19047619047619,0.0317460317460317,0.051948051948052,0.0968008255933953,0.280963480963481
"QUANTISEQ",0.262239349502025,0.463343882565217,0.190841272960959,0.0288100846371052,0.904861129450448
"XCELL",0.555555555555556,0.463343882565217,0.583024911513766,0.00881992049056772,0.684374754806399
"CIBERSORT",0.19047619047619,0.69047619047619,0.536796536796537,0.0144736842105263,0.396891996891997
"CIBERSORT-ABS",0.19047619047619,1,0.246753246753247,0.0144736842105263,0.535819735819736
"facs",0.19047619047619,1,0.329004329004329,0.437796697626419,0.151981351981352
"MMCPCOUNTER",0.131210414512999,0.072005657555498,0.465208818452142,0.353068365848012,1
"QUANTISEQ",0.502334954360502,0.423710797166793,0.361310428526179,0.529368106184798,NA
"XCELL",0.139982523758398,0.161237591834016,0.0995755338938674,0.00804637441102948,0.682751066227114
"CIBERSORT",NA,NA,0.465208818452142,0.208412803684149,0.349574806123298
"CIBERSORT-ABS",NA,NA,0.465208818452142,0.208412803684149,0.349574806123298
"facs",0.73015873015873,0.547619047619048,0.662337662337662,0.816795665634675,1
"QUANTISEQ",0.240420786368435,0.179712494879,0.136380215635789,0.322830753885083,0.422678074170635
"TIMER",0.555555555555556,1,0.930735930735931,0.157430340557276,0.231857031857032
"XCELL",0.90086538932065,1,0.632142422148543,1,0.550097317230397
"facs",0.666666666666667,0.533333333333333,0.333333333333333,0.420634920634921,0.19047619047619
"EPIC",0.904761904761905,0.222222222222222,0.662337662337662,0.485423116615067,0.694327894327894
"MMCPCOUNTER",0.285714285714286,0.420634920634921,0.329004329004329,0.000490196078431373,1
"QUANTISEQ",0.904761904761905,0.420634920634921,0.930735930735931,0.0264435278348931,0.955089355089355
"XCELL",0.412698412698413,0.547619047619048,0.930735930735931,0.0296955624355005,0.0400932400932401
"facs",0.333333333333333,0.266666666666667,1,0.0317460317460317,0.0634920634920635
"CIBERSORT",0.285714285714286,0.30952380952381,0.125541125541126,0.392879256965944,0.535819735819736
"CIBERSORT-ABS",0.19047619047619,0.69047619047619,0.125541125541126,0.588028895768834,1
"EPIC",0.904761904761905,0.841269841269841,0.051948051948052,0.350696594427245,0.280963480963481
"QUANTISEQ",0.538594314826435,0.0317460317460317,0.051948051948052,0.780706329263884,0.5207033237981
"TIMER",0.412698412698413,0.841269841269841,0.662337662337662,0.045562435500516,0.0721056721056721
"XCELL",1,0.841269841269841,1,0.0011609907120743,0.280963480963481
"facs",1,0.266666666666667,0.333333333333333,0.30952380952381,0.111111111111111
"CIBERSORT",0.904761904761905,1,0.792207792207792,0.045562435500516,0.778865578865579
"CIBERSORT-ABS",0.904761904761905,0.420634920634921,0.536796536796537,0.0186016511867905,0.866511266511267
"QUANTISEQ",0.555555555555556,0.420634920634921,0.536796536796537,0.938467492260062,0.535819735819736
"XCELL",0.73015873015873,0.150793650793651,0.125541125541126,0.182688338493292,0.694327894327894
"CIBERSORT",0.285714285714286,0.0555555555555556,0.246753246753247,0.157430340557276,0.463403263403263
"CIBERSORT-ABS",0.19047619047619,0.0317460317460317,0.051948051948052,0.114628482972136,0.280963480963481
"EPIC",0.111111111111111,0.0952380952380952,0.177489177489177,0.00340557275541796,0.866511266511267
"facs",0.19047619047619,0.222222222222222,0.792207792207792,0.485423116615067,0.280963480963481
"QUANTISEQ",0.412698412698413,0.547619047619048,0.166994117926185,0.00547483230205296,0.772139521993872
"TIMER",0.262239349502025,0.463343882565217,0.262192602406773,0.627112840283769,1
"XCELL",0.111111111111111,0.222222222222222,0.177489177489177,0.00340557275541796,0.778865578865579
"CIBERSORT",0.285714285714286,0.222222222222222,0.272229256388575,0.165358801324763,0.953815944915505
"CIBERSORT-ABS",0.412698412698413,0.222222222222222,0.272229256388575,0.284537687693894,0.862064716070069
"EPIC",0.412698412698413,0.150793650793651,0.0173160173160173,0.274922600619195,0.463403263403263
"facs",0.333333333333333,0.533333333333333,0.333333333333333,0.0555555555555556,0.19047619047619
"QUANTISEQ",0.502334954360502,1,0.341314478313443,1,0.158256335437363
"TIMER",0.200825122695145,0.105997548424946,0.0616636774928654,0.469827738795712,0.5207033237981
"XCELL",0.285714285714286,0.0952380952380952,0.177489177489177,0.757301341589267,0.535819735819736
