"","knn.EpCAM","knn.EpCAM..SMA","knn.SMA","knn.Unclass","knn.EpMIN","knn.EpStrRatio1","knn.EpStrRatio2","knn.EpStrRatio3","knn.EpStrRatio4","IF.CD8","IF.EpCAM","IF.EpCAM..SMA","IF.SMA","IF.Unclass","IF.EpMIN","IF.EpStrRatio1","IF.EpStrRatio2","IF.EpStrRatio3","IF.EpStrRatio4","MH.EpCAM","MH.EpCAM..SMA","MH.SMA","MH.Unclass","MH.EpMIN","MH.EpStrRatio1","MH.EpStrRatio2","MH.EpStrRatio3","MH.EpStrRatio4","Treatment","Growth","Infil","CD8frac","GrowthRate","TumSize","knn.EpCAMcut","MH.EpCAMcut","IF.EpCAMcut","CD8Fraccut","CD8","EpCAM","EpCAM: SMA","SMA","Unclass","CD8","EpCAM","EpCAM: SMA","SMA","Unclass","Trichrome"
"10LB",39.9619294720996,52.7225336699768,16.9493539789847,28.0762263357204,39.9619294720996,0.573573227604308,2.35772581784816,1.33029929674165,5.46831833573095,0.205382630863877,0.223655487199841,0.0803883554429298,0.590501778435892,0.301082327079549,0.0803883554429298,0.33337125694002,0.378754976474846,0.453194684627287,0.514890646812471,0.4189066729853,0.413153986444824,0.571849551351892,0.516823402950778,0.413153986444824,0.425284434939515,0.732546999459868,0.844728599951327,1.45503420867093,"PDL1","growing","Infiltrating",0.02289774,6.22857142857142,35,NA,"high","low","low",0.0228977401821137,0.266314906408934,0.120030410542321,0.393649789398256,0.197107153468375,0.0228977401821137,0.266314906408934,0.120030410542321,0.393649789398256,0.197107153468375,0.12664383309166
"10LC",32.1225777378723,34.5773378976414,17.8734545331956,24.2862577170351,32.1225777378723,0.612432648757976,1.79722267333449,1.27166650005271,3.73178646084532,0.0784257397299627,0.316862970410801,0.237575409365125,0.476874461361678,0.37144498707268,0.237575409365125,0.443506232408523,0.6644578313253,0.776035383996782,1.16265060240964,0.409745600073024,0.451464942082663,0.46998671169617,0.505688112891806,0.409745600073024,0.444674008009726,0.871823798154341,0.93462368711793,1.83241466348612,"PDL1","growing","Infiltrating",0.010034071,5.35714285714286,25,"high","low","high","low",0.0100340714520434,0.296041139404701,0.167235485042575,0.308196749664186,0.218492554436495,0.0100340714520434,0.296041139404701,0.167235485042575,0.308196749664186,0.218492554436495,0.150025705049749
"10LD",34.3310980038422,30.1813313277352,15.9708642750149,35.9949538858457,30.1813313277352,0.74386705887935,2.14960802450437,1.39781929091437,4.03938247928772,0.281622167443794,0.294437349648065,0.256377891954501,0.578673042083692,0.145020937899082,0.256377891954501,0.352598072340577,0.508814698863199,0.659618735996017,0.951859170109575,0.66228436878808,0.598719929510837,0.69679032962881,0.589495353916096,0.598719929510837,0.511215070753593,0.950478703028052,0.973364965196304,1.8097327771048,"PDL1","stable","Infiltrating",0.068108769,1.97297297297297,10,"high","high","high","high",0.0681087685159526,0.194893106594036,0.206384476435713,0.406670294171786,0.123943354282513,0.0681087685159526,0.194893106594036,0.206384476435713,0.406670294171786,0.123943354282513,0.176618842694733
"10NA",23.8097655692235,NA,27.4927614773069,48.1920548844928,23.8097655692235,0.866037614623638,0.866037614623638,0.866037614623638,0.866037614623638,0.35915415397041,0.480854656925731,NA,0.320716619552847,0.111274275854473,0.480854656925731,1.49931318681319,1.49931318681319,1.49931318681319,1.49931318681319,0.431468081941056,NA,0.472028465768945,0.376807530859589,0.431468081941056,0.914072165622861,0.914072165622861,0.914072165622861,0.914072165622861,"PDL1",NA,"restricted",0.046562712,NA,12,"high","high","high","high",0.046562711539908,0.555444823554349,0,0.285519900990776,0.112472563914967,0.046562711539908,0.555444823554349,0,0.285519900990776,0.112472563914967,NA
"10ND",26.2080114341122,NA,30.0620994045927,40.017617335768,26.2080114341122,0.871795781172499,0.871795781172499,0.871795781172499,0.871795781172499,0.300866566451499,0.440887788487046,NA,0.173843841188434,0.142629763904855,0.440887788487046,2.53611393692777,2.53611393692777,2.53611393692777,2.53611393692777,0.370057230498451,NA,0.30885131587711,0.285460351471176,0.370057230498451,1.19817275004162,1.19817275004162,1.19817275004162,1.19817275004162,"PDL1","stable","restricted",0.022719488,0.393053320756811,15,"high","low","high","low",0.0227194879526846,0.465147815290904,0,0.283720378932692,0.228412317823719,0.0227194879526846,0.465147815290904,0,0.283720378932692,0.228412317823719,NA
"10RBL",44.9270325366952,67.362948168925,18.227737713612,26.0789306004034,44.9270325366952,0.524905625810175,2.46476185045964,1.31194159209946,6.16039041541425,0.127910403772473,0.221338048924256,0.203949307397583,0.575891541408783,0.45446507515473,0.203949307397583,0.283824640967498,0.384339815762539,0.545351473922903,0.738485158648925,0.550368165908437,0.490318293894687,0.651371486003653,0.556850050330257,0.490318293894687,0.482064546428228,0.844937455406745,0.911531729657587,1.59768501103422,"PDL1","growing","restricted",0.020271481,4.97619047619048,40,NA,"high","low","low",0.0202714813177359,0.347853361851617,0.150545471925821,0.254764664412288,0.226565020492538,0.0202714813177359,0.347853361851617,0.150545471925821,0.254764664412288,0.226565020492538,NA
"10RBU",87.1290119223447,76.1212139820092,20.7838391797493,35.2322583582712,76.1212139820092,0.899117322364034,4.19215194886798,1.68464100248569,7.85467133826827,0.43176872689031,0.0816202095465047,0.311947954600122,0.472341092036002,0.287748857451319,0.0816202095465047,0.10406904176028,0.172799298902166,0.50181519917264,0.833228721325454,0.346221408273482,0.403100706047679,0.568264346773485,0.540852196745214,0.346221408273482,0.35642769653689,0.609261183178695,0.771411440163389,1.31861539189585,"PDL1",NA,"restricted",0.067064099,NA,12,NA,"low","low","high",0.0670640985529038,0.163958472607062,0.335904973488285,0.286529107365132,0.146543347986618,0.0670640985529038,0.163958472607062,0.335904973488285,0.286529107365132,0.146543347986618,0.145513854031148
"10RC",25.684014726961,94.6472227236652,31.71923347689,16.9412440359339,25.684014726961,0.203250257221727,0.80972999381192,0.952240341848706,3.79363636067363,0.169500822819528,0.411958310477235,0.0142622051563357,0.157981349424026,0.579813494240263,0.0142622051563357,2.39171974522293,2.60763888888889,2.47452229299363,2.69791666666667,0.670392668996281,0.438248936676857,0.638304997161801,0.704540337077232,0.438248936676857,0.622720931970281,1.05027012474782,1.02980591201786,1.73685246175836,"PDL1",NA,"Infiltrating",NA,NA,4,"high","high","high",NA,0.0417305711342566,0.361817557514021,0.027675403456564,0.131143413070848,0.43763305482431,0.0417305711342566,0.361817557514021,0.027675403456564,0.131143413070848,0.43763305482431,NA
"11LB",69.1029642114784,7919.73814699934,6967.17454887033,17.4776096943474,69.1029642114784,0.00464185997615549,0.00991836270596707,0.536635182486648,1.14664001241452,0.692943711696291,0.208010474138151,0,1.01888503410718e-05,0.577473470780924,0,20415.5,20415.5,20415.5,20415.5,0.274440286831825,0.000405720777833044,0.000507716265826994,0.599253453685144,0.000405720777833044,300.447949573157,540.538693171082,300.892118966822,541.337802447544,"PDL1","growing",NA,0.152177739,3.78571428571429,25,NA,"low","low","high",0.152177738773681,0.455467236429688,1.00783553364504e-05,3.64371308317822e-05,0.392308509310462,0.152177738773681,0.455467236429688,1.00783553364504e-05,3.64371308317822e-05,0.392308509310462,0.133181297679202
"11ND",26.8977347268818,115.537832166079,92.9823657270467,27.030770888554,26.8977347268818,0.128993426050113,0.289277805706096,0.683078034320514,1.53185569951066,0.895123167921705,0.4326199016557,0.0146566263629237,0.00798156638240255,0.276599282609212,0.0146566263629237,19.1101783840504,54.2023809523809,19.7576075550892,56.0386904761905,0.716537670403139,0.439396106346871,0.513415817760222,0.728627988562081,0.439396106346871,0.752024247675769,1.39562834960761,1.21318147632679,2.2514572725725,"PDL1","stable","Infiltrating",0.380067171,0.10655737704918,3,"high","high","high","high",0.380067171051444,0.423177624094906,0.018544266084036,0.014002997417887,0.164207941351727,0.380067171051444,0.423177624094906,0.018544266084036,0.014002997417887,0.164207941351727,0.374043581170937
