""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"C2N_Ep_"	"0.128925084178592"	"-0.111502775505809"	"0.0227705522653579"	"-0.201936712616626"	"0.360925408504996"	"Normal"	"0.98"	"35.8590405529586"	"med"	"-0.544395368496562"	"17.1464423194868"	"med"	"-1.69419706470343"	"-0.926130628433064"
"C2R_Ep_"	"0.0194805194805195"	"-0.307157958320749"	"0.247508305647841"	"-0.358501963153126"	"0.543038356991845"	"Normal"	"1"	"20.5130748989998"	"low"	"-0.903768359558039"	"-2.1718375444484"	"low"	"-2.04739630972495"	"-0.949662106764192"
"C5R_Ep_"	"0.127906976744186"	"0.1650558743582"	"-0.263817577771066"	"0.0900030202355784"	"-0.0895499848988221"	"Her2"	"0.71"	"56.672062543749"	"high"	"0.467536121060253"	"64.6021215482956"	"high"	"-0.748724725616772"	"-1.0507325542739"
"D11N_Ep_"	"0.229688915735427"	"0.468740561763818"	"-0.653729990939293"	"0.403352461491996"	"-0.627000906070674"	"Her2"	"1"	"83.0332939341233"	"high"	"2.68948197336947"	"161.737112991859"	"high"	"0.782056709040562"	"0.147376765121751"
"D14R_Ep_"	"-0.36465002865723"	"0.0426847859632208"	"0.123001873020547"	"0.239905919474919"	"-0.268304368911674"	"LumB"	"0.87"	"38.9090733046903"	"med"	"-0.352292018745735"	"27.5499475946074"	"med"	"1.20344472444336"	"-0.309652077749204"
"D17N_Ep_"	"-0.100404858299595"	"0.184817813765182"	"-0.0552631578947368"	"0.193927125506073"	"-0.12753036437247"	"LumB"	"0.76"	"48.9234798602048"	"med"	"-0.124884812326036"	"39.4637098449433"	"med"	"-1.38666179382421"	"-0.520141128153717"
"D18N_Ep_"	"0.308668076109937"	"0.0437934158864391"	"-0.286922379945636"	"-0.0416792509815766"	"0.0622168529145273"	"Basal"	"0.96"	"54.5446988299252"	"high"	"0.485446068178814"	"63.8021015516407"	"high"	"-3.91954923459621"	"-1.38403250745842"
"D2N_Ep_"	"0.273784355179704"	"0.0409241920869828"	"-0.255662941709453"	"-0.13711869525823"	"0.188311688311688"	"Basal"	"0.92"	"51.4381231751559"	"med"	"0.211859078557628"	"51.9829551944156"	"med"	"-1.60499412713324"	"-0.773144850052282"
"D3R_Ep_"	"0.265025672002416"	"0.144216248867412"	"-0.35563273935367"	"0.0528541226215645"	"-0.00573844759891272"	"Basal"	"0.91"	"60.2304634658092"	"high"	"0.459165067832194"	"64.896132138888"	"high"	"-0.901438861050212"	"-1.29182818029709"
"D4R_Ep_"	"0.342343702808819"	"-0.197674418604651"	"-0.0462096043491392"	"-0.29130172153428"	"0.368166717003926"	"Normal"	"0.98"	"37.0174186664772"	"med"	"-0.131453900637053"	"33.1199594588744"	"med"	"-1.47506209380315"	"-1.40710623533077"
"D9N_Ep_"	"-0.0402834008097166"	"0.248178137651822"	"-0.259311740890688"	"0.0692307692307692"	"-0.115587044534413"	"Her2"	"0.87"	"56.5240138147178"	"high"	"0.612476813978093"	"70.8987298748746"	"high"	"-1.72903513242158"	NA
"D9R_Ep_"	"-0.187707641196013"	"0.244488070069465"	"-0.200694654183026"	"0.432195711265479"	"-0.645726366656599"	"LumB"	"1"	"59.3791069408567"	"high"	"0.456560138401985"	"66.1265483594737"	"high"	"0.686809195012596"	"0.433855056330395"
"10L_Ep_D"	"-0.025362612430111"	"-0.245766145369095"	"0.34348918240013"	"-0.524673851389677"	"0.507171217891581"	"Normal"	"1"	"14.4339943977273"	"low"	"-0.890798827939029"	"-3.1895883529694"	"low"	"-0.630508156271577"	"0.307306257685691"
"10R_Ep_B"	"-0.341801385961849"	"-0.522750294177308"	"0.694218225115021"	"-0.164417973474773"	"0.344556541751963"	"LumA"	"1"	"0.289137511538107"	"low"	"-1.04086252444877"	"-13.2217316192091"	"low"	"1.56130861777048"	"-0.164677546174341"
"10R_Ep_BU"	"0.148444578677137"	"0.373905164602839"	"-0.586982784657203"	"0.481878586529749"	"-0.704167925098158"	"LumB"	"1"	"79.7860909032281"	"high"	"1.73469293344942"	"122.657952459052"	"high"	"0.819740784914889"	"0.223309447909591"
"11L_Ep_B"	"-0.514044095439444"	"-0.0691633947447901"	"0.404711567502265"	"0.0913621262458472"	"-0.111899728178798"	"LumA"	"0.99"	"22.3668659120223"	"low"	"-0.363543112120281"	"22.19134674816"	"med"	"1.63489347592345"	"1.29896973862202"
"11N_Ep_D"	"0.213320825515947"	"0.376172607879925"	"-0.424202626641651"	"0.219324577861163"	"-0.475797373358349"	"Her2"	"0.98"	"69.0025673499614"	"high"	"0.769325662454909"	"80.8771577308639"	"high"	"0.551452541591659"	"0.748741971361286"
"11R_Ep_D"	"-0.631984294774993"	"0.0397160978556327"	"0.465267290848686"	"0.0801872546058593"	"-0.0860767139836907"	"LumA"	"1"	"20.6825087179988"	"low"	"-0.798111283637419"	"5.04164450723396"	"low"	"1.33592298136299"	"0.961929713976683"
"11R_Ep_C"	"-0.113258834189067"	"-0.0244639081848384"	"0.10918151615826"	"-0.196919359710057"	"0.03397765025672"	"LumA"	"0.52"	"32.437912778972"	"med"	"0.396349343905549"	"54.4087264187681"	"high"	"0.0752027928895289"	"0.836454545621133"
"12L_Ep_D"	"-0.19594518079431"	"-0.260354136176794"	"0.413712387503671"	"-0.132517839034302"	"0.372258089139094"	"LumA"	"0.99"	"17.0215440971673"	"low"	"-1.32709584134096"	"-19.174558973593"	"low"	"-0.311729387178789"	"0.145422278676048"
"14N_Ep_C"	"-0.505833050536063"	"-0.357156341100997"	"0.672556348876655"	"-0.221693661199266"	"0.320232567147849"	"LumA"	"1"	"1.8456520799288"	"low"	"-1.52684317338307"	"-31.2992628087162"	"low"	"1.12222085688254"	"0.681924695212479"
"14N_Ep_D"	"0.0517970401691332"	"-0.341890667472063"	"0.200996677740864"	"-0.329356689821806"	"0.527635155542132"	"Normal"	"1"	"22.579147343614"	"low"	"-0.270665598854681"	"23.4448661494436"	"med"	"-0.525664319232097"	"0.0912824327354592"
"14R_Ep_B"	"-0.445234708392603"	"-0.260550023707918"	"0.707444286391655"	"-0.136557610241821"	"0.352299668089142"	"LumA"	"1"	"3.54010198644465"	"low"	"-1.35098300482083"	"-23.4117260281147"	"low"	"1.22507612559109"	"0.314896139963921"
"15N_Ep_C"	"0.511708937687384"	"0.0516165626772547"	"-0.46357669556762"	"-0.00234989060854064"	"-0.0363827890770602"	"Basal"	"1"	"63.6457401750263"	"high"	"1.31716119240727"	"99.1724103489136"	"high"	"-3.9879609449058"	"-0.537984692273177"
"16L_Ep_C"	"0.122772576260948"	"0.334642102083963"	"-0.507701600724857"	"0.346874056176382"	"-0.578979160374509"	"LumB"	"0.98"	"73.5390922681969"	"high"	"1.35383551025487"	"105.502082962361"	"high"	"1.01652583086732"	"0.550890964841089"
"17N_Ep_D"	"-0.296285110238599"	"0.241920869827847"	"-0.025974025974026"	"0.295228027786167"	"-0.465418302627605"	"LumB"	"0.95"	"49.2705457329401"	"med"	"0.166522066249349"	"51.8157291583522"	"med"	"0.221169606819871"	"1.4144586162238"
"2N_Ep_"	"0.0773180308064029"	"0.22455451525219"	"-0.227423739051646"	"0.0819993959528843"	"-0.150709755360918"	"Her2"	"0.85"	"55.6516643553574"	"high"	"0.441652687883923"	"63.607576485259"	"high"	"0.0850303199075462"	"0.726044822579057"
"3N_Ep_B"	"-0.208396254907883"	"-0.254303835699185"	"0.421020839625491"	"-0.240108728480821"	"0.479764421624887"	"Normal"	"1"	"14.9465677740864"	"low"	"-1.36316256234913"	"-21.2667296778178"	"low"	"0.933734699135276"	"-0.266861721450978"
"3R_Ep_C"	"-0.62141347025068"	"-0.118997281787979"	"0.650256720024162"	"0.079734219269103"	"0.0496828752642706"	"LumA"	"1"	"10.7309674381296"	"low"	"-1.37666119420762"	"-21.3662927462489"	"low"	"3.20565791121318"	"1.27087270722743"
"6R_Ep_B"	"-0.347780126849894"	"-0.343249773482332"	"0.610993657505285"	"-0.28646934460888"	"0.502567200241619"	"LumA"	"1"	"4.30133028763302"	"low"	"-1.56937151516272"	"-32.5839055823419"	"low"	"-0.139827576457433"	"0.181006824449655"
"7N_Ep_A"	"-0.136514648142555"	"0.0206886137118695"	"0.123678646934461"	"-0.0505889459377832"	"0.0206886137118695"	"LumA"	"0.57"	"34.8308813349441"	"med"	"-0.129555031847261"	"34.5222030845095"	"med"	"1.73036837316992"	"0.766976161360175"
"8L_Ep_D"	"-0.224089635854342"	"-0.326890756302521"	"0.457703081232493"	"-0.154901960784314"	"0.279831932773109"	"LumA"	"0.99"	"13.708379232493"	"low"	"-1.853739770109"	"-41.3093296989077"	"low"	"0.304426111366573"	"0.110059860535927"
"8R_Ep_CU"	"0.615977046209604"	"0.3228631833283"	"-0.747961340984597"	"0.149501661129568"	"-0.320749018423437"	"Basal"	"1"	"82.4685228372448"	"high"	"1.66228528752654"	"119.179787820565"	"high"	"-0.682193024707196"	"0.470549580632676"
"NMU12_Ep_RL"	"0.451827242524917"	"0.285110238598611"	"-0.571881606765328"	"0.0860767139836907"	"-0.163394744790094"	"Basal"	"1"	"72.7420394082115"	"high"	"1.16620217686195"	"96.7945086290893"	"high"	"0.0963810266071955"	"-0.608653137509004"
"NMU10_Ep_LL"	"0.230897009966777"	"0.247810329205678"	"-0.45514950166113"	"0.26698882512836"	"-0.254454847478103"	"LumB"	"0.92"	"69.2868149933377"	"high"	"0.471261962048395"	"68.582572475005"	"high"	"-0.892113485094397"	"-1.5675234632025"
"NMU13_Ep_LLU"	"0.486166007905138"	"-0.0681818181818182"	"-0.316205533596838"	"-0.109683794466403"	"0"	"Basal"	"0.98"	"53.8582903289933"	"high"	"0.902447960224687"	"79.4107331051791"	"high"	NA	"-0.285988369208162"
"NMU14_Ep_"	"0.0226720647773279"	"-0.290485829959514"	"0.0564777327935223"	"-0.112145748987854"	"0.0469635627530364"	"LumA"	"0.27"	"32.8117659645154"	"med"	"0.0919806790373972"	"41.1879157628347"	"med"	"-0.297595607515713"	"-0.479582422014641"
"NMU7_Ep_RLU"	"0.387387387387387"	"0.061003861003861"	"-0.315830115830116"	"0.0357786357786358"	"-0.0396396396396397"	"Basal"	"0.98"	"57.6805767143614"	"high"	"-0.00275545263883807"	"45.2643833464978"	"med"	NA	"-0.883037402375227"
