""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"C2N_Ep_"	"0.136212624584718"	"-0.117413499716393"	"0.0201766469491937"	"-0.201199254517462"	"0.364395105745077"	"Normal"	"0.98"	"35.9283025870723"	"med"	"-0.55413471104624"	"16.7429544471157"	"med"	"-1.67468591808598"	"-0.927796118250978"
"C2R_Ep_"	"-0.00120809423135005"	"-0.292358803986711"	"0.238447598912715"	"-0.334642102083963"	"0.530806402899426"	"Normal"	"1"	"21.4022315172242"	"low"	"-0.914220088810662"	"-2.22532891718374"	"low"	"-2.02586288984114"	"-0.952123458319006"
"C5R_Ep_"	"0.123980670492298"	"0.173361522198731"	"-0.265327695560254"	"0.0874358199939595"	"-0.0845665961945032"	"Her2"	"0.73"	"56.7941060655213"	"high"	"0.448942599557106"	"63.9317120579462"	"high"	"-0.722509496489254"	"-1.05479746633626"
"D11N_Ep_"	"0.197221383267895"	"0.488976140138931"	"-0.644216248867412"	"0.43204469948656"	"-0.63953488372093"	"Her2"	"1"	"83.2546703841029"	"high"	"2.67614946738634"	"161.434590827012"	"high"	"0.809663622283934"	"0.141686878887473"
"D14R_Ep_"	"-0.356809965929291"	"0.0524413084690999"	"0.0993074612205546"	"0.276144431639612"	"-0.297922383661664"	"LumB"	"0.92"	"40.6791865513099"	"med"	"-0.367647723853115"	"27.4926440396138"	"med"	"1.23090668851005"	"-0.313907260693976"
"D17N_Ep_"	"-0.131781376518219"	"0.212753036437247"	"-0.0493927125506073"	"0.22085020242915"	"-0.148785425101215"	"LumB"	"0.82"	"49.3846355875208"	"med"	"-0.136142270447018"	"39.3369296859408"	"med"	"-1.36504143470413"	"-0.522439981730989"
"D18N_Ep_"	"0.308668076109937"	"0.0510419812745394"	"-0.291905768649955"	"-0.0318634853518574"	"0.0539112050739958"	"Basal"	"0.96"	"55.021727261357"	"high"	"0.472212022020396"	"63.4468662360653"	"high"	"-3.88969660418252"	"-1.38321070986711"
"D2N_Ep_"	"0.261401389308366"	"0.046360616128058"	"-0.254152823920266"	"-0.126698882512836"	"0.177287828450619"	"Basal"	"0.91"	"51.5681593929326"	"med"	"0.199462178669556"	"51.5784722659887"	"med"	"-1.58560202039882"	"-0.775854001461354"
"D3R_Ep_"	"0.24388402295379"	"0.154938085170643"	"-0.345665961945032"	"0.0670492298399275"	"-0.00166112956810631"	"Basal"	"0.89"	"60.1072071462327"	"high"	"0.443951599160066"	"64.3507383577348"	"high"	"-0.880534912591804"	"-1.29207869333359"
"D4R_Ep_"	"0.348535185744488"	"-0.194956206584114"	"-0.059951676230746"	"-0.295379039565086"	"0.366807610993658"	"Normal"	"0.98"	"37.5894335557056"	"med"	"-0.141739298106203"	"32.8619652546562"	"med"	"-1.45743628993298"	"-1.40792724419148"
"D9N_Ep_"	"-0.0489878542510121"	"0.253036437246964"	"-0.246356275303644"	"0.0767206477732793"	"-0.115991902834008"	"Her2"	"0.88"	"56.1403471750417"	"high"	"0.606278626222817"	"70.5908672499584"	"high"	"-1.71736157825144"	NA
"D9R_Ep_"	"-0.214285714285714"	"0.258985200845666"	"-0.199637571730595"	"0.432497734823316"	"-0.641800060404712"	"LumB"	"1"	"59.4213209012738"	"high"	"0.437691202919268"	"65.4859961108634"	"high"	"0.716499312046161"	"0.427884614579148"
"10L_Ep_D"	"-0.0175836642087351"	"-0.228587634713556"	"0.330848391540394"	"-0.510412446317154"	"0.499392269670205"	"Normal"	"1"	"15.4869603322259"	"low"	"-0.910612192362665"	"-3.6152916454735"	"low"	"-0.606666180714385"	"0.300826586434637"
