""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"C2N__Ep"	"-0.0108728480821504"	"-0.227876774388402"	"0.184687405617638"	"-0.247961340984597"	"0.390214436726065"	"Normal"	"0.99"	"25.9781041577984"	"med"	"-0.968161480802402"	"-2.74225586824598"	"low"	"-1.11203638055196"	"-0.0840888090965903"
"C2R__Ep"	"-0.216631430584919"	"-0.306976744186047"	"0.498661028893587"	"-0.443410852713178"	"0.605214940098661"	"Normal"	"1"	"7.51524093338308"	"low"	"-1.49034998057901"	"-28.8094905439804"	"low"	"-1.45570817307557"	"0.0227375444778423"
"C5R__Ep"	"-0.201128399802366"	"0.0241184827252486"	"0.0854725177280742"	"0.00733427544861362"	"-0.0442877402089361"	"LumA"	"0.42"	"37.1134897272477"	"med"	"0.139619581047603"	"46.0410322861899"	"med"	"0.728377429958526"	"0.415406169422169"
"NMU12_RL_Ep"	"0.0425853216550891"	"0.158260344306856"	"-0.201298701298701"	"0.06553911205074"	"-0.238296587133796"	"Her2"	"0.69"	"53.149074046405"	"high"	"0.817117556151896"	"77.6362762422549"	"high"	"1.67296142649176"	"0.991925502876469"
"NMU10_LL_Ep"	"-0.00453377793027677"	"0.0820613805380096"	"-0.171981309488499"	"0.172434687281527"	"-0.129061545081879"	"LumB"	"0.73"	"52.3702199928787"	"med"	"0.254200641721006"	"54.8951374109333"	"high"	"0.0897336421496443"	"-0.697558872151542"
"NMU12_LA_Ep"	"0.0162085976039464"	"0.278505990133897"	"-0.333615221987315"	"0.32107117688513"	"-0.54954193093728"	"LumB"	"0.97"	"64.5399449892634"	"high"	"0.910179415288919"	"85.2894186403719"	"high"	"-0.307293731184798"	"1.14338752414208"
"NMU13_LAU_Ep"	"-0.0189098998887653"	"0.342825361512792"	"-0.115461624026696"	"0.274749721913237"	"-0.188431590656285"	"Her2"	"0.94"	"55.4915515846365"	"high"	"0.332010131574512"	"60.0806006768083"	"high"	NA	"0.236177342498929"
"NMU13_LLU_Ep"	"0.484189723320158"	"-0.0978260869565217"	"-0.268774703557312"	"-0.201581027667984"	"0.0444664031620553"	"Basal"	"0.98"	"49.9108702255289"	"med"	"0.762201913801254"	"72.5197441073777"	"high"	NA	"0.288143824804942"
"NMU14__Ep"	"-0.247165991902834"	"-0.242712550607287"	"0.297975708502024"	"-0.048582995951417"	"-0.0603238866396761"	"LumA"	"0.93"	"23.2278070904977"	"low"	"-0.251679214079795"	"25.5859675807519"	"med"	"0.591559085866835"	"0.451251461020331"
"NMU7_RLU_Ep"	"0.202072205837061"	"-0.009009588795283"	"-0.127550035658935"	"0.0756805458803772"	"-0.0840465926188542"	"Basal"	"0.76"	"48.5981259762333"	"med"	"-0.26330622603337"	"32.4620387705613"	"med"	NA	"-0.0452638108402027"
