""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"10L_D_Ep"	"0.145450125597601"	"-0.174945304270318"	"0.127299246414391"	"-0.506198849363909"	"0.461794019933555"	"Normal"	"1"	"25.5895682074577"	"med"	"-0.507863116105296"	"15.1462355795879"	"med"	"-1.03107857288522"	"-0.114503597454472"
"10R_BL_Ep"	"-0.187099910866218"	"-0.552386354428328"	"0.549955433109148"	"-0.155659995138157"	"0.376549712340977"	"LumA"	"1"	"6.74738712822395"	"low"	"-0.692058707838975"	"2.07679657799491"	"low"	"1.18245392395066"	"-0.771936842840167"
"10R_BU_Ep"	"0.185621509442325"	"0.406434078038484"	"-0.642048036321663"	"0.516991396925206"	"-0.719528780295555"	"LumB"	"1"	"83.3171277805905"	"high"	"2.37264991280685"	"149.145657503726"	"high"	"0.40622469862002"	"-0.199385658760234"
"11L_B_Ep"	"-0.44050135910601"	"-0.0270311084264573"	"0.278767743884023"	"0.0854726668680157"	"-0.165810933252794"	"LumA"	"0.93"	"28.4714334906817"	"med"	"-0.0233208938838034"	"37.4514110413096"	"med"	"1.39578757351518"	"1.0761055252992"
"11N_D_Ep"	"0.375234521575985"	"0.450844277673546"	"-0.615196998123827"	"0.253846153846154"	"-0.529080675422139"	"Her2"	"1"	"79.3944188129346"	"high"	"1.01842589785257"	"93.7264528530629"	"high"	"0.129800227682033"	"0.367155515205387"
"11R_D_Ep"	"-0.594007791571881"	"0.0441311271687631"	"0.380472353562004"	"0.144659860942974"	"-0.209517108539239"	"LumA"	"0.99"	"25.5285027056909"	"med"	"-0.482188697116647"	"18.9785540725798"	"med"	"0.87711627642344"	"0.521049110984275"
"11R_C_Ep"	"0.201268498942918"	"0.123326286116984"	"-0.308245243128964"	"-0.121775898520085"	"-0.128541226215645"	"Basal"	"0.81"	"54.7238107613481"	"high"	"0.876849176338041"	"79.8228747334348"	"high"	"-0.485996677318192"	"0.499295015435486"
"12L_D_Ep"	"-0.0670492298399275"	"-0.162035638779825"	"0.241165810933253"	"-0.121111446692842"	"0.348384173965569"	"Normal"	"0.98"	"26.4454325067955"	"med"	"-1.06892816761494"	"-6.10865682340487"	"low"	"-0.934139060570216"	"-0.337387663960407"
"14N_C_Ep"	"-0.425148016628887"	"-0.413166059926813"	"0.591626732689469"	"-0.232872852609722"	"0.32407668774198"	"LumA"	"1"	"4.59169595005125"	"low"	"-1.46203705843699"	"-28.3423316530495"	"low"	"0.781958958523281"	"0.317035374760873"
"14N_D_Ep"	"0.207370490206926"	"-0.261893976707072"	"0.00906207531858381"	"-0.297991243392764"	"0.491315516855886"	"Normal"	"1"	"33.0038972171264"	"med"	"0.0857265152055873"	"40.6033146479513"	"med"	"-1.16707468851926"	"-0.355758493479145"
