""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"10L_C_DN"	"0.150105708245243"	"-0.1276955602537"	"-0.0276250880902044"	"-0.218040873854827"	"0.327413671599718"	"Normal"	"0.97"	"37.5462472946151"	"med"	"-0.567526055708214"	"16.5617057362078"	"med"	"-0.804160486789504"	"-1.2656401760383"
"10R_BL_DN"	"0.206201550387597"	"0.155179704016913"	"-0.111909795630726"	"-0.133333333333333"	"0.194080338266385"	"Basal"	"0.82"	"46.8833695333085"	"med"	"-0.309475906323596"	"30.571577363461"	"med"	"-1.43849275113867"	"-1.42883677989553"
"10R_BU_DN"	"0.425098157656297"	"0.0889459377831471"	"-0.49395952884325"	"0.0588945937783147"	"-0.201298701298701"	"Basal"	"1"	"66.0478299035301"	"high"	"1.02118540948095"	"88.3943931890171"	"high"	"-1.56431400410086"	"-0.889614606722133"
"11L_B_DN"	"-0.217154938085171"	"-0.333434007852613"	"0.37737843551797"	"-0.432497734823316"	"0.353367562669888"	"LumA"	"0.99"	"12.3346836589266"	"low"	"-0.518520813403549"	"11.0990996458376"	"low"	"0.556805110252268"	"0.904065793600306"
"11R_D_DN"	"0.0562367864693446"	"0.281747709654686"	"-0.3461592670895"	"0.367723749119098"	"-0.279633544749824"	"LumB"	"0.99"	"66.0858548658127"	"high"	"0.401751989031536"	"65.4746438611036"	"high"	"-1.90861065901268"	"-1.99728765627699"
"11R_C_DN"	"0.46892177589852"	"0.194644115574348"	"-0.464129668780832"	"-0.0425651867512333"	"-0.0556730091613813"	"Basal"	"1"	"64.8820535415993"	"high"	"0.754797932643465"	"77.7186416401977"	"high"	"-2.05772596828443"	"-0.498858301615349"
"12L_D_DN"	"-0.16019771493396"	"-0.251762417956405"	"0.483834373227453"	"-0.251600356535127"	"0.466493801150636"	"LumA"	"1"	"12.4265736523401"	"low"	"-1.62377060638451"	"-32.3998566859762"	"low"	"-1.1791843850222"	"-0.127681728035362"
"14N_C_DN"	"-0.0992939933504886"	"-0.240570846246887"	"0.397326990882335"	"-0.451013705157771"	"0.509532978805397"	"Normal"	"1"	"13.1439369964933"	"low"	"-0.929623969310216"	"-4.86041217011565"	"low"	"-0.974461524824306"	"0.282826312347207"
"14N_D_DN"	"0.384778012684989"	"-0.26723044397463"	"-0.0684989429175476"	"-0.347427766032417"	"0.384778012684989"	"Basal"	"0.99"	"36.1928868702898"	"med"	"0.0322878001580743"	"38.9934667151248"	"med"	"-2.40887811711881"	"0.0326944791221227"
"14R_B_DN"	"-0.156314574092083"	"-0.143268101085953"	"0.375349459406184"	"-0.170090353042655"	"0.322029091468086"	"LumA"	"0.99"	"19.8971527578288"	"low"	"-0.143019484655861"	"29.1417478133564"	"med"	"0.224420363450941"	"0.176046334429818"
"15L_B_DN"	"0.188583509513742"	"-0.0156448202959831"	"-0.120225510923185"	"-0.187878787878788"	"0.202818886539817"	"Normal"	"0.81"	"43.723257540107"	"med"	"-0.206996250570732"	"33.0398640862129"	"med"	"-0.834428446667615"	"-0.405553311384707"
"15N_C_DN"	"0.642706131078224"	"-0.0350951374207188"	"-0.470472163495419"	"-0.154474982381959"	"0.0690627202255109"	"Basal"	"1"	"60.7648728546201"	"high"	"1.33407577432374"	"98.319460124767"	"high"	"-4.02264567618993"	"-0.419918334050733"
"16L_C_DN"	"0.214376321353066"	"-0.0887949260042283"	"-0.246793516560958"	"-0.0181818181818182"	"-0.171952078928823"	"Basal"	"0.84"	"50.8624112120383"	"med"	"1.05845197752456"	"85.2396540653111"	"high"	"1.03712468391679"	"0.372532820866224"
"16L_D_DN"	"0.0686398872445384"	"0.0515856236786469"	"-0.210429880197322"	"0.17138830162086"	"-0.16476391825229"	"LumB"	"0.73"	"53.862008539568"	"high"	"0.320510166129691"	"57.7040147176547"	"high"	"-0.862213928044899"	"0.141712194863273"
"16R_D_DN"	"0.266082754454847"	"-0.257475083056478"	"0.00996677740863787"	"-0.0495318634853519"	"0.266837813349441"	"Normal"	"0.92"	"37.4766334901487"	"med"	"-0.775704805483201"	"7.75882857205122"	"low"	"-1.15514648620037"	"-0.363633153883251"
"17N_D_DN"	"-0.0324675324675325"	"-0.163545756569012"	"0.317275747508306"	"-0.256569012382966"	"0.246451223195409"	"LumA"	"0.96"	"21.1744866795175"	"low"	"-0.376801817274161"	"19.800702523108"	"med"	"-1.11500497497708"	"0.585256900194451"
"17N_A_DN"	"0.141347025067955"	"0.151011778918756"	"-0.126547870733917"	"-0.0104198127453941"	"-0.136967683479311"	"Her2"	"0.67"	"49.16310377867"	"med"	"0.448732905458717"	"61.6177809826098"	"high"	"0.200712200236242"	"0.862464036016236"
