""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"C2N_CD45_Lina"	"-0.175350140056022"	"-0.23921568627451"	"0.357703081232493"	"-0.384313725490196"	"0.487955182072829"	"Normal"	"1"	"15.5449723041687"	"low"	"-1.50402700070248"	"-26.8857963989687"	"low"	"-0.319951757152159"	"0.0472964444662115"
"C2N_CD45_"	"-0.0709677419354839"	"0.179977753058954"	"-0.067853170189099"	"0.319243604004449"	"-0.0869855394883204"	"LumB"	"0.91"	"51.6156797709874"	"med"	"0.348263440327852"	"59.1326395609232"	"high"	NA	NA
"C2N_Ep_"	"-0.130702536261243"	"-0.264727331658699"	"0.360505631634389"	"-0.28887448342922"	"0.413337654971234"	"Normal"	"0.99"	"16.8716528321187"	"low"	"-0.578128347884013"	"10.2980800428997"	"low"	"-0.503828276727666"	"0.36027855968985"
"C2R_CD45_Lina"	"-0.188931788931789"	"-0.124839124839125"	"0.42033462033462"	"-0.236036036036036"	"0.377606177606178"	"LumA"	"0.99"	"17.0383834609736"	"low"	"-1.30356142506945"	"-17.8094878356859"	"low"	"-0.41174585204703"	"-0.258763458114846"
"C2R_CD45_"	"-0.0707317073170732"	"0.0103189493433396"	"0.0439024390243902"	"0.0621013133208255"	"0.111632270168856"	"Normal"	"0.51"	"40.1959859238495"	"med"	"-0.112526094481905"	"36.656004473164"	"med"	"0.303012960724251"	"-2.59149176747095"
"C2R_Ep_"	"-0.197372395046814"	"-0.350347327091513"	"0.509815765629719"	"-0.422832980972516"	"0.511174871639988"	"Normal"	"1"	"6.85620751736635"	"low"	"-0.838036116305913"	"-3.19189771267888"	"low"	"-0.62461290943468"	"0.429809596048265"
"C5R_CD45_Lina"	"-0.108986305809902"	"-0.211247062636739"	"0.398265942792318"	"-0.26213434891824"	"0.529859816870594"	"Normal"	"1"	"16.6454458575671"	"low"	"-1.94231414744139"	"-43.864732381771"	"low"	"-0.313313976244787"	"-0.56075690878896"
"C5R_CD45_"	"-0.198311444652908"	"0.260225140712946"	"-0.184990619136961"	"0.306941838649156"	"-0.233395872420263"	"LumB"	"0.95"	"56.8119772958835"	"high"	"0.118640882766963"	"51.8952952983231"	"med"	NA	"-3.39565193010265"
"C5R_Ep_"	"-0.155995167623075"	"-0.0984596798550287"	"0.247508305647841"	"-0.229990939293265"	"0.118393234672304"	"LumA"	"0.89"	"24.8537872984881"	"med"	"0.333557330236361"	"49.569591995343"	"med"	"0.914545310658276"	"0.732675433047527"
"C6N_CD45_Lina"	"-0.104502814258912"	"0.240337711069418"	"-0.024577861163227"	"0.174671669793621"	"-0.0435272045028143"	"Her2"	"0.87"	"48.1234952082552"	"med"	"0.0122428395170004"	"44.9221502797537"	"med"	"-1.25016429015105"	"-0.587045781117643"
"C6R_CD45_Lina"	"0.0909090909090909"	"0.338266384778013"	"-0.272576260948354"	"0.10314104500151"	"-0.0155542132286318"	"Her2"	"0.97"	"59.612048465898"	"high"	"-0.0942372906670567"	"43.8186491404943"	"med"	"-0.690768964141238"	"-1.13972040826311"
"C7N_CD45_Lina"	"0.210278745644599"	"-0.0395470383275261"	"-0.0785714285714286"	"-0.197386759581882"	"0.309756097560976"	"Normal"	"0.95"	"41.5944448446403"	"med"	"-0.356705945466624"	"26.3591593481509"	"med"	"-2.44512632674012"	"-0.376782767050776"
"C7R_CD45_Lina"	"-0.0947735191637631"	"0.0379790940766551"	"0.085191637630662"	"0.0250871080139373"	"0.14581881533101"	"Normal"	"0.64"	"38.1520743830703"	"med"	"-0.275790074165262"	"29.7048500798628"	"med"	"-0.922461471320859"	"-0.572692822241523"
"10L_CD45_D"	"0.336585365853659"	"0.350656660412758"	"-0.713508442776735"	"0.29718574108818"	"-0.448968105065666"	"Her2"	"0.97"	"82.5335994082331"	"high"	"0.805333900739036"	"85.780462782277"	"high"	NA	"-4.47959234725432"
"10L_CD45_C"	"0.11219512195122"	"0.432645403377111"	"-0.488930581613508"	"0.265853658536585"	"-0.320450281425891"	"Her2"	"0.99"	"72.7912037123938"	"high"	"0.0423755579567967"	"53.3921668479036"	"high"	NA	"-3.04753342817698"
"10R_CD45_B"	"0.242589118198874"	"0.24484052532833"	"-0.618198874296435"	"0.333020637898687"	"-0.363414634146341"	"LumB"	"0.96"	"77.1643051449067"	"high"	"0.6208543756922"	"76.7231759075874"	"high"	NA	"-3.45148767341401"
"10R_CD45_BU"	"0.149803684687406"	"0.432497734823316"	"-0.512684989429176"	"0.376925400181214"	"-0.420265780730897"	"Her2"	"1"	"75.8173123191856"	"high"	"0.52467819046"	"73.5052674171113"	"high"	"-3.65903771436591"	"-4.17517078794845"
"11L_CD45_B"	"0.221777003484321"	"0.375609756097561"	"-0.528048780487805"	"0.177700348432056"	"-0.322473867595819"	"Her2"	"0.98"	"72.6449739840131"	"high"	"0.493912294278821"	"70.8241523141046"	"high"	"-2.02391727810392"	"-1.594243223191"
"11N_CD45_D"	"0.421763602251407"	"0.370919324577861"	"-0.680300187617261"	"0.229455909943715"	"-0.422326454033771"	"Basal"	"0.99"	"80.7435469782585"	"high"	"0.843610603275473"	"86.6955793192857"	"high"	"-2.42940225404955"	"-1.3717119595479"
"11R_CD45_D"	"0.177700348432056"	"0.402317478324285"	"-0.617859168624909"	"0.497285471193582"	"-0.555951705696459"	"LumB"	"1"	"81.8852863305958"	"high"	"1.05000449271971"	"96.0535944163905"	"high"	NA	"-3.1189722107454"
"11R_CD45_C"	"0.1650558743582"	"0.380247659317427"	"-0.545303533675627"	"0.376019329507702"	"-0.431289640591966"	"Her2"	"0.99"	"76.4635131156395"	"high"	"0.654000097524707"	"78.5881531933387"	"high"	"-1.98656182926377"	"-2.45863667394065"
"14N_CD45_B"	"0.273279352226721"	"0.274898785425101"	"-0.562753036437247"	"0.284412955465587"	"-0.271255060728745"	"LumB"	"0.92"	"74.6459596449155"	"high"	"0.540184255368281"	"72.8490763776184"	"high"	NA	"-2.41294312409735"
"14N_CD45_C"	"0.158415039299895"	"0.244793776841423"	"-0.393079977311401"	"0.261972287496961"	"-0.283688517948302"	"LumB"	"0.91"	"66.2266664788343"	"high"	"0.121631566340337"	"53.9179967718645"	"high"	"-1.37352832496076"	"-4.90423293851105"
"14N_CD45_D"	"0.271209788509845"	"0.288064176322826"	"-0.482862004699781"	"0.266023823028928"	"-0.330686330119115"	"Her2"	"0.94"	"71.2095403317493"	"high"	"0.465972716568603"	"68.999985123265"	"high"	"-2.48792462451609"	"-3.10464743163843"
"15L_CD45_B"	"0.0570084254294781"	"0.286792865740234"	"-0.357260094102199"	"0.272130430025167"	"-0.165116533537586"	"Her2"	"0.92"	"65.0253788272626"	"high"	"0.00997113090277372"	"49.4822921247195"	"med"	NA	"-3.95197505100939"
"15N_CD45_C"	"0.276955602536998"	"0.339172455451525"	"-0.607067351253398"	"0.29371790999698"	"-0.382210812443371"	"Her2"	"0.97"	"77.5994505596319"	"high"	"0.676291479168653"	"79.3426971516036"	"high"	"-2.15462442990167"	"-2.26943246576296"
"15R_CD45_D"	"0.22787456445993"	"0.360801393728223"	"-0.475435540069686"	"0.203310104529617"	"-0.212543554006969"	"Her2"	"0.98"	"70.7052076802623"	"high"	"0.00890398792225999"	"50.9471920164409"	"med"	"-1.58928981868237"	"-1.66341920312919"
"16L_CD45_D"	"0.207839721254355"	"0.366376306620209"	"-0.52020905923345"	"0.404878048780488"	"-0.423519163763066"	"LumB"	"0.99"	"75.9142827835622"	"high"	"0.785859691317257"	"83.6084249221952"	"high"	"-1.28577578949707"	"-2.83105812975745"
"17N_CD45_A"	"0.18807227939389"	"0.422088971720282"	"-0.572644032088161"	"0.418037436188315"	"-0.468276476784701"	"Her2"	"0.99"	"79.0271714637483"	"high"	"1.0288671830415"	"94.4054591446474"	"high"	"-1.74953787180236"	"-2.24257856933491"
"2N_CD45_"	"0.341382383923507"	"0.201523377360019"	"-0.609431974718418"	"0.320962644842395"	"-0.31431812656997"	"Basal"	"0.97"	"76.4532654098009"	"high"	"1.32799877058366"	"104.353377143245"	"high"	NA	"-1.89900113799141"
