""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"C2N__Ep"	"0.123895956567539"	"-0.0764119601328904"	"-0.0522648083623693"	"-0.106717445912001"	"0.238797504254112"	"Normal"	"0.87"	"41.0515027094763"	"med"	"-0.414655122156485"	"23.9924621738514"	"med"	"-1.2362403193677"	"-0.922465789010477"
"C2R__Ep"	"-0.0570824524312896"	"-0.299305345816974"	"0.293415886439142"	"-0.3421926910299"	"0.488221081244337"	"Normal"	"1"	"18.6187008774673"	"low"	"-0.791569632312367"	"1.94958780407371"	"low"	"-1.56816914153135"	"-0.956347414993118"
"C5R__Ep"	"0.0824524312896406"	"0.22817879794624"	"-0.296889157354274"	"0.16143159166415"	"-0.272425249169435"	"Her2"	"0.86"	"59.9380711619024"	"high"	"0.748201721814091"	"77.0835882062991"	"high"	"0.129482705303545"	"-0.981673008812431"
"D11N__Ep"	"0.159166414980368"	"0.446088794926004"	"-0.59347629115071"	"0.435215946843854"	"-0.669435215946844"	"Her2"	"1"	"80.3868237088493"	"high"	"2.55518811583743"	"155.722600555342"	"high"	"1.46081114906138"	"0.217789448177754"
"D14R__Ep"	"-0.314808362369338"	"0.085191637630662"	"0.0440766550522648"	"0.256968641114983"	"-0.356620209059233"	"LumB"	"0.9"	"43.3364438251691"	"med"	"-0.1023451064921"	"38.8273702638263"	"med"	"1.75772993777213"	"-0.193076692694505"
"D17N__Ep"	"-0.137658788576519"	"0.287059062061036"	"-0.0870489398351519"	"0.400627562636664"	"-0.394756820182666"	"LumB"	"0.99"	"55.012504254002"	"high"	"0.0611896139797684"	"49.2667571144573"	"med"	"-0.791226446415174"	"-0.464016279198614"
"D18N__Ep"	"0.344306855934763"	"0.176683781334944"	"-0.410601026880097"	"0.110540622168529"	"-0.157203261854425"	"Basal"	"0.98"	"64.3425961616359"	"high"	"0.696277273980915"	"75.5450997174704"	"high"	"-3.59899299510398"	"-1.41355885589065"
"D2N__Ep"	"0.243733011174872"	"0.139232860163093"	"-0.328601630927212"	"-0.00649350649350649"	"0.0235578375113259"	"Basal"	"0.88"	"57.9389873158989"	"high"	"0.406541252728211"	"62.114988135021"	"high"	"-1.11385278062432"	"-0.760972260798387"
"D3R__Ep"	"0.307157958320749"	"0.196768347931139"	"-0.465720326185443"	"0.17834491090305"	"-0.211718514044095"	"Basal"	"0.95"	"67.8718549794802"	"high"	"0.707916644762423"	"77.1869506053604"	"high"	"-0.288613371790398"	"-1.33935363405159"
"D4R__Ep"	"0.376925400181214"	"-0.179401993355482"	"-0.111899728178798"	"-0.234974327997584"	"0.276955602536998"	"Basal"	"0.99"	"41.1216802702223"	"med"	"0.0194440516581797"	"40.3368620442421"	"med"	"-1.00649389402809"	"-1.41457449783201"
"D9N__Ep"	"-0.107692307692308"	"0.282388663967611"	"-0.262753036437247"	"0.169635627530364"	"-0.271052631578947"	"Her2"	"0.92"	"58.5134663410336"	"high"	"0.721205825288984"	"76.1363039142708"	"high"	"-1.35919930122624"	NA
"D9R__Ep"	"-0.189519782543038"	"0.20144971307762"	"-0.167321051041981"	"0.416490486257928"	"-0.630172153427967"	"LumB"	"0.99"	"57.0928170232914"	"high"	"0.621870282464155"	"71.8949064552215"	"high"	"1.40471962235366"	"0.457501974884696"
"10L_C_DN"	"0.122470552703111"	"-0.245847176079734"	"0.0687103594080338"	"-0.205527031108426"	"0.366656599214739"	"Normal"	"0.98"	"31.8922367582213"	"med"	"-0.732611150438797"	"8.02219250748927"	"low"	"-0.694684767484451"	"-1.26627442524845"
"10R_B_DN"	"0.19178495922682"	"-0.0308064028994262"	"0.0078526125037753"	"-0.182422228933857"	"0.292056780428874"	"Normal"	"0.94"	"38.2986825949153"	"med"	"-0.513780000977085"	"19.2963468680142"	"med"	"-1.17666804148625"	"-1.30645833871414"
"10R_BU_DN"	"0.409392932648747"	"0.00664451827242525"	"-0.418604651162791"	"-0.00422832980972516"	"-0.11280579885231"	"Basal"	"0.99"	"60.5836839168902"	"high"	"0.873751781046241"	"80.6442604347819"	"high"	"-1.41508001634085"	"-0.833410203383084"
"11L_B_DN"	"-0.237088492902446"	"-0.395952884324977"	"0.474630021141649"	"-0.463002114164905"	"0.431742675928722"	"LumA"	"1"	"6.77747821930463"	"low"	"-0.748461306101645"	"0.168981451237677"	"low"	"0.835992099246081"	"0.992684164814164"
"11R_D_DN"	"0.0273331319842948"	"0.231199033524615"	"-0.245243128964059"	"0.318936877076412"	"-0.177891875566294"	"LumB"	"0.96"	"60.2021660012081"	"high"	"0.196280886050014"	"55.4703252564124"	"high"	"-1.70924517762258"	"-1.94967602286739"
"11R_C_DN"	"0.465116279069767"	"0.0753548776804591"	"-0.37617034128662"	"-0.0212926608275446"	"-0.032165508909695"	"Basal"	"1"	"59.8230685682307"	"high"	"0.544329961053698"	"67.5045017440799"	"high"	"-1.81062862529693"	"-0.398828142641895"
"12L_D_DN"	"-0.156632363665829"	"-0.26213434891824"	"0.486265294546633"	"-0.240904302730735"	"0.456770115873916"	"LumA"	"1"	"12.3701921935013"	"low"	"-1.77272455751127"	"-38.3819114704405"	"low"	"-0.930480141698134"	"-0.0300221300294068"
"14N_C_DN"	"-0.124735729386892"	"-0.298701298701299"	"0.436122017517366"	"-0.46360616128058"	"0.545152521896708"	"Normal"	"1"	"10.3465628368895"	"low"	"-1.09539774559344"	"-12.4403875878112"	"low"	"-0.645446940608706"	"0.378408190922287"
"14N_D_DN"	"0.345363938387194"	"-0.264270613107822"	"0.00755058894593778"	"-0.409845967985503"	"0.466324373301117"	"Normal"	"1"	"31.8448206120419"	"med"	"-0.17333888893755"	"29.6191274869204"	"med"	"-1.95302206371044"	"0.134416912734135"
"14R_B_DN"	"-0.212057369743133"	"-0.226804959079491"	"0.462928449882505"	"-0.173000567214974"	"0.352726683413014"	"LumA"	"1"	"14.7166876799001"	"low"	"-0.379624134482143"	"18.0474467480645"	"med"	"0.484928072220893"	"0.281336944951282"
"15L_B_DN"	"0.163394744790094"	"-0.0705225007550589"	"0.0143461189972818"	"-0.309725158562368"	"0.359861069163395"	"Normal"	"0.98"	"35.1776692756764"	"med"	"-0.388149115799175"	"23.1674425011659"	"med"	"-0.689549985520154"	"-0.344748529972727"
"15N_C_DN"	"0.654032014497131"	"-0.059347629115071"	"-0.412262156448203"	"-0.217154938085171"	"0.1529749320447"	"Basal"	"1"	"57.0041430214792"	"high"	"1.06945103123603"	"86.5665242949019"	"high"	"-3.60721681472798"	"-0.293780640693663"
"16L_C_DN"	"0.146934460887949"	"-0.0910601026880097"	"-0.160525520990637"	"-0.0835095137420719"	"-0.0718816067653277"	"Basal"	"0.65"	"45.826640257786"	"med"	"0.844753013676245"	"75.3730692141402"	"high"	"1.32386668436078"	"0.496152898732256"
"16L_D_DN"	"-0.00815463606161281"	"-0.0226517668378134"	"-0.0169133192389006"	"0.0434913923286016"	"0.0363938387194201"	"LumB"	"0.22"	"42.2322058759571"	"med"	"0.062602212845915"	"43.9278308400989"	"med"	"-0.52501441403848"	"0.245867495532466"
"16R_D_DN"	"0.22455451525219"	"-0.296285110238599"	"0.0623678646934461"	"-0.0714285714285714"	"0.30579885231048"	"Normal"	"0.95"	"34.1633512326114"	"med"	"-0.934623917117233"	"0.404629443593841"	"low"	"-0.891299203195142"	"-0.261576856613038"
"17N_D_DN"	"-0.0635759589247961"	"-0.213983690727877"	"0.382512836001208"	"-0.264421624886741"	"0.287828450619148"	"LumA"	"0.99"	"17.4450091593085"	"low"	"-0.543171444000694"	"11.9917907590011"	"med"	"-0.768649472767041"	"0.634036518170541"
"17N_A_DN"	"0.0764119601328904"	"0.0279555951705696"	"0.05339923831132"	"-0.102665910380034"	"0.029738270804635"	"Basal"	"0.37"	"38.0346564868897"	"med"	"0.16992409839029"	"46.9691948581956"	"med"	"0.450766284229793"	"0.902538319384337"
"2N__DN"	"0.275596496526729"	"-0.0530051344004832"	"-0.235578375113259"	"-0.129266082754455"	"0.193144065237089"	"Basal"	"0.93"	"49.3681688309912"	"med"	"0.572189719789311"	"65.3886332946519"	"high"	"-0.247984349624747"	"-0.614442665111945"
"2R_A_DN"	"-0.14074297795228"	"-0.365750528541226"	"0.439595288432498"	"-0.342343702808819"	"0.550890969495621"	"Normal"	"1"	"11.1675778876117"	"low"	"-1.27675081872807"	"-19.5419541621116"	"low"	"-0.119555837480623"	"-0.594104005037828"
"2R_C_DN"	"0.0487768045907581"	"-0.0955904560555723"	"-0.0530051344004832"	"-0.118393234672304"	"0.192842041679251"	"Normal"	"0.79"	"40.2335865517793"	"med"	"0.158673894480229"	"46.6177508315109"	"med"	"0.161979271647998"	"-0.404869712781239"
"2R_D_DN"	"0.250303865164897"	"0.322421197633903"	"-0.57523701482862"	"0.346730410825703"	"-0.376063528077141"	"LumB"	"0.97"	"76.7887165188253"	"high"	"0.645363995026641"	"77.9289593060409"	"high"	NA	"-1.96720851835743"
"3L_D_DN"	"0.322259136212625"	"0.288583509513742"	"-0.56191482935669"	"0.400332225913621"	"-0.424343098761703"	"LumB"	"0.99"	"76.992876879919"	"high"	"0.92325775434289"	"88.8746509337975"	"high"	"-0.0133623458823411"	"-2.08454964698888"
"3L_A_DN"	"0.0516460283902144"	"0.13591060102688"	"-0.06674720628209"	"0.0836605255209906"	"-0.0443974630021142"	"Her2"	"0.62"	"47.591523255814"	"med"	"-0.10312708117816"	"39.4036205321761"	"med"	"-0.534505319095921"	"0.0112627959552266"
"3N_B_DN"	"-0.213832678948958"	"-0.0868317728782845"	"0.352310480217457"	"-0.148897614013893"	"0.325732407127756"	"LumA"	"0.98"	"21.7494299769041"	"low"	"-0.939938792416371"	"-1.74859769713669"	"low"	"-2.50504985805042"	"0.116913822963251"
"3R_C_DN"	"-0.269102990033223"	"-0.149652672908487"	"0.434007852612504"	"0.113560857746904"	"0.0365448504983389"	"LumA"	"1"	"21.5563250871427"	"low"	"-0.873880618831167"	"0.985789374214935"	"low"	"1.8501017673718"	"0.144133382590432"
"3R_B_DN"	"-0.0443974630021142"	"-0.176985804892782"	"0.221987315010571"	"-0.155089096949562"	"0.230897009966777"	"Normal"	"0.86"	"26.5652167660383"	"med"	"-0.452826940345838"	"18.3206932323822"	"med"	"1.81833682843025"	"0.279809653259697"
"4N_C_DN"	"-0.0128360012080942"	"-0.324524312896406"	"0.264421624886741"	"-0.374207188160677"	"0.544246451223195"	"Normal"	"1"	"19.1345605997833"	"low"	"-1.70991567018864"	"-34.694989567571"	"low"	"-0.945298513704371"	"0.228250445662082"
"6R_B_DN"	"-0.403310104529617"	"-0.350696864111498"	"0.630662020905923"	"-0.299651567944251"	"0.44808362369338"	"LumA"	"1"	"2.8813034291863"	"low"	"-1.48046178523877"	"-29.3943663226848"	"low"	"0.660818733780789"	"-0.248337132966508"
"6R_D_DN"	"-0.10797342192691"	"-0.188915735427363"	"0.352159468438538"	"-0.402295379039565"	"0.52914527333132"	"Normal"	"1"	"16.5455715179349"	"low"	"-1.45894810392258"	"-24.7305741493633"	"low"	"-1.13948533884267"	"-0.138101840997091"
"8R_CU_DN"	"0.49517867271696"	"0.437646868163034"	"-0.687221456932177"	"0.18936877076412"	"-0.360343570213111"	"Basal"	"1"	"81.7024701757413"	"high"	"1.21723398742052"	"101.955270729201"	"high"	"-0.783876546800392"	"0.761440484156795"
"8R_CL_DN"	"0.238959565675391"	"-0.360505631634389"	"0.251762417956405"	"-0.516408718904465"	"0.708127380277125"	"Normal"	"1"	"18.0009543901009"	"low"	"-0.576238939738131"	"9.4490946497194"	"low"	"-2.02854312926107"	"0.325129592932676"
"9L_A_DN"	"0.324222289338568"	"-0.0419812745394141"	"-0.241014799154334"	"-0.10434913923286"	"0.197976442162489"	"Basal"	"0.97"	"50.4127156199478"	"med"	"0.436559868047097"	"60.2771703610534"	"high"	"-1.22948815305538"	"-0.299256605069097"
"10L_D_Ep"	"-0.12616481646544"	"-0.245279961105259"	"0.357912648893931"	"-0.388056073251762"	"0.314156065148691"	"LumA"	"0.98"	"15.6283858157171"	"low"	"-0.645970300379527"	"7.20737938678948"	"low"	"0.263559132607873"	"0.417604061549966"
"10R_B_Ep"	"-0.345595980876752"	"-0.348999270723604"	"0.552548415849607"	"-0.0232558139534884"	"0.113686087026983"	"LumA"	"1"	"11.0519142036349"	"low"	"-0.666755840346169"	"5.49800128374339"	"low"	"2.43334147676938"	"-0.0384505389427657"
"10R_BU_Ep"	"0.0931742675928722"	"0.339927514346119"	"-0.506493506493507"	"0.474781032920568"	"-0.710661431591664"	"LumB"	"1"	"75.5587257919235"	"high"	"1.77651535464139"	"123.110621377425"	"high"	"1.50748996725275"	"0.293917787352861"
