""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"C2N__Ep"	"-0.0307106393323069"	"-0.257758690543716"	"0.263917024552305"	"-0.231666801717851"	"0.409610242281825"	"Normal"	"0.99"	"22.4296828649599"	"low"	"-1.08498031412205"	"-8.42806821978974"	"low"	"-0.784257436425936"	"-0.306751970228829"
"C2R__Ep"	"-0.223581379704028"	"-0.416204175929957"	"0.573866425447691"	"-0.44316079617796"	"0.627251104762364"	"Normal"	"1"	"2.76542627445079"	"low"	"-1.69881406357935"	"-38.8408136891485"	"low"	"-1.12082060463813"	"-0.219132605616361"
"C5R__Ep"	"0.000755629655046129"	"-0.214598822033101"	"0.126341278323713"	"-0.106090403568477"	"0.126341278323713"	"LumA"	"0.58"	"31.0214028103864"	"med"	"0.167842537084574"	"44.0826626188379"	"med"	"1.496152557902"	"0.13883355084723"
"D11N__Ep"	"0.0842645726366657"	"0.273331319842948"	"-0.409241920869828"	"0.392630625188765"	"-0.587284808215041"	"LumB"	"0.99"	"69.1327218689928"	"high"	"1.74445032090144"	"119.726615844174"	"high"	"2.03606664985593"	"1.00202861016695"
"D14R__Ep"	"-0.40609756097561"	"0.00313588850174216"	"0.271777003484321"	"0.209233449477352"	"-0.224390243902439"	"LumA"	"0.91"	"31.4435586644804"	"med"	"-0.58219514815038"	"16.2330121731249"	"med"	"2.34637944654761"	"0.600767780390881"
"D17N__Ep"	"-0.377732793522267"	"0.0876518218623482"	"0.267408906882591"	"0.279554655870445"	"-0.22834008097166"	"LumB"	"0.92"	"34.1805981800429"	"med"	"-0.479270435462595"	"21.4743854696657"	"med"	"-0.0606740792175171"	"0.407067264012038"
"D18N__Ep"	"0.26819691935971"	"-0.0439444276653579"	"-0.141347025067955"	"-0.0889459377831471"	"0.126698882512836"	"Basal"	"0.92"	"46.2323956187041"	"med"	"0.396105221225442"	"57.6299364908798"	"high"	"-3.95030760785908"	"-0.922683536860696"
"D2N__Ep"	"0.234068257324071"	"-0.0747508305647841"	"-0.132739353669586"	"-0.175022651766838"	"0.230897009966777"	"Basal"	"0.87"	"43.815361977366"	"med"	"-0.0115010447710916"	"40.5537924352488"	"med"	"-0.549427020493576"	"-0.0214525863466458"
"D3R__Ep"	"0.138930836605255"	"-0.101328903654485"	"-0.0977046209604349"	"0.0579885231048022"	"0.080942313500453"	"Basal"	"0.63"	"45.3982928209"	"med"	"0.34197423522301"	"55.3854678087621"	"high"	"0.762798713697503"	"-0.718322383211144"
"D4R__Ep"	"0.281787979462398"	"-0.358954998489882"	"0.111295681063123"	"-0.366958622772576"	"0.461945031712474"	"Normal"	"1"	"26.5577171220708"	"med"	"-0.42633036477477"	"17.8672101597383"	"med"	"-0.472819914509213"	"-0.929322400189053"
"D9N__Ep"	"-0.139271255060729"	"0.139676113360324"	"-0.14412955465587"	"0.0797570850202429"	"-0.16497975708502"	"Her2"	"0.6"	"49.8436121386044"	"med"	"0.450460536319413"	"62.3453175587738"	"high"	"-0.982274090283584"	NA
"D9R__Ep"	"-0.267441860465116"	"0.0913621262458472"	"0.045756569012383"	"0.292962851102386"	"-0.425853216550891"	"LumB"	"0.94"	"44.1937995849841"	"med"	"0.0414483169719546"	"44.7891701621356"	"med"	"2.05956036542914"	"1.27722920649608"
"NMU10_LL_Ep"	"0.092721232256116"	"0.040169133192389"	"-0.206735125339777"	"0.176381757777107"	"-0.132588341890667"	"LumB"	"0.74"	"53.744179217759"	"high"	"0.259263252917734"	"55.1568763296546"	"high"	"0.547072947562278"	"-0.849649957005109"
"NMU12_LA_Ep"	"0.0356387798248263"	"0.333131984294775"	"-0.30942313500453"	"0.28888553307158"	"-0.526880096647539"	"Her2"	"0.97"	"63.89634296445"	"high"	"0.872327940263832"	"83.767095336128"	"high"	"0.0571400765697362"	"0.934230552051282"
"NMU13_LAU_Ep"	"0.0349276974416018"	"0.302780867630701"	"-0.119021134593993"	"0.222246941045606"	"-0.149276974416018"	"Her2"	"0.9"	"54.4405150221815"	"high"	"0.323647547295021"	"59.1505542139704"	"high"	NA	"0.106236043991829"
"NMU13_LLU_Ep"	"0.476284584980237"	"-0.0938735177865613"	"-0.309288537549407"	"-0.171936758893281"	"0.00494071146245059"	"Basal"	"0.98"	"52.104828257382"	"med"	"0.704348222844733"	"70.874409713705"	"high"	NA	"0.184753641778716"
"NMU14__Ep"	"-0.192712550607287"	"-0.281174089068826"	"0.278137651821862"	"-0.0423076923076923"	"-0.0380566801619433"	"LumA"	"0.91"	"23.8607007432722"	"med"	"-0.218005311110594"	"26.8663202246601"	"med"	"0.925877973777272"	"0.276068085958157"
"NMU7_RLU_Ep"	"0.247619047619048"	"-0.0393822393822394"	"-0.0988416988416989"	"-0.0267696267696268"	"-0.0357786357786358"	"Basal"	"0.85"	"45.4750664377318"	"med"	"-0.283450225963379"	"30.4912851890563"	"med"	NA	"-0.175460505395269"
