""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"C2N_CD45_Lina"	"-0.165826330532213"	"-0.250700280112045"	"0.361904761904762"	"-0.387955182072829"	"0.498319327731092"	"Normal"	"1"	"15.1886355139232"	"low"	"-1.50313529999029"	"-27.0130393954412"	"low"	"-0.309941056213318"	"0.0790197131016729"
"C2N_CD45_"	"-0.0771968854282536"	"0.173303670745273"	"-0.0540600667408231"	"0.31523915461624"	"-0.0740823136818687"	"LumB"	"0.91"	"50.848202856769"	"med"	"0.343482682661915"	"58.7109190113582"	"high"	NA	NA
"C2N_Ep_"	"-0.150636091078519"	"-0.285957377846204"	"0.399400372741269"	"-0.292277773276072"	"0.430354104205494"	"Normal"	"1"	"14.7923025649556"	"low"	"-0.591126673672552"	"9.1545407352893"	"low"	"-0.492971296328585"	"0.393727032258569"
"C2R_CD45_Lina"	"-0.18018018018018"	"-0.132046332046332"	"0.416988416988417"	"-0.247104247104247"	"0.386872586872587"	"LumA"	"0.99"	"16.9296586285109"	"low"	"-1.30274232330278"	"-17.8633254782254"	"low"	"-0.402101201033612"	"-0.227130310135114"
"C2R_CD45_"	"-0.0778611632270169"	"-0.00150093808630394"	"0.0592870544090056"	"0.0585365853658536"	"0.117260787992495"	"Normal"	"0.53"	"39.2899550647831"	"med"	"-0.122414034358409"	"35.9738162297977"	"med"	"0.31372518177238"	"-2.5659044344994"
"C2R_Ep_"	"-0.19540924192087"	"-0.358954998489882"	"0.515403201449713"	"-0.420567804288735"	"0.514044095439444"	"LumA"	"1"	"6.54594058734699"	"low"	"-0.849066284386942"	"-3.75088943488446"	"low"	"-0.613052996025439"	"0.461233596243905"
"C5R_CD45_Lina"	"-0.112713718499311"	"-0.215784782432542"	"0.407989628069038"	"-0.26213434891824"	"0.528563325500365"	"Normal"	"1"	"16.1573469118243"	"low"	"-1.9616689574622"	"-44.7809344369953"	"low"	"-0.303071764394474"	"-0.525325974355391"
"C5R_CD45_"	"-0.205816135084428"	"0.259662288930582"	"-0.176735459662289"	"0.312382739212007"	"-0.218386491557223"	"LumB"	"0.95"	"56.5153239439355"	"high"	"0.106283559936831"	"51.3385817393907"	"med"	NA	"-3.37228499191532"
"C5R_Ep_"	"-0.159921473874962"	"-0.109785563273935"	"0.258230141951072"	"-0.221685291452733"	"0.123376623376623"	"LumA"	"0.91"	"24.3626473134116"	"med"	"0.315852529047016"	"48.7008833286348"	"med"	"0.921813818549752"	"0.768166111112209"
"C6N_CD45_Lina"	"-0.114634146341463"	"0.218949343339587"	"-0.000938086303939962"	"0.172045028142589"	"-0.0285178236397749"	"Her2"	"0.83"	"46.7357349164551"	"med"	"-0.000435343612209688"	"43.9642745961351"	"med"	"-1.24131225881069"	"-0.548537289226454"
"C6R_CD45_Lina"	"0.101026880096648"	"0.340833585019632"	"-0.269556025369979"	"0.111144669284204"	"-0.0237088492902446"	"Her2"	"0.97"	"59.7084497052605"	"high"	"-0.112369554701375"	"43.1289932275204"	"med"	"-0.679852978716048"	"-1.0992787419422"
"C7N_CD45_Lina"	"0.20383275261324"	"-0.039198606271777"	"-0.0618466898954704"	"-0.199651567944251"	"0.308188153310105"	"Normal"	"0.95"	"40.836455543554"	"med"	"-0.369917398192588"	"25.6361890094082"	"med"	"-2.43567411336045"	"-0.342506506652633"
"C7R_CD45_Lina"	"-0.102439024390244"	"0.0285714285714286"	"0.104355400696864"	"0.017595818815331"	"0.150174216027875"	"Normal"	"0.65"	"37.0564510948965"	"med"	"-0.290828737469904"	"28.7721389268189"	"med"	"-0.912677604538849"	"-0.535674090030718"
"10L_CD45_D"	"0.34108818011257"	"0.356472795497186"	"-0.718574108818011"	"0.292307692307692"	"-0.447842401500938"	"Her2"	"0.98"	"82.7696295371372"	"high"	"0.794442564439463"	"85.4219790590356"	"high"	NA	"-4.45822013591919"
"10L_CD45_C"	"0.133208255159475"	"0.427016885553471"	"-0.49343339587242"	"0.254971857410882"	"-0.309756097560976"	"Her2"	"0.99"	"72.8174296313873"	"high"	"0.0294286198427065"	"52.8156438648687"	"med"	NA	"-3.02192757065383"
"10R_CD45_B"	"0.24765478424015"	"0.223452157598499"	"-0.604127579737336"	"0.315572232645403"	"-0.347467166979362"	"LumB"	"0.95"	"76.0006238481404"	"high"	"0.609625781978655"	"75.8424273335037"	"high"	NA	"-3.41937420809285"
"10R_CD45_BU"	"0.15901540320145"	"0.435819993959529"	"-0.52552099063727"	"0.370733917245545"	"-0.418755662941709"	"Her2"	"1"	"76.3402345731696"	"high"	"0.513230215610454"	"73.1831459489986"	"high"	"-3.66689080814611"	"-4.15961996540642"
"11L_CD45_B"	"0.225783972125436"	"0.350696864111498"	"-0.513066202090592"	"0.166376306620209"	"-0.297038327526132"	"Her2"	"0.97"	"71.4889872375487"	"high"	"0.482015152929965"	"69.9135443327743"	"high"	"-2.01779777290643"	"-1.56026850009078"
"11N_CD45_D"	"0.415384615384615"	"0.370168855534709"	"-0.677298311444653"	"0.238649155722326"	"-0.423827392120075"	"Basal"	"0.99"	"80.7302300324467"	"high"	"0.833438483800665"	"86.3048313784529"	"high"	"-2.42287091473039"	"-1.33984032401634"
"11R_CD45_D"	"0.176727979904384"	"0.402641601166842"	"-0.617535045782352"	"0.493233935661616"	"-0.556762012802852"	"LumB"	"1"	"81.80404008227"	"high"	"1.04192356694665"	"95.7073681547612"	"high"	NA	"-3.09987154003083"
"11R_CD45_C"	"0.167925098157656"	"0.381606765327696"	"-0.543491392328602"	"0.369978858350951"	"-0.427363334340079"	"Her2"	"0.99"	"76.3215332725141"	"high"	"0.643286296922133"	"78.1168777682422"	"high"	"-1.9863070759701"	"-2.43505469581534"
"14N_CD45_B"	"0.280161943319838"	"0.258097165991903"	"-0.554655870445344"	"0.285425101214575"	"-0.2582995951417"	"LumB"	"0.92"	"74.1148890764468"	"high"	"0.529460892785965"	"72.1996595232892"	"high"	NA	"-2.38352016563941"
"14N_CD45_C"	"0.149102548641489"	"0.228029658628886"	"-0.366597788072879"	"0.249098497023879"	"-0.267655281610238"	"LumB"	"0.89"	"64.621609741226"	"high"	"0.108197272921456"	"52.8762712882078"	"med"	"-1.36721318632716"	"-4.88404484509931"
"14N_CD45_D"	"0.272020095616239"	"0.274775139777976"	"-0.471841828052832"	"0.255165707803257"	"-0.310266591038003"	"Her2"	"0.92"	"70.3802537242191"	"high"	"0.455082179739642"	"68.2715471079571"	"high"	"-2.48881429589773"	"-3.0851763964968"
"15L_CD45_B"	"0.0530692635955794"	"0.281102965313492"	"-0.350475982054929"	"0.264033264033264"	"-0.150016413174308"	"Her2"	"0.91"	"64.505791094276"	"high"	"-0.00220099123808889"	"48.8286751255599"	"med"	NA	"-3.92480565138174"
"15N_CD45_C"	"0.275747508305648"	"0.333887043189369"	"-0.597855632739354"	"0.289640591966173"	"-0.379190576864995"	"Her2"	"0.97"	"77.0659077813705"	"high"	"0.665217212673022"	"78.7319608380179"	"high"	"-2.15660622452906"	"-2.24489076869364"
"15R_CD45_D"	"0.228919860627178"	"0.349825783972126"	"-0.467595818815331"	"0.197038327526132"	"-0.198432055749129"	"Her2"	"0.97"	"70.1195478382865"	"high"	"-0.0035994693109366"	"50.2355654590325"	"med"	"-1.5802735726759"	"-1.62962843901574"
"16L_CD45_D"	"0.209581881533101"	"0.34808362369338"	"-0.508362369337979"	"0.389547038327526"	"-0.401393728222997"	"LumB"	"0.99"	"74.9071678805083"	"high"	"0.77468579959308"	"82.7926271868103"	"high"	"-1.27754179556464"	"-2.80153843669168"
"17N_CD45_A"	"0.194068551981201"	"0.410906733652054"	"-0.57523701482862"	"0.422413094562839"	"-0.466817923993193"	"LumB"	"0.99"	"79.0735183678508"	"high"	"1.01949062128265"	"93.9947381050792"	"high"	"-1.74607350847565"	"-2.21496369212051"
"2N_CD45_"	"0.334737865651082"	"0.206547281419658"	"-0.607325176241796"	"0.330524268697836"	"-0.32404181184669"	"Basal"	"0.97"	"76.5665899223535"	"high"	"1.31802683024877"	"104.029818573363"	"high"	NA	"-1.86710583380172"
"2R_CD45_A"	"-0.0149825783972125"	"0.272822299651568"	"-0.313240418118467"	"0.33397212543554"	"-0.24581881533101"	"LumB"	"0.97"	"63.6732015779873"	"high"	"0.0988104414651545"	"52.7806731091446"	"med"	NA	"-3.96083912568728"
"2R_CD45_C"	"0.0465290806754221"	"0.393808630393996"	"-0.45609756097561"	"0.522701688555347"	"-0.427579737335835"	"LumB"	"1"	"74.8301701699591"	"high"	"0.510594793432775"	"72.8534791282394"	"high"	NA	"-3.33706722427733"
"2R_CD45_D"	"-0.0872822299651568"	"0.438675958188153"	"-0.301393728222997"	"0.578048780487805"	"-0.515853658536585"	"LumB"	"1"	"69.3379046351711"	"high"	"0.459859206005312"	"69.8025529205858"	"high"	"-1.40358099161495"	"-1.17036095312114"
"3L_CD45_D"	"0.121602787456446"	"0.392508710801394"	"-0.512369337979094"	"0.635714285714286"	"-0.536411149825784"	"LumB"	"1"	"79.4053659758147"	"high"	"0.887379917652956"	"89.1261454660282"	"high"	NA	"-2.63381025721729"
"3L_CD45_A"	"0.190431519699812"	"0.291744840525328"	"-0.50656660412758"	"0.377298311444653"	"-0.390431519699812"	"LumB"	"0.98"	"73.7067346425339"	"high"	"0.335349687201469"	"64.748135606826"	"high"	NA	"-2.41635634126956"
"3N_CD45_B"	"0.0533101045296167"	"0.188850174216028"	"-0.0672473867595819"	"0.0106271777003484"	"0.045993031358885"	"Her2"	"0.76"	"47.1757361465464"	"med"	"-1.0672033187103"	"1.02195725431093"	"low"	"-1.76108065319289"	"-1.85062520131137"
"3R_CD45_C"	"-0.082408232720201"	"0.41868568187343"	"-0.239931934203063"	"0.555465521432623"	"-0.429705858520379"	"LumB"	"1"	"66.1434103872791"	"high"	"0.346144142139174"	"64.2913894036905"	"high"	"-2.91103293439971"	"-1.90987057950623"
"3R_CD45_B"	"0.171482176360225"	"0.405065666041276"	"-0.455347091932458"	"0.439774859287054"	"-0.373358348968105"	"LumB"	"1"	"74.1964192568149"	"high"	"0.596912978286593"	"75.8792526465047"	"high"	NA	"-2.28509697459179"
"5N_CD45_A"	"0.134896810506567"	"0.326266416510319"	"-0.584240150093808"	"0.472607879924953"	"-0.506003752345216"	"LumB"	"1"	"78.751557395431"	"high"	"1.04103584135412"	"94.5620889740465"	"high"	NA	"-4.98311733736587"
"5R_CD45_B"	"0.292347227944019"	"0.309421142329307"	"-0.558648025269664"	"0.229191167080069"	"-0.375887451900608"	"Her2"	"0.95"	"74.1531858125836"	"high"	"0.866761247299385"	"85.7675003781015"	"high"	"-2.15615836298747"	"-2.47625601718942"
"6N_CD45_D"	"0.098499061913696"	"0.497373358348968"	"-0.553095684803002"	"0.487054409005628"	"-0.590431519699812"	"Her2"	"1"	"80.0314138525549"	"high"	"1.22329547489113"	"102.953372528369"	"high"	NA	"-1.5386333478591"
"6R_CD45_D"	"0.177485928705441"	"0.33733583489681"	"-0.566228893058161"	"0.370356472795497"	"-0.44577861163227"	"LumB"	"0.98"	"76.6684341335393"	"high"	"0.47097298812846"	"71.1496236563672"	"high"	NA	"-1.9225624823562"
"7N_CD45_A"	"0.300218782918726"	"0.466979985414472"	"-0.664694919374443"	"0.369905194068552"	"-0.469897090997488"	"Her2"	"1"	"83.2520648566948"	"high"	"1.1663485149425"	"100.984979068305"	"high"	"-1.27538641233906"	"-1.34163258361282"
"7N_CD45_B"	"0.315161582603443"	"0.416641498036847"	"-0.675475687103594"	"0.292056780428874"	"-0.463153125943824"	"Her2"	"0.99"	"81.7329238381864"	"high"	"1.02133114316543"	"94.4667707206136"	"high"	"-2.92098743756707"	"-2.57272402565127"
"8L_CD45_D"	"0.0307106393323069"	"0.326958917429706"	"-0.237014828620047"	"0.242849039786079"	"-0.247386759581882"	"Her2"	"0.96"	"60.0100080604584"	"high"	"-0.614580021366496"	"23.4235711234747"	"med"	"-1.29935442296488"	"-2.37171332614162"
