Chromosome	bp	sumdist	sumdist2
chr1	282763074	0	282763074
chr2	266435125	282763074	549198199
chr3	177699992	549198199	726898191
chr4	184226339	726898191	911124530
chr5	173707219	911124530	1084831749
chr6	147991367	1084831749	1232823116
chr7	145729302	1232823116	1378552418
chr8	133307652	1378552418	1511860070
chr9	122095297	1511860070	1633955367
chr10	112626471	1633955367	1746581838
chr11	90463843	1746581838	1837045681
chr12	52716770	1837045681	1889762451
chr13	114033958	1889762451	2003796409
chr14	115493446	2003796409	2119289855
chr15	111246239	2119289855	2230536094
chr16	90668790	2230536094	2321204884
chr17	90843779	2321204884	2412048663
chr18	88201929	2412048663	2500250592
chr19	62275575	2500250592	2562526167
chr20	56205956	2562526167	2618732123
chrX	159970021	2618732123	2778702144
chrY	3310458	2778702144	2782012602
