"","chromosome","start","end","sampleFrequency","gainFrequency","lossFrequency","gainProportion","lossProportion"
"1","chr17",182,544,1,0,0,0,0
"2","chr17",545,1039,26,0,0,0,0
"3","chr17",1040,1114,28,0,0,0,0
"4","chr20",747,4008,31,26,0,0.838709677419355,0
"5","chr20",4009,44061,19,0,0,0,0
"6","chr20",44062,44286,28,0,0,0,0
"7","chr15",0,94197,31,0,0,0,0
"8","chr15",94198,95547,31,0,1,0,0.032258064516129
"9","chr20",44287,99498,31,0,0,0,0
"10","chr6",0,123769,31,0,0,0,0
"11","chr6",123770,126156,31,23,0,0.741935483870968,0
"12","chr20",99499,132945,31,0,1,0,0.032258064516129
"13","chr19",0,136884,31,0,0,0,0
"14","chr19",136885,137444,31,2,0,0.0645161290322581,0
"15","chr19",137445,138727,31,5,0,0.161290322580645,0
"16","chr20",132946,144016,30,0,1,0,0.032258064516129
"17","chr19",138728,144447,30,5,0,0.161290322580645,0
"18","chr20",144017,145114,31,0,2,0,0.0645161290322581
"19","chr19",144448,146057,31,5,1,0.161290322580645,0.032258064516129
"20","chr20",145115,147540,31,0,3,0,0.0967741935483871
"21","chr19",146058,148307,31,5,1,0.161290322580645,0.032258064516129
"22","chr20",147541,153887,31,0,1,0,0.032258064516129
"23","chr20",153888,156888,30,0,0,0,0
"24","chr20",156889,159202,31,0,0,0,0
"25","chr20",159203,160239,31,2,0,0.0645161290322581,0
"26","chr20",160240,167393,30,2,0,0.0645161290322581,0
"27","chr20",167394,167823,31,2,1,0.0645161290322581,0.032258064516129
"28","chr20",167824,168423,31,4,1,0.129032258064516,0.032258064516129
"29","chr20",168424,173356,31,8,2,0.258064516129032,0.0645161290322581
"30","chr20",173357,176155,31,7,0,0.225806451612903,0
"31","chr20",176156,184652,31,5,0,0.161290322580645,0
"32","chr20",184653,186138,31,5,0,0.161290322580645,0
"33","chr20",186139,186803,31,3,0,0.0967741935483871,0
"34","chr20",186804,186878,31,2,0,0.0645161290322581,0
"35","chr20",186879,193552,31,0,0,0,0
"36","chr20",193553,198321,31,0,0,0,0
"37","chr20",198322,198396,31,0,3,0,0.0967741935483871
"38","chr20",198397,198546,31,0,4,0,0.129032258064516
"39","chr20",198547,198974,31,0,11,0,0.354838709677419
"40","chr20",198975,200024,31,0,11,0,0.354838709677419
"41","chr20",200025,219369,31,0,0,0,0
"42","chr18",0,246100,31,0,0,0,0
"43","chr20",219370,259836,31,0,0,0,0
"44","chr20",259837,260388,31,2,0,0.0645161290322581,0
"45","chr20",260389,261138,31,0,0,0,0
"46","chr20",261139,264946,31,0,0,0,0
"47","chr20",264947,266371,31,0,1,0,0.032258064516129
"48","chr20",266372,266446,31,0,3,0,0.0967741935483871
"49","chr20",266447,266821,31,0,11,0,0.354838709677419
"50","chr4",784,270667,31,0,0,0,0
"51","chr4",270668,273616,31,0,0,0,0
"52","chr17",1115,284933,31,0,0,0,0
"53","chr19",148308,327848,31,3,2,0.0967741935483871,0.0645161290322581
"54","chr17",284934,340403,31,0,0,0,0
"55","chr18",246101,350394,31,0,0,0,0
"56","chr18",350395,350715,31,1,0,0.032258064516129,0
"57","chr4",273617,356827,31,0,0,0,0
"58","chr4",356828,357052,31,0,0,0,0
"59","chr20",266822,360345,31,0,0,0,0
"60","chr20",360346,360733,31,0,6,0,0.193548387096774
"61","chr19",327849,369798,31,2,2,0.0645161290322581,0.0645161290322581
"62","chr2",0,385785,31,0,0,0,0
